job_id,service_time_ms,priority
M00001,5640,2
M00002,11903,2
M00003,13329,2
M00004,6142,2
M00005,19508,2
M00006,1983,2
M00007,15161,2
M00008,11761,2
M00009,1045,2
M00010,11786,2
M00011,7517,2
M00012,8443,2
M00013,13886,2
M00014,10434,2
M00015,19635,2
M00016,5566,2
M00017,17195,2
M00018,12618,2
M00019,936,2
M00020,20,0
M00021,88,0
M00022,239479,1
M00023,1059,2
M00024,150,0
M00025,554,2
M00026,2514,2
M00027,1311,1
M00028,588,1
M00029,1573,1
M00030,1586,1
M00031,3004,2
M00032,1693,1
M00033,10021,2
M00034,10555,2
M00035,7433,2
M00036,19861,2
M00037,737,1
M00038,51,0
M00039,16988,2
M00040,1856,1
M00041,1404,1
M00042,13264,2
M00043,957,1
M00044,8461,2
M00045,1460,1
M00046,144,0
M00047,10391,2
M00048,13528,2
M00049,6619,2
M00050,15925,2
M00051,1310,1
M00052,3201,2
M00053,1938,1
M00054,7407,2
M00055,1545,1
M00056,923,1
M00057,11402,2
M00058,16966,2
M00059,15011,2
M00060,1661,1
M00061,1646,1
M00062,16850,2
M00063,69,0
M00064,16747,2
M00065,11513,2
M00066,503,1
M00067,17886,2
M00068,5653,2
M00069,929,2
M00070,18751,2
M00071,1427,1
M00072,68,0
M00073,1868,1
M00074,750,1
M00075,5288,2
M00076,1909,2
M00077,318,1
M00078,7422,2
M00079,797,1
M00080,12981,2
M00081,1627,2
M00082,17377,2
M00083,574,1
M00084,1158,1
M00085,6131,2
M00086,4469,2
M00087,2220,2
M00088,11472,2
M00089,724,1
M00090,14979,2
M00091,11026,2
M00092,775,1
M00093,851,1
M00094,10838,2
M00095,77,0
M00096,405,1
M00097,1756,1
M00098,1708,2
M00099,19238,2
M00100,13292,2
M00101,3583,2
M00102,819,1
M00103,7890,2
M00104,11779,2
M00105,1372,1
M00106,615,1
M00107,2655,2
M00108,6801,2
M00109,14341,2
M00110,977,1
M00111,1028,1
M00112,12879,2
M00113,3833,2
M00114,1770,1
M00115,1098,1
M00116,398,1
M00117,8348,2
M00118,1209,1
M00119,17927,2
M00120,10926,2
M00121,135,0
M00122,5104,2
M00123,5093,2
M00124,3106,2
M00125,352,1
M00126,8459,2
M00127,1834,1
M00128,1583,1
M00129,8571,2
M00130,1399,1
M00131,4611,2
M00132,1684,1
M00133,3127,2
M00134,593,2
M00135,14457,2
M00136,1740,1
M00137,16363,2
M00138,756,2
M00139,12714,2
M00140,1479,1
M00141,3411,2
M00142,9566,2
M00143,167,1
M00144,5773,2
M00145,8406,2
M00146,1926,1
M00147,1952,1
M00148,15677,2
M00149,18222,2
M00150,1275,1
M00151,6457,2
M00152,12795,2
M00153,13365,2
M00154,17234,2
M00155,18105,2
M00156,2642,2
M00157,22,0
M00158,11152,2
M00159,17792,2
M00160,18243,2
M00161,4165,2
M00162,95398,2
M00163,16981,2
M00164,15350,2
M00165,1520,1
M00166,1389,2
M00167,197,1
M00168,14140,2
M00169,787,2
M00170,8068,2
M00171,878,1
M00172,15412,2
M00173,1700,1
M00174,11711,2
M00175,11422,2
M00176,7975,2
M00177,16110,2
M00178,6139,2
M00179,5481,2
M00180,452,1
M00181,84,0
M00182,12694,2
M00183,255,1
M00184,5070,2
M00185,12248,2
M00186,452,1
M00187,8303,2
M00188,4514,2
M00189,57,0
M00190,15755,2
M00191,6914,2
M00192,119,0
M00193,8481,2
M00194,12147,2
M00195,16910,2
M00196,7400,2
M00197,120,0
M00198,25,0
M00199,975,2
M00200,18611,2
M00201,187,1
M00202,9236,2
M00203,173,1
M00204,2284,2
M00205,854,1
M00206,13558,2
M00207,1376,1
M00208,12846,2
M00209,15181,2
M00210,1792,1
M00211,1260,1
M00212,4286,2
M00213,7099,2
M00214,17547,2
M00215,14045,2
M00216,13153,2
M00217,11482,2
M00218,18657,2
M00219,19409,2
M00220,18475,2
M00221,6561,2
M00222,12041,2
M00223,663,1
M00224,1966,1
M00225,9518,2
M00226,13658,2
M00227,15457,2
M00228,17603,2
M00229,8430,2
M00230,2044,2
M00231,94,0
M00232,8119,2
M00233,8121,2
M00234,115,0
M00235,18900,2
M00236,1820,2
M00237,1355,2
M00238,15067,2
M00239,18055,2
M00240,863,1
M00241,18211,2
M00242,1393,1
M00243,19823,2
M00244,695,1
M00245,14673,2
M00246,481,1
M00247,8881,2
M00248,704,1
M00249,19300,2
M00250,425,1
M00251,98,0
M00252,19,0
M00253,19261,2
M00254,723,1
M00255,47,0
M00256,9069,2
M00257,18525,2
M00258,4397,2
M00259,14698,2
M00260,3661,2
M00261,5523,2
M00262,9519,2
M00263,1673,1
M00264,361,1
M00265,16676,2
M00266,8062,2
M00267,1737,1
M00268,1742,1
M00269,14144,2
M00270,4730,2
M00271,694,1
M00272,18380,2
M00273,41,0
M00274,592,1
M00275,321,1
M00276,110,0
M00277,45,0
M00278,19231,2
M00279,1798,1
M00280,47,0
M00281,8834,2
M00282,7019,2
M00283,8729,2
M00284,196,1
M00285,11755,2
M00286,1059,1
M00287,1808,2
M00288,9849,2
M00289,12403,2
M00290,1854,1
M00291,106,0
M00292,11859,2
M00293,13508,2
M00294,18520,2
M00295,7197,2
M00296,3621,2
M00297,4823,2
M00298,569,2
M00299,1157,1
M00300,13814,2
M00301,18433,2
M00302,1421,1
M00303,16321,2
M00304,7810,2
M00305,188,1
M00306,13377,2
M00307,4272,2
M00308,885,2
M00309,7141,2
M00310,1863,1
M00311,4507,2
M00312,638,1
M00313,1377,1
M00314,611,2
M00315,573,1
M00316,8117,2
M00317,18797,2
M00318,8734,2
M00319,619,1
M00320,9302,2
M00321,927,1
M00322,15535,2
M00323,42,0
M00324,4273,2
M00325,35,0
M00326,6477,2
M00327,4507,2
M00328,1903,1
M00329,78,0
M00330,282,1
M00331,1106,1
M00332,5635,2
M00333,1586,1
M00334,118,0
M00335,5439,2
M00336,325,1
M00337,10511,2
M00338,3245,2
M00339,1442,1
M00340,18925,2
M00341,1424,1
M00342,2822,2
M00343,5068,2
M00344,14374,2
M00345,1992,1
M00346,11880,2
M00347,1140,1
M00348,7392,2
M00349,7853,2
M00350,2288,2
M00351,109,0
M00352,11897,2
M00353,2869,2
M00354,148,0
M00355,19044,2
M00356,2240,2
M00357,639,1
M00358,704,1
M00359,17433,2
M00360,1040,2
M00361,17056,2
M00362,12454,2
M00363,9636,2
M00364,3431,2
M00365,17967,2
M00366,8377,2
M00367,17748,2
M00368,11968,2
M00369,89,0
M00370,1245,1
M00371,1739,1
M00372,1947,2
M00373,48,0
M00374,15753,2
M00375,1945,1
M00376,17479,2
M00377,61,0
M00378,3201,2
M00379,96,0
M00380,1789,1
M00381,13783,2
M00382,16971,2
M00383,5042,2
M00384,508,1
M00385,1625,1
M00386,18813,2
M00387,14824,2
M00388,4876,2
M00389,9937,2
M00390,13804,2
M00391,312,1
M00392,1916,1
M00393,8891,2
M00394,16512,2
M00395,41,0
M00396,1994,1
M00397,8500,2
M00398,9093,2
M00399,9226,2
M00400,133,0
M00401,985,2
M00402,10919,2
M00403,17390,2
M00404,2127,2
M00405,12114,2
M00406,1811,2
M00407,1600,1
M00408,18867,2
M00409,4762,2
M00410,1175,2
M00411,35,0
M00412,82,0
M00413,87,0
M00414,82,0
M00415,12866,2
M00416,18403,2
M00417,959,2
M00418,3014,2
M00419,15373,2
M00420,1375,1
M00421,19108,2
M00422,13348,2
M00423,1877,1
M00424,16599,2
M00425,352,1
M00426,7767,2
M00427,187,1
M00428,5041,2
M00429,1894,1
M00430,11653,2
M00431,112,0
M00432,18723,2
M00433,19654,2
M00434,8655,2
M00435,15261,2
M00436,3527,2
M00437,1353,1
M00438,15910,2
M00439,15902,2
M00440,8828,2
M00441,16972,2
M00442,937,1
M00443,8610,2
M00444,17188,2
M00445,1375,1
M00446,735,1
M00447,5659,2
M00448,1705,1
M00449,1743,1
M00450,3286,2
M00451,7427,2
M00452,575,1
M00453,129,0
M00454,507,1
M00455,1847,1
M00456,1441,1
M00457,12066,2
M00458,1538,1
M00459,18210,2
M00460,12669,2
M00461,7741,2
M00462,1745,1
M00463,8657,2
M00464,2098,2
M00465,178302,2
M00466,4449,2
M00467,17641,2
M00468,11567,2
M00469,5418,2
M00470,6710,2
M00471,2287,2
M00472,8228,2
M00473,12966,2
M00474,15198,2
M00475,84,0
M00476,4446,2
M00477,2216,2
M00478,1390,2
M00479,544,1
M00480,9452,2
M00481,1780,2
M00482,4732,2
M00483,5000,2
M00484,15499,2
M00485,8962,2
M00486,8843,2
M00487,16172,2
M00488,12001,2
M00489,8516,2
M00490,8727,2
M00491,8285,2
M00492,9620,2
M00493,821,2
M00494,1630,1
M00495,17239,2
M00496,16559,2
M00497,10077,2
M00498,9790,2
M00499,16132,2
M00500,5996,2
M00501,13758,2
M00502,35,0
M00503,1773,1
M00504,2471,2
M00505,16769,2
M00506,19767,2
M00507,14373,2
M00508,1343,1
M00509,909,1
M00510,2316,2
M00511,15188,2
M00512,8787,2
M00513,138,0
M00514,744,1
M00515,13461,2
M00516,59,0
M00517,9432,2
M00518,8594,2
M00519,11667,2
M00520,1326,1
M00521,4448,2
M00522,10711,2
M00523,7063,2
M00524,16810,2
M00525,13920,2
M00526,1352,1
M00527,16887,2
M00528,646,1
M00529,3701,2
M00530,5631,2
M00531,3640,2
M00532,2440,2
M00533,1394,1
M00534,18276,2
M00535,282,1
M00536,57,0
M00537,2472,2
M00538,7813,2
M00539,13824,2
M00540,9512,2
M00541,130,0
M00542,15178,2
M00543,5930,2
M00544,15051,2
M00545,19881,2
M00546,13266,2
M00547,10,0
M00548,79,0
M00549,9840,2
M00550,1235,1
M00551,1863,1
M00552,129,0
M00553,1690,1
M00554,507,2
M00555,949,1
M00556,3787,2
M00557,9956,2
M00558,121,0
M00559,12913,2
M00560,1374,1
M00561,1097,1
M00562,12623,2
M00563,1213,1
M00564,285,1
M00565,1329,1
M00566,1440,1
M00567,19647,2
M00568,1833,1
M00569,1226,1
M00570,9320,2
M00571,3226,2
M00572,1725,1
M00573,55,0
M00574,731,1
M00575,11123,2
M00576,948,1
M00577,1203,1
M00578,171,1
M00579,1873,1
M00580,177,1
M00581,1063,1
M00582,12187,2
M00583,38,0
M00584,83,0
M00585,52,0
M00586,845,1
M00587,12161,2
M00588,126,0
M00589,5899,2
M00590,13419,2
M00591,16656,2
M00592,213,1
M00593,2953,2
M00594,4110,2
M00595,9668,2
M00596,1684,1
M00597,7694,2
M00598,10193,2
M00599,7867,2
M00600,1271,1
M00601,2021,2
M00602,1911,2
M00603,14097,2
M00604,695,2
M00605,16,0
M00606,17541,2
M00607,4320,2
M00608,16187,2
M00609,12342,2
M00610,4815,2
M00611,1379,1
M00612,7641,2
M00613,5031,2
M00614,2460,2
M00615,10,0
M00616,7921,2
M00617,15055,2
M00618,1672,1
M00619,19370,2
M00620,14403,2
M00621,892,1
M00622,71,0
M00623,30,0
M00624,2753,2
M00625,7257,2
M00626,15620,2
M00627,1089,2
M00628,538,1
M00629,327,1
M00630,1288,1
M00631,2694,2
M00632,58,0
M00633,7964,2
M00634,2894,2
M00635,1813,1
M00636,137,0
M00637,3180,2
M00638,1411,1
M00639,17204,2
M00640,6081,2
M00641,10093,2
M00642,13721,2
M00643,598,1
M00644,14676,2
M00645,1291,2
M00646,778,1
M00647,9714,2
M00648,892,1
M00649,19046,2
M00650,8206,2
M00651,977,2
M00652,13562,2
M00653,434,1
M00654,4354,2
M00655,18136,2
M00656,19950,2
M00657,1405,1
M00658,4633,2
M00659,1604,1
M00660,5862,2
M00661,11437,2
M00662,17914,2
M00663,6449,2
M00664,19532,2
M00665,18932,2
M00666,2779,2
M00667,1038,1
M00668,8029,2
M00669,1400,1
M00670,186,1
M00671,11525,2
M00672,3552,2
M00673,9485,2
M00674,1305,1
M00675,92,0
M00676,12775,2
M00677,1630,2
M00678,113,0
M00679,334,1
M00680,1786,1
M00681,9286,2
M00682,7849,2
M00683,754,1
M00684,236,1
M00685,10,0
M00686,33,0
M00687,8227,2
M00688,299210,1
M00689,14125,2
M00690,18802,2
M00691,15500,2
M00692,3187,2
M00693,1410,1
M00694,1969,1
M00695,9441,2
M00696,1003,2
M00697,12661,2
M00698,18618,2
M00699,19978,2
M00700,113,0
M00701,856,1
M00702,407,1
M00703,18298,2
M00704,13464,2
M00705,17367,2
M00706,647,1
M00707,19969,2
M00708,278,1
M00709,3922,2
M00710,11746,2
M00711,215,1
M00712,16356,2
M00713,281,1
M00714,18503,2
M00715,10521,2
M00716,16903,2
M00717,2565,2
M00718,4565,2
M00719,8622,2
M00720,1154,1
M00721,14423,2
M00722,878,1
M00723,47,0
M00724,4945,2
M00725,15750,2
M00726,1678,1
M00727,10619,2
M00728,231,1
M00729,434,1
M00730,5894,2
M00731,11808,2
M00732,6760,2
