job_id,service_time_ms,arrival_time_ms,priority
F00001,149,0,1
F00002,469,36,1
F00003,435,76,1
F00004,166,103,1
F00005,329,141,1
F00006,381,160,1
F00007,474,171,1
F00008,472,192,1
F00009,359,213,1
F00010,157,228,1
F00011,123,252,1
F00012,142,262,1
F00013,318,288,1
F00014,246,324,1
F00015,228,372,1
F00016,123,413,1
F00017,474,455,1
F00018,104,481,1
F00019,309,510,1
F00020,461,538,1
F00021,200,578,1
F00022,255,628,1
F00023,148,643,1
F00024,337,689,1
F00025,177,707,1
F00026,302,743,1
F00027,442,753,1
F00028,186,764,1
F00029,451,784,1
F00030,438,826,1
F00031,207,846,1
F00032,315,891,1
F00033,487,936,1
F00034,106,955,1
F00035,247,980,1
F00036,208,1005,1
F00037,366,1019,1
F00038,239,1062,1
F00039,326,1085,1
F00040,376,1096,1
F00041,293,1135,1
F00042,469,1159,1
F00043,356,1176,1
F00044,354,1201,1
F00045,231,1227,1
F00046,382,1250,1
F00047,143,1272,1
F00048,216,1302,1
F00049,468,1344,1
F00050,175,1367,1
F00051,470,1405,1
F00052,332,1435,1
F00053,135,1464,1
F00054,251,1486,1
F00055,107,1535,1
F00056,342,1559,1
F00057,169,1591,1
F00058,132,1604,1
F00059,349,1618,1
F00060,348,1643,1
F00061,306,1669,1
F00062,171,1700,1
F00063,399,1715,1
F00064,478,1752,1
F00065,473,1794,1
F00066,429,1833,1
F00067,145,1866,1
F00068,445,1907,1
F00069,150,1941,1
F00070,237,1974,1
F00071,467,2018,1
F00072,296,2037,1
F00073,359,2053,1
F00074,335,2073,1
F00075,161,2116,1
F00076,420,2150,1
F00077,325,2162,1
F00078,428,2172,1
F00079,392,2182,1
F00080,265,2202,1
F00081,407,2217,1
F00082,161,2247,1
F00083,172,2269,1
F00084,461,2287,1
F00085,457,2303,1
F00086,159,2352,1
F00087,359,2380,1
F00088,253,2421,1
F00089,149,2431,1
F00090,229,2471,1
F00091,483,2487,1
F00092,361,2523,1
F00093,376,2535,1
F00094,206,2579,1
F00095,259,2603,1
F00096,429,2642,1
F00097,102,2654,1
F00098,295,2697,1
F00099,417,2746,1
F00100,373,2783,1
F00101,271,2815,1
F00102,195,2851,1
F00103,245,2901,1
F00104,484,2928,1
F00105,264,2965,1
F00106,379,2989,1
F00107,127,3025,1
F00108,427,3075,1
F00109,191,3115,1
F00110,363,3140,1
F00111,105,3150,1
F00112,159,3198,1
F00113,374,3223,1
F00114,299,3235,1
F00115,436,3277,1
F00116,444,3326,1
F00117,116,3356,1
F00118,334,3393,1
F00119,312,3431,1
F00120,418,3481,1
F00121,128,3493,1
F00122,226,3504,1
F00123,326,3519,1
F00124,230,3540,1
F00125,370,3571,1
F00126,286,3617,1
F00127,311,3651,1
F00128,460,3689,1
F00129,159,3729,1
F00130,341,3772,1
F00131,269,3791,1
F00132,241,3815,1
F00133,432,3829,1
F00134,379,3866,1
F00135,477,3888,1
F00136,419,3910,1
F00137,334,3930,1
F00138,481,3972,1
F00139,255,4012,1
F00140,399,4026,1
F00141,274,4049,1
F00142,491,4085,1
F00143,410,4107,1
F00144,288,4146,1
F00145,181,4175,1
F00146,400,4191,1
F00147,366,4230,1
F00148,350,4249,1
F00149,244,4297,1
F00150,288,4314,1
F00151,374,4356,1
F00152,328,4389,1
F00153,426,4439,1
F00154,349,4459,1
F00155,237,4475,1
F00156,400,4510,1
F00157,208,4554,1
F00158,359,4565,1
F00159,272,4589,1
F00160,211,4608,1
F00161,284,4631,1
F00162,319,4642,1
F00163,487,4678,1
F00164,252,4724,1
F00165,214,4768,1
F00166,302,4800,1
F00167,498,4835,1
F00168,313,4867,1
F00169,156,4900,1
F00170,147,4942,1
F00171,400,4972,1
F00172,341,5019,1
F00173,110,5069,1
F00174,498,5085,1
F00175,238,5119,1
F00176,130,5130,1
F00177,202,5145,1
F00178,106,5175,1
F00179,444,5206,1
F00180,101,5229,1
F00181,349,5250,1
F00182,144,5289,1
F00183,420,5331,1
F00184,214,5346,1
F00185,336,5394,1
F00186,311,5421,1
F00187,119,5463,1
F00188,382,5501,1
F00189,181,5527,1
F00190,176,5577,1
F00191,202,5595,1
F00192,269,5612,1
F00193,161,5636,1
F00194,131,5676,1
F00195,486,5710,1
F00196,278,5748,1
F00197,157,5794,1
F00198,426,5809,1
F00199,195,5820,1
F00200,295,5857,1
F00201,355,5898,1
F00202,273,5927,1
F00203,246,5944,1
F00204,168,5961,1
F00205,401,5996,1
F00206,393,6043,1
F00207,365,6065,1
F00208,375,6104,1
F00209,291,6152,1
F00210,441,6186,1
F00211,107,6234,1
F00212,218,6245,1
F00213,348,6259,1
F00214,151,6298,1
F00215,291,6337,1
F00216,138,6385,1
F00217,455,6431,1
F00218,108,6463,1
F00219,261,6510,1
F00220,152,6559,1
F00221,276,6584,1
F00222,271,6634,1
F00223,323,6644,1
F00224,364,6665,1
F00225,168,6699,1
F00226,134,6727,1
F00227,420,6759,1
F00228,455,6803,1
F00229,338,6851,1
F00230,148,6863,1
F00231,122,6893,1
F00232,462,6909,1
F00233,366,6950,1
F00234,201,6967,1
