run_id,job_id,arrival_time_ms,service_time_ms,start_time_ms,finish_time_ms,waiting_time_ms,execution_time_ms,response_time_ms,cpu_usage_percent,memory_usage_mb,slowdown,priority
abff7967f6,PR00001,0,269,16520000,16520269,16520000,269,16520269,18.5,4543.01953125,61413.63940520446,-16
abff7967f6,PR00002,37,260,105440000,105440260,105439963,260,105440223,17.4,4550.6328125,405539.31923076924,16
abff7967f6,PR00003,80,311,49400000,49400311,49399920,311,49400231,38.45,4551.45703125,158843.18649517684,-7
abff7967f6,PR00004,120,528,87360000,87360528,87359880,528,87360408,54.55,4559.28125,165455.31818181818,7
abff7967f6,PR00005,162,30,2860000,2860030,2859838,30,2859868,3.95,4536.0546875,95328.93333333333,-19
abff7967f6,PR00006,174,16,13160000,13160016,13159826,16,13159842,29.7,4546.546875,822490.125,-17
abff7967f6,PR00007,222,219,40380000,40380219,40379778,219,40379997,38.05,4546.0546875,184383.54794520547,-10
abff7967f6,PR00008,243,399,112720000,112720399,112719757,399,112720156,15.9,4551.05859375,282506.65664160403,19
abff7967f6,PR00009,272,58,57960000,57960058,57959728,58,57959786,12.0,4545.37109375,999306.6551724138,-4
abff7967f6,PR00010,281,167,60940000,60940167,60939719,167,60939886,11.35,4547.08203125,364909.497005988,-3
abff7967f6,PR00011,293,339,72280000,72280339,72279707,339,72280046,45.45,4548.0625,213215.4749262537,1
abff7967f6,PR00012,299,252,42960000,42960252,42959701,252,42959953,36.2,4547.984375,170476.00396825396,-9
abff7967f6,PR00013,310,597,99640000,99640597,99639690,597,99640287,15.15,4556.6796875,166901.65326633165,13
abff7967f6,PR00014,346,428,49480000,49480428,49479654,428,49480082,35.55,4551.45703125,115607.66822429906,-7
abff7967f6,PR00015,389,285,46080000,46080285,46079611,285,46079896,36.9,4549.5546875,161683.8456140351,-8
abff7967f6,PR00016,410,266,63800000,63800266,63799590,266,63799856,16.65,4540.828125,239849.08270676693,-2
abff7967f6,PR00017,447,67,2880000,2880067,2879553,67,2879620,3.95,4536.0546875,42979.40298507463,-19
abff7967f6,PR00018,460,568,106760000,106760568,106759540,568,106760108,27.5,4550.87109375,187957.9366197183,17
abff7967f6,PR00019,476,503,69720000,69720503,69719524,503,69720027,42.3,4545.1796875,138608.4035785288,0
abff7967f6,PR00020,490,76,28720000,28720076,28719510,76,28719586,47.75,4544.8046875,377889.2894736842,-13
abff7967f6,PR00021,535,582,78400000,78400582,78399465,582,78400047,48.1,4554.00390625,134707.98453608248,3
abff7967f6,PR00022,556,338,76680000,76680338,76679444,338,76679782,40.0,4547.47265625,226863.26035502958,2
abff7967f6,PR00023,596,264,58040000,58040264,58039404,264,58039668,12.95,4545.37109375,219847.22727272726,-4
abff7967f6,PR00024,626,152,36800000,36800152,36799374,152,36799526,38.15,4547.8203125,242102.1447368421,-11
abff7967f6,PR00025,628,492,76760000,76760492,76759372,492,76759864,15.2,4547.47265625,156015.9837398374,2
abff7967f6,PR00026,666,118,43020000,43020118,43019334,118,43019452,42.4,4547.984375,364571.6271186441,-9
abff7967f6,PR00027,687,411,55120000,55120411,55119313,411,55119724,15.2,4544.40234375,134111.2506082725,-5
abff7967f6,PR00028,723,485,63860000,63860485,63859277,485,63859762,37.95,4540.828125,131669.61237113402,-2
abff7967f6,PR00029,730,66,40440000,40440066,40439270,66,40439336,39.3,4546.0546875,612717.2121212122,-10
abff7967f6,PR00030,763,553,87560000,87560553,87559237,553,87559790,35.15,4559.5078125,158335.96745027124,7
abff7967f6,PR00031,784,468,106960000,106960468,106959216,468,106959684,38.65,4550.47265625,228546.33333333334,17
abff7967f6,PR00032,819,533,76860000,76860533,76859181,533,76859714,32.05,4547.47265625,144202.09005628517,2
abff7967f6,PR00033,829,447,85720000,85720447,85719171,447,85719618,17.25,4556.9375,191766.48322147652,6
abff7967f6,PR00034,843,10,3180000,3180010,3179157,10,3179167,20.6,4536.4921875,317916.7,-19
abff7967f6,PR00035,876,116,103320000,103320116,103319124,116,103319240,40.8,4558.68359375,890683.1034482758,15
abff7967f6,PR00036,920,331,32040000,32040331,32039080,331,32039411,12.5,4544.75,96795.80362537764,-12
abff7967f6,PR00037,927,717,106980000,106980717,106979073,717,106979790,41.0,4550.47265625,149204.7280334728,17
