job_id,service_time_ms,priority
F00001,102,1
F00002,95,1
F00003,104,1
F00004,105,1
F00005,90,1
F00006,93,1
F00007,101,1
F00008,98,1
F00009,100,1
F00010,96,1
F00011,104,1
F00012,104,1
F00013,100,1
F00014,106,1
F00015,102,1
F00016,96,1
F00017,102,1
F00018,95,1
F00019,104,1
F00020,100,1
F00021,99,1
F00022,97,1
F00023,106,1
F00024,99,1
F00025,98,1
F00026,98,1
F00027,103,1
F00028,102,1
F00029,102,1
F00030,102,1
F00031,111,1
F00032,98,1
F00033,97,1
F00034,96,1
F00035,103,1
F00036,106,1
F00037,99,1
F00038,96,1
F00039,96,1
F00040,103,1
F00041,104,1
F00042,103,1
F00043,97,1
F00044,101,1
F00045,101,1
F00046,101,1
F00047,104,1
F00048,101,1
F00049,103,1
F00050,100,1
F00051,101,1
F00052,103,1
F00053,93,1
F00054,98,1
F00055,98,1
F00056,97,1
F00057,99,1
F00058,107,1
F00059,96,1
F00060,105,1
F00061,92,1
F00062,98,1
F00063,101,1
F00064,103,1
F00065,104,1
F00066,104,1
F00067,98,1
F00068,98,1
F00069,104,1
F00070,99,1
F00071,94,1
F00072,94,1
F00073,95,1
F00074,102,1
F00075,101,1
F00076,103,1
F00077,98,1
F00078,101,1
F00079,103,1
F00080,98,1
F00081,102,1
F00082,97,1
F00083,98,1
F00084,98,1
F00085,94,1
F00086,102,1
F00087,98,1
F00088,100,1
F00089,102,1
F00090,102,1
F00091,103,1
F00092,100,1
F00093,98,1
F00094,100,1
F00095,92,1
F00096,93,1
F00097,93,1
F00098,95,1
F00099,102,1
F00100,95,1
F00101,98,1
F00102,106,1
F00103,98,1
F00104,104,1
F00105,95,1
F00106,99,1
F00107,95,1
F00108,98,1
F00109,104,1
F00110,91,1
F00111,102,1
F00112,101,1
F00113,97,1
F00114,93,1
F00115,100,1
F00116,97,1
F00117,101,1
F00118,100,1
F00119,108,1
F00120,99,1
F00121,95,1
F00122,101,1
F00123,101,1
F00124,107,1
F00125,104,1
F00126,102,1
F00127,107,1
F00128,94,1
F00129,97,1
F00130,95,1
F00131,98,1
F00132,93,1
F00133,103,1
F00134,99,1
F00135,93,1
F00136,95,1
F00137,102,1
F00138,104,1
F00139,110,1
F00140,115,1
F00141,102,1
F00142,95,1
F00143,89,1
F00144,101,1
F00145,96,1
F00146,98,1
F00147,97,1
F00148,99,1
F00149,105,1
F00150,101,1
F00151,99,1
F00152,95,1
