job_id,service_time_ms,priority
P00001,32,0
P00002,39792,1
P00003,17713,1
P00004,21251,1
P00005,161,0
P00006,20388,1
P00007,67,0
P00008,15553,1
P00009,37309,1
P00010,13363,1
P00011,35314,1
P00012,35898,1
P00013,38024,1
P00014,12337,1
P00015,38870,1
P00016,34,0
P00017,20084,1
P00018,23991,1
P00019,24549,1
P00020,177,0
P00021,196,0
P00022,4810,1
P00023,132,0
P00024,22089,1
P00025,23156,1
P00026,38676,1
P00027,11058,1
P00028,23069,1
P00029,38693,1
P00030,4869,1
P00031,12821,1
P00032,150,0
P00033,33924,1
P00034,19799,1
P00035,10913,1
P00036,6510,1
P00037,16232,1
P00038,4170,1
P00039,9983,1
P00040,134,0
P00041,19342,1
P00042,14039,1
P00043,18475,1
P00044,39484,1
P00045,13683,1
P00046,22625,1
P00047,10518,1
P00048,8190,1
P00049,36401,1
P00050,17396,1
P00051,2188,1
P00052,27426,1
P00053,31288,1
P00054,16314,1
P00055,36848,1
P00056,6690,1
P00057,4886,1
P00058,6099,1
P00059,29395,1
P00060,8276,1
P00061,34496,1
P00062,18989,1
P00063,13642,1
P00064,2714,1
P00065,22918,1
P00066,19955,1
P00067,32001,1
P00068,30343,1
P00069,17300,1
P00070,13451,1
P00071,33,0
P00072,25312,1
P00073,37711,1
P00074,34630,1
P00075,27848,1
P00076,73,0
P00077,160,0
P00078,37141,1
P00079,4465,1
P00080,25336,1
P00081,36788,1
P00082,103,0
P00083,34956,1
P00084,30790,1
P00085,26832,1
P00086,31059,1
P00087,78,0
P00088,26259,1
P00089,4620,1
P00090,15053,1
P00091,34327,1
P00092,193,0
P00093,6804,1
P00094,6416,1
P00095,22431,1
P00096,24910,1
P00097,24401,1
P00098,28802,1
P00099,12927,1
P00100,15585,1
P00101,63,0
P00102,10360,1
P00103,24774,1
P00104,28669,1
P00105,115,0
P00106,9408,1
P00107,12388,1
P00108,133,0
P00109,91,0
P00110,27,0
P00111,6801,1
P00112,78,0
P00113,32239,1
P00114,13094,1
P00115,8117,1
P00116,3142,1
P00117,30788,1
P00118,38851,1
P00119,23593,1
P00120,35725,1
P00121,33305,1
P00122,154,0
P00123,162,0
P00124,152,0
P00125,18606,1
P00126,24194,1
P00127,26782,1
P00128,36503,1
P00129,10287,1
P00130,15533,1
P00131,29,0
P00132,38206,1
P00133,14268,1
P00134,115,0
P00135,165,0
P00136,32288,1
P00137,20321,1
P00138,36897,1
P00139,19744,1
P00140,184,0
P00141,4636,1
P00142,13502,1
P00143,6411,1
P00144,30597,1
P00145,7416,1
P00146,39512,1
P00147,67,0
P00148,16959,1
P00149,36846,1
P00150,14978,1
P00151,32366,1
P00152,38977,1
P00153,37144,1
P00154,83,0
P00155,11174,1
P00156,27,0
P00157,27369,1
P00158,11669,1
P00159,152,0
