job_id,service_time_ms,arrival_time_ms
j00000,1112,0
j00001,613,0
j00002,1310,0
j00003,841,0
j00004,1695,0
j00005,508,0
j00006,557,0
j00007,768,0
j00008,671,0
j00009,1174,0
j00010,628,0
j00011,1613,0
j00012,1061,0
j00013,1654,0
j00014,760,0
j00015,1964,0
j00016,830,0
j00017,836,0
j00018,1064,0
j00019,1164,0
j00020,1236,0
j00021,686,0
j00022,1852,0
j00023,1146,0
j00024,1848,0
j00025,1111,0
j00026,1699,0
j00027,566,0
j00028,1733,0
j00029,1765,0
j00030,1218,0
j00031,1796,0
j00032,1521,0
j00033,1823,0
j00034,1172,0
j00035,945,0
j00036,1369,0
j00037,22,0
j00038,1400,0
j00039,893,0
j00040,1221,0
j00041,1874,0
j00042,1476,0
j00043,1030,0
j00044,1031,0
j00045,521,0
j00046,775,0
j00047,1675,0
j00048,1939,0
j00049,765,0
j00050,1346,0
j00051,1363,0
j00052,1171,0
j00053,1038,0
j00054,789,0
j00055,522,0
j00056,1761,0
j00057,1268,0
j00058,48,0
j00059,1538,0
j00060,1820,0
j00061,1870,0
j00062,1489,0
j00063,26,0
j00064,922,0
j00065,1943,0
j00066,1783,0
j00067,1720,0
j00068,767,0
j00069,1603,0
j00070,1703,0
j00071,834,0
j00072,1811,0
j00073,1929,0
j00074,1895,0
j00075,1672,0
j00076,935,0
j00077,712,0
j00078,1633,0
j00079,1868,0
j00080,1986,0
j00081,929,0
j00082,752,0
j00083,977,0
j00084,1762,0
j00085,1631,0
j00086,1214,0
j00087,591,0
j00088,1553,0
j00089,1949,0
j00090,1660,0
j00091,550,0
j00092,1614,0
j00093,1517,0
j00094,1191,0
j00095,628,0
j00096,648,0
j00097,804,0
j00098,1325,0
j00099,1442,0
j00100,789,0
j00101,698,0
j00102,1653,0
j00103,1636,0
j00104,1555,0
j00105,1097,0
j00106,1974,0
j00107,1400,0
j00108,987,0
j00109,764,0
j00110,1248,0
j00111,1749,0
j00112,520,0
j00113,1387,0
j00114,1223,0
j00115,891,0
j00116,1256,0
j00117,1672,0
j00118,601,0
j00119,1071,0
j00120,539,0
j00121,1162,0
j00122,1839,0
j00123,1866,0
j00124,1547,0
j00125,1714,0
j00126,984,0
j00127,1955,0
j00128,1519,0
j00129,1150,0
j00130,1748,0
j00131,1963,0
j00132,1471,0
j00133,1851,0
j00134,1762,0
j00135,1997,0
j00136,1733,0
j00137,1864,0
j00138,1476,0
j00139,535,0
j00140,1799,0
j00141,1608,0
j00142,1323,0
j00143,1298,0
j00144,507,0
j00145,20,0
j00146,581,0
j00147,1044,0
j00148,841,0
j00149,829,0
j00150,1460,0
j00151,50,0
j00152,1262,0
j00153,1632,0
j00154,1905,0
j00155,1943,0
j00156,1882,0
j00157,714,0
j00158,1375,0
j00159,669,0
j00160,575,0
j00161,1349,0
j00162,709,0
j00163,1121,0
j00164,836,0
j00165,1776,0
j00166,1511,0
j00167,861,0
j00168,1082,0
j00169,1049,0
j00170,1914,0
j00171,710,0
j00172,935,0
j00173,1178,0
j00174,832,0
j00175,1675,0
j00176,1184,0
j00177,548,0
j00178,729,0
j00179,838,0
j00180,894,0
j00181,678,0
j00182,1313,0
j00183,1174,0
j00184,1531,0
j00185,1717,0
j00186,1853,0
j00187,582,0
j00188,1429,0
j00189,1211,0
j00190,1621,0
j00191,1880,0
j00192,1599,0
j00193,591,0
j00194,1719,0
j00195,712,0
j00196,1682,0
j00197,1054,0
j00198,1102,0
j00199,1601,0
j00200,670,0
j00201,1354,0
j00202,1247,0
j00203,1771,0
j00204,1175,0
j00205,6,0
j00206,1871,0
j00207,1576,0
j00208,1582,0
j00209,1445,0
j00210,935,0
j00211,1752,0
j00212,1220,0
j00213,1103,0
j00214,1748,0
j00215,1060,0
j00216,1667,0
j00217,1722,0
j00218,1980,0
j00219,1661,0
j00220,1663,0
j00221,549,0
j00222,1216,0
j00223,1471,0
j00224,1827,0
j00225,954,0
j00226,1214,0
j00227,776,0
j00228,1425,0
j00229,1681,0
j00230,513,0
j00231,824,0
j00232,1784,0
j00233,21,0
j00234,1336,0
j00235,1008,0
j00236,45,0
j00237,553,0
j00238,1598,0
j00239,912,0
j00240,1689,0
j00241,561,0
j00242,1356,0
j00243,1859,0
j00244,1761,0
j00245,6,0
j00246,1131,0
j00247,893,0
j00248,847,0
j00249,1587,0
j00250,1289,0
j00251,22,0
j00252,937,0
j00253,44,0
j00254,1326,0
j00255,728,0
j00256,46,0
j00257,1721,0
j00258,1455,0
j00259,1041,0
j00260,1614,0
j00261,1973,0
j00262,1639,0
j00263,1908,0
j00264,677,0
j00265,1758,0
j00266,1726,0
j00267,1611,0
j00268,559,0
j00269,1946,0
j00270,1345,0
j00271,691,0
j00272,1354,0
j00273,966,0
j00274,1644,0
j00275,1447,0
j00276,1909,0
j00277,1838,0
j00278,1876,0
j00279,1344,0
j00280,1188,0
j00281,611,0
j00282,1034,0
j00283,617,0
j00284,1309,0
j00285,1042,0
j00286,1213,0
j00287,988,0
j00288,728,0
j00289,937,0
j00290,39,0
j00291,1221,0
j00292,1237,0
j00293,993,0
j00294,31,0
j00295,705,0
j00296,11,0
j00297,1950,0
j00298,1923,0
j00299,824,0
j00300,1758,0
j00301,799,0
j00302,1725,0
j00303,1938,0
j00304,1976,0
j00305,1966,0
j00306,706,0
j00307,986,0
j00308,1530,0
j00309,1524,0
j00310,1340,0
j00311,1471,0
j00312,1915,0
j00313,1364,0
j00314,1177,0
j00315,826,0
j00316,1227,0
j00317,1410,0
j00318,1840,0
j00319,1194,0
j00320,1075,0
j00321,658,0
j00322,643,0
j00323,1485,0
j00324,598,0
j00325,1950,0
j00326,1947,0
j00327,1502,0
j00328,1603,0
j00329,911,0
j00330,654,0
j00331,1610,0
j00332,1979,0
j00333,1976,0
j00334,691,0
j00335,1007,0
j00336,770,0
j00337,1840,0
j00338,1154,0
j00339,906,0
j00340,1730,0
j00341,1019,0
j00342,1730,0
j00343,1429,0
j00344,1369,0
j00345,1573,0
j00346,844,0
j00347,763,0
j00348,1091,0
j00349,1457,0
j00350,1104,0
j00351,814,0
j00352,1252,0
j00353,907,0
j00354,1637,0
j00355,1456,0
j00356,714,0
j00357,1142,0
j00358,1444,0
j00359,1192,0
j00360,1640,0
j00361,1644,0
j00362,1500,0
j00363,666,0
j00364,1743,0
j00365,1751,0
j00366,738,0
j00367,1969,0
j00368,630,0
j00369,1337,0
j00370,43,0
j00371,868,0
j00372,1358,0
j00373,16,0
j00374,1205,0
j00375,745,0
j00376,1740,0
j00377,1936,0
j00378,836,0
j00379,1338,0
j00380,505,0
j00381,26,0
j00382,1618,0
j00383,603,0
j00384,898,0
j00385,1618,0
j00386,30,0
j00387,1315,0
j00388,880,0
j00389,1079,0
j00390,512,0
j00391,1542,0
j00392,854,0
j00393,673,0
j00394,652,0
j00395,1398,0
j00396,781,0
j00397,1903,0
j00398,1049,0
j00399,982,0
j00400,862,0
j00401,728,0
j00402,1567,0
j00403,1740,0
j00404,1892,0
j00405,1042,0
j00406,1753,0
j00407,1008,0
j00408,1497,0
j00409,1994,0
j00410,1303,0
j00411,721,0
j00412,1240,0
j00413,1918,0
j00414,1123,0
j00415,554,0
j00416,1705,0
j00417,1741,0
j00418,1990,0
j00419,972,0
j00420,1441,0
j00421,1142,0
j00422,1304,0
j00423,1849,0
j00424,1043,0
j00425,1852,0
j00426,1364,0
j00427,862,0
j00428,1518,0
j00429,986,0
j00430,1748,0
j00431,1741,0
j00432,1746,0
j00433,1708,0
j00434,11,0
j00435,524,0
j00436,1977,0
j00437,1406,0
j00438,1618,0
j00439,523,0
j00440,524,0
j00441,1832,0
j00442,1599,0
j00443,1538,0
j00444,1286,0
j00445,1475,0
j00446,1714,0
j00447,646,0
j00448,1273,0
j00449,1978,0
j00450,1897,0
j00451,955,0
j00452,1415,0
j00453,1112,0
j00454,1821,0
j00455,1973,0
j00456,1776,0
j00457,1078,0
j00458,1235,0
j00459,1114,0
j00460,898,0
j00461,994,0
j00462,968,0
j00463,592,0
j00464,1609,0
j00465,1895,0
j00466,1344,0
j00467,840,0
j00468,1329,0
j00469,1264,0
j00470,1870,0
j00471,1038,0
j00472,1206,0
j00473,1814,0
j00474,1723,0
j00475,600,0
j00476,550,0
j00477,1677,0
j00478,1021,0
j00479,1552,0
j00480,1355,0
j00481,979,0
j00482,1311,0
j00483,1481,0
j00484,1703,0
j00485,1829,0
j00486,1424,0
j00487,1899,0
j00488,33,0
j00489,1665,0
j00490,1760,0
j00491,1439,0
j00492,1250,0
j00493,1680,0
j00494,945,0
j00495,929,0
j00496,831,0
j00497,960,0
j00498,1771,0
j00499,45,0
j00500,1045,0
j00501,793,0
j00502,1231,0
j00503,1461,0
j00504,1578,0
j00505,803,0
j00506,25,0
j00507,779,0
j00508,1925,0
j00509,536,0
