job_id,service_time_ms,arrival_time_ms
j0000,792,0
j0001,748,0
j0002,448,0
j0003,749,0
j0004,318,0
j0005,635,0
j0006,326,0
j0007,503,0
j0008,456,0
j0009,330,0
j0010,398,0
j0011,612,0
j0012,751,0
j0013,485,0
j0014,667,0
j0015,626,0
j0016,317,0
j0017,34,0
j0018,619,0
j0019,362,0
j0020,328,0
j0021,488,0
j0022,572,0
j0023,802,0
j0024,589,0
j0025,475,0
j0026,413,0
j0027,705,0
j0028,574,0
j0029,8,0
j0030,866,0
j0031,397,0
j0032,874,0
j0033,752,0
j0034,527,0
j0035,508,0
j0036,468,0
j0037,877,0
j0038,875,0
j0039,743,0
j0040,635,0
j0041,436,0
j0042,463,0
j0043,760,0
j0044,418,0
j0045,642,0
j0046,608,0
j0047,538,0
j0048,638,0
j0049,430,0
j0050,482,0
j0051,334,0
j0052,313,0
j0053,867,0
j0054,547,0
j0055,738,0
j0056,499,0
j0057,12,0
j0058,613,0
j0059,539,0
j0060,416,0
j0061,722,0
j0062,306,0
j0063,444,0
j0064,861,0
j0065,793,0
j0066,724,0
j0067,854,0
j0068,375,0
j0069,510,0
j0070,809,0
j0071,419,0
j0072,861,0
j0073,42,0
j0074,344,0
j0075,636,0
j0076,30,0
j0077,24,0
j0078,801,0
j0079,578,0
j0080,895,0
j0081,661,0
j0082,417,0
j0083,880,0
j0084,618,0
j0085,625,0
j0086,719,0
j0087,453,0
j0088,619,0
j0089,788,0
j0090,505,0
j0091,683,0
j0092,717,0
j0093,770,0
j0094,495,0
j0095,608,0
j0096,362,0
j0097,418,0
j0098,375,0
j0099,741,0
j0100,559,0
j0101,666,0
j0102,644,0
j0103,825,0
j0104,794,0
j0105,387,0
j0106,446,0
j0107,301,0
j0108,429,0
j0109,324,0
j0110,797,0
j0111,573,0
j0112,849,0
j0113,446,0
j0114,465,0
j0115,592,0
j0116,634,0
j0117,300,0
j0118,517,0
j0119,620,0
j0120,760,0
j0121,882,0
j0122,442,0
j0123,534,0
j0124,412,0
j0125,503,0
j0126,856,0
