job_id,service_time_ms,arrival_time_ms
j00000,15,0
j00001,5,0
j00002,78,0
j00003,102,0
j00004,12,0
j00005,117,0
j00006,78,0
j00007,15,0
j00008,161,0
j00009,13,0
j00010,59,0
j00011,13,0
j00012,5,0
j00013,7,0
j00014,14,0
j00015,146,0
j00016,167,0
j00017,95,0
j00018,70,0
j00019,73,0
j00020,17,0
j00021,161,0
j00022,112,0
j00023,172,0
j00024,168,0
j00025,15,0
j00026,159,0
j00027,1107,0
j00028,76,0
j00029,163,0
j00030,9,0
j00031,14,0
j00032,52,0
j00033,125,0
j00034,15,0
j00035,146,0
j00036,59,0
j00037,13,0
j00038,6,0
j00039,113,0
j00040,16,0
j00041,8,0
j00042,168,0
j00043,89,0
j00044,7,0
j00045,15,0
j00046,12,0
j00047,7,0
j00048,13,0
j00049,13,0
j00050,163,0
j00051,7,0
j00052,12,0
j00053,807,0
j00054,6,0
j00055,198,0
j00056,159,0
j00057,18,0
j00058,10,0
j00059,162,0
j00060,13,0
j00061,156,0
j00062,197,0
j00063,166,0
j00064,1196,0
j00065,17,0
j00066,18,0
j00067,160,0
j00068,123,0
j00069,939,0
j00070,110,0
j00071,834,0
j00072,14,0
j00073,10,0
j00074,10,0
j00075,7,0
j00076,67,0
j00077,196,0
j00078,153,0
j00079,112,0
j00080,14,0
j00081,17,0
j00082,842,0
j00083,129,0
j00084,1015,0
j00085,20,0
j00086,15,0
j00087,6,0
j00088,142,0
j00089,89,0
j00090,13,0
j00091,1461,0
j00092,105,0
j00093,137,0
j00094,82,0
j00095,154,0
j00096,146,0
j00097,69,0
j00098,61,0
j00099,82,0
j00100,51,0
j00101,83,0
j00102,18,0
j00103,172,0
j00104,16,0
j00105,10,0
j00106,94,0
j00107,65,0
j00108,1187,0
j00109,8,0
j00110,199,0
j00111,155,0
j00112,8,0
j00113,90,0
j00114,125,0
j00115,126,0
j00116,6,0
j00117,133,0
j00118,11,0
j00119,179,0
j00120,154,0
j00121,6,0
j00122,1160,0
j00123,72,0
j00124,18,0
j00125,1219,0
j00126,108,0
j00127,154,0
j00128,185,0
j00129,16,0
j00130,6,0
j00131,7,0
j00132,83,0
j00133,6,0
j00134,1416,0
j00135,6,0
j00136,13,0
j00137,17,0
j00138,181,0
j00139,18,0
j00140,157,0
j00141,6,0
j00142,12,0
j00143,100,0
j00144,90,0
j00145,13,0
j00146,132,0
j00147,127,0
j00148,57,0
j00149,105,0
j00150,81,0
j00151,5,0
j00152,175,0
j00153,13,0
j00154,19,0
j00155,6,0
j00156,101,0
j00157,191,0
j00158,20,0
j00159,140,0
j00160,978,0
j00161,91,0
j00162,17,0
j00163,190,0
j00164,72,0
j00165,192,0
j00166,143,0
j00167,9,0
j00168,71,0
j00169,87,0
j00170,193,0
j00171,9,0
j00172,149,0
j00173,129,0
j00174,9,0
j00175,6,0
j00176,69,0
j00177,5,0
j00178,51,0
j00179,7,0
j00180,113,0
j00181,13,0
j00182,157,0
j00183,71,0
j00184,11,0
j00185,190,0
j00186,1499,0
j00187,17,0
j00188,14,0
j00189,8,0
j00190,16,0
j00191,148,0
j00192,188,0
j00193,12,0
j00194,96,0
j00195,199,0
j00196,8,0
j00197,5,0
j00198,1113,0
j00199,10,0
j00200,161,0
j00201,133,0
j00202,82,0
j00203,96,0
j00204,81,0
j00205,155,0
j00206,52,0
j00207,13,0
j00208,5,0
j00209,1473,0
j00210,20,0
j00211,136,0
j00212,92,0
j00213,6,0
j00214,7,0
j00215,10,0
j00216,1113,0
j00217,8,0
j00218,13,0
j00219,114,0
j00220,181,0
j00221,133,0
j00222,188,0
j00223,77,0
j00224,5,0
j00225,65,0
j00226,12,0
j00227,10,0
j00228,1236,0
j00229,10,0
j00230,200,0
j00231,1311,0
j00232,13,0
j00233,10,0
j00234,833,0
j00235,9,0
j00236,1481,0
j00237,125,0
j00238,197,0
j00239,188,0
j00240,111,0
j00241,17,0
j00242,11,0
j00243,103,0
j00244,1147,0
j00245,181,0
j00246,175,0
j00247,162,0
j00248,150,0
j00249,93,0
j00250,1170,0
j00251,89,0
j00252,803,0
j00253,96,0
j00254,111,0
j00255,81,0
j00256,6,0
j00257,999,0
j00258,20,0
j00259,159,0
j00260,7,0
j00261,113,0
j00262,7,0
j00263,122,0
j00264,7,0
j00265,18,0
j00266,19,0
j00267,14,0
j00268,17,0
j00269,65,0
j00270,156,0
j00271,71,0
j00272,19,0
j00273,192,0
j00274,181,0
j00275,14,0
j00276,57,0
j00277,17,0
j00278,60,0
j00279,14,0
j00280,198,0
j00281,114,0
j00282,168,0
j00283,1014,0
j00284,11,0
j00285,101,0
j00286,1014,0
j00287,108,0
j00288,1260,0
j00289,15,0
j00290,5,0
j00291,126,0
j00292,88,0
j00293,77,0
j00294,140,0
j00295,109,0
j00296,94,0
j00297,7,0
j00298,1118,0
j00299,11,0
j00300,104,0
j00301,14,0
j00302,19,0
j00303,19,0
j00304,168,0
j00305,13,0
j00306,1364,0
j00307,76,0
j00308,143,0
j00309,167,0
j00310,106,0
j00311,117,0
j00312,78,0
j00313,181,0
j00314,167,0
j00315,9,0
j00316,8,0
j00317,188,0
j00318,9,0
j00319,16,0
j00320,188,0
j00321,110,0
j00322,118,0
j00323,11,0
j00324,19,0
j00325,119,0
j00326,16,0
j00327,8,0
j00328,18,0
j00329,176,0
j00330,12,0
j00331,9,0
j00332,139,0
j00333,126,0
j00334,198,0
j00335,15,0
j00336,9,0
j00337,16,0
j00338,75,0
j00339,17,0
j00340,16,0
j00341,1173,0
j00342,851,0
j00343,130,0
j00344,6,0
j00345,16,0
j00346,7,0
j00347,91,0
j00348,14,0
j00349,147,0
j00350,1017,0
j00351,77,0
j00352,12,0
j00353,102,0
j00354,20,0
j00355,1432,0
j00356,5,0
j00357,111,0
j00358,140,0
j00359,7,0
j00360,1030,0
j00361,135,0
j00362,126,0
j00363,18,0
