job_id,service_time_ms,arrival_time_ms
j0000,104,0
j0001,107,0
j0002,19,0
j0003,103,0
j0004,128,0
j0005,262,0
j0006,68,0
j0007,157,0
j0008,308,0
j0009,217,0
j0010,7,0
j0011,116,0
j0012,6,0
j0013,157,0
j0014,142,0
j0015,223,0
j0016,87,0
j0017,148,0
j0018,133,0
j0019,87,0
j0020,249,0
j0021,14,0
j0022,210,0
j0023,117,0
j0024,125,0
j0025,155,0
j0026,82,0
j0027,99,0
j0028,107,0
j0029,73,0
j0030,66,0
j0031,83,0
j0032,85,0
j0033,100,0
j0034,152,0
j0035,12,0
j0036,68,0
j0037,109,0
j0038,123,0
j0039,10,0
j0040,82,0
j0041,6,0
j0042,96,0
j0043,127,0
j0044,160,0
j0045,267,0
j0046,147,0
j0047,89,0
j0048,72,0
j0049,64,0
j0050,274,0
j0051,93,0
j0052,104,0
j0053,91,0
j0054,20,0
j0055,81,0
j0056,68,0
j0057,80,0
j0058,99,0
j0059,9,0
j0060,92,0
j0061,207,0
j0062,10,0
j0063,123,0
j0064,97,0
j0065,114,0
j0066,65,0
j0067,290,0
j0068,71,0
j0069,301,0
j0070,280,0
j0071,153,0
j0072,153,0
j0073,108,0
j0074,106,0
j0075,138,0
j0076,104,0
j0077,125,0
j0078,7,0
j0079,131,0
j0080,215,0
j0081,106,0
j0082,255,0
j0083,221,0
j0084,16,0
j0085,132,0
j0086,272,0
j0087,126,0
j0088,66,0
j0089,126,0
j0090,124,0
j0091,277,0
j0092,290,0
j0093,151,0
j0094,104,0
j0095,94,0
j0096,120,0
j0097,83,0
j0098,96,0
j0099,131,0
j0100,117,0
j0101,20,0
j0102,9,0
j0103,117,0
j0104,62,0
j0105,6,0
j0106,70,0
j0107,13,0
j0108,63,0
j0109,111,0
j0110,229,0
j0111,238,0
j0112,113,0
j0113,110,0
j0114,307,0
j0115,128,0
j0116,86,0
j0117,73,0
j0118,300,0
j0119,304,0
j0120,89,0
j0121,133,0
j0122,82,0
j0123,318,0
j0124,61,0
j0125,68,0
j0126,132,0
j0127,10,0
j0128,291,0
j0129,68,0
j0130,154,0
j0131,105,0
j0132,94,0
j0133,65,0
j0134,5,0
j0135,160,0
j0136,75,0
j0137,129,0
j0138,64,0
j0139,127,0
j0140,153,0
j0141,60,0
j0142,80,0
j0143,151,0
j0144,90,0
j0145,76,0
j0146,20,0
j0147,100,0
j0148,320,0
j0149,100,0
j0150,68,0
j0151,101,0
j0152,65,0
j0153,93,0
j0154,268,0
j0155,10,0
j0156,81,0
j0157,60,0
j0158,159,0
j0159,113,0
j0160,101,0
j0161,109,0
j0162,136,0
j0163,318,0
j0164,141,0
j0165,102,0
j0166,132,0
j0167,12,0
j0168,132,0
j0169,155,0
j0170,131,0
j0171,128,0
j0172,120,0
j0173,303,0
j0174,83,0
j0175,212,0
j0176,267,0
j0177,181,0
j0178,75,0
j0179,60,0
j0180,138,0
j0181,137,0
j0182,133,0
j0183,318,0
j0184,120,0
j0185,152,0
j0186,75,0
j0187,303,0
j0188,141,0
j0189,154,0
j0190,139,0
j0191,16,0
j0192,62,0
j0193,215,0
j0194,87,0
j0195,155,0
j0196,61,0
j0197,11,0
j0198,125,0
j0199,10,0
j0200,226,0
j0201,108,0
j0202,16,0
j0203,121,0
j0204,138,0
j0205,76,0
j0206,91,0
j0207,72,0
j0208,117,0
j0209,155,0
j0210,149,0
j0211,147,0
j0212,115,0
j0213,106,0
j0214,76,0
j0215,136,0
j0216,112,0
j0217,73,0
j0218,138,0
j0219,106,0
j0220,127,0
j0221,7,0
j0222,292,0
j0223,11,0
j0224,311,0
j0225,201,0
j0226,300,0
j0227,119,0
j0228,5,0
j0229,66,0
j0230,9,0
j0231,91,0
j0232,151,0
j0233,197,0
j0234,146,0
j0235,69,0
j0236,124,0
j0237,76,0
j0238,100,0
j0239,157,0
j0240,66,0
j0241,124,0
j0242,77,0
j0243,229,0
j0244,148,0
j0245,88,0
j0246,62,0
j0247,70,0
j0248,256,0
j0249,97,0
j0250,124,0
j0251,82,0
j0252,79,0
j0253,98,0
j0254,129,0
j0255,88,0
j0256,156,0
j0257,17,0
j0258,263,0
j0259,71,0
j0260,299,0
j0261,82,0
j0262,143,0
j0263,15,0
j0264,154,0
j0265,140,0
j0266,120,0
j0267,110,0
j0268,98,0
j0269,107,0
j0270,17,0
j0271,125,0
j0272,132,0
j0273,16,0
j0274,144,0
j0275,223,0
j0276,74,0
j0277,130,0
j0278,83,0
j0279,126,0
j0280,81,0
j0281,20,0
j0282,73,0
j0283,107,0
j0284,103,0
j0285,141,0
j0286,85,0
j0287,127,0
j0288,103,0
j0289,133,0
j0290,237,0
j0291,120,0
j0292,214,0
j0293,18,0
j0294,123,0
j0295,136,0
j0296,253,0
j0297,68,0
j0298,107,0
j0299,118,0
j0300,123,0
j0301,7,0
j0302,315,0
j0303,195,0
j0304,200,0
j0305,83,0
j0306,17,0
j0307,206,0
j0308,15,0
j0309,194,0
j0310,112,0
j0311,107,0
j0312,88,0
j0313,205,0
j0314,159,0
j0315,9,0
j0316,151,0
j0317,113,0
j0318,195,0
j0319,214,0
j0320,60,0
j0321,157,0
j0322,133,0
j0323,192,0
j0324,316,0
j0325,108,0
j0326,131,0
j0327,239,0
j0328,65,0
j0329,18,0
j0330,265,0
j0331,241,0
j0332,151,0
j0333,156,0
j0334,15,0
j0335,130,0
j0336,240,0
j0337,132,0
j0338,18,0
j0339,90,0
j0340,9,0
j0341,152,0
j0342,67,0
j0343,85,0
j0344,65,0
j0345,146,0
j0346,83,0
j0347,64,0
j0348,132,0
j0349,156,0
j0350,225,0
j0351,153,0
j0352,101,0
j0353,61,0
j0354,142,0
j0355,127,0
j0356,6,0
j0357,14,0
j0358,10,0
j0359,68,0
j0360,150,0
j0361,268,0
j0362,20,0
j0363,242,0
j0364,213,0
j0365,107,0
j0366,110,0
j0367,110,0
j0368,140,0
j0369,78,0
j0370,16,0
j0371,256,0
j0372,152,0
j0373,94,0
j0374,158,0
j0375,122,0
j0376,246,0
j0377,259,0
j0378,81,0
j0379,66,0
j0380,68,0
j0381,217,0
j0382,17,0
j0383,88,0
j0384,76,0
j0385,206,0
j0386,131,0
j0387,127,0
j0388,63,0
j0389,63,0
j0390,221,0
