job_id,service_time_ms,arrival_time_ms
j00000,5267,0
j00001,7322,0
j00002,6964,0
j00003,6317,0
j00004,6299,0
j00005,7576,0
j00006,5257,0
j00007,7092,0
j00008,5604,0
j00009,5282,0
j00010,6579,0
j00011,7927,0
j00012,7207,0
j00013,7284,0
j00014,7153,0
j00015,7358,0
j00016,6540,0
j00017,5384,0
j00018,7520,0
j00019,6351,0
j00020,6501,0
j00021,6112,0
j00022,5547,0
j00023,7781,0
j00024,7345,0
j00025,6932,0
j00026,6207,0
j00027,7469,0
j00028,6636,0
j00029,6330,0
j00030,6351,0
j00031,5681,0
j00032,5276,0
j00033,6664,0
j00034,7664,0
j00035,5191,0
j00036,7575,0
j00037,7483,0
j00038,5830,0
j00039,6895,0
j00040,5495,0
j00041,7275,0
j00042,7102,0
j00043,6063,0
j00044,5203,0
j00045,7913,0
j00046,6337,0
j00047,7680,0
j00048,7034,0
j00049,7335,0
j00050,7280,0
j00051,5584,0
j00052,6092,0
j00053,6400,0
j00054,6493,0
j00055,5131,0
j00056,6640,0
j00057,5463,0
j00058,7230,0
j00059,7049,0
j00060,7768,0
j00061,7235,0
j00062,6100,0
j00063,7903,0
j00064,6232,0
j00065,5977,0
j00066,7717,0
j00067,6111,0
j00068,5229,0
j00069,6409,0
j00070,7387,0
j00071,5568,0
j00072,6389,0
j00073,5389,0
j00074,7060,0
j00075,6427,0
j00076,5990,0
j00077,5680,0
j00078,6694,0
j00079,7010,0
j00080,7821,0
j00081,6311,0
j00082,5482,0
j00083,7498,0
j00084,6889,0
j00085,7101,0
j00086,5291,0
j00087,5937,0
j00088,7304,0
j00089,7497,0
j00090,6306,0
j00091,7415,0
j00092,7525,0
j00093,6162,0
j00094,7695,0
j00095,5865,0
j00096,5718,0
j00097,7048,0
j00098,6910,0
j00099,5419,0
j00100,7499,0
j00101,5599,0
j00102,7415,0
j00103,5022,0
j00104,7391,0
j00105,7361,0
j00106,7341,0
j00107,6995,0
j00108,6415,0
j00109,7116,0
j00110,5831,0
j00111,7342,0
j00112,6667,0
j00113,6377,0
j00114,6517,0
j00115,6706,0
j00116,5111,0
j00117,5419,0
j00118,5736,0
j00119,5343,0
j00120,6319,0
j00121,7005,0
j00122,6963,0
j00123,6413,0
j00124,7566,0
j00125,6696,0
j00126,5237,0
j00127,7295,0
j00128,6724,0
j00129,6904,0
j00130,6696,0
j00131,6661,0
j00132,5271,0
j00133,6678,0
j00134,7385,0
j00135,5912,0
j00136,6809,0
j00137,5092,0
j00138,6042,0
j00139,6310,0
j00140,7949,0
j00141,5643,0
j00142,5829,0
j00143,6225,0
j00144,7978,0
j00145,7561,0
j00146,5104,0
j00147,5702,0
j00148,7465,0
j00149,5174,0
j00150,7567,0
j00151,5844,0
j00152,7753,0
j00153,5881,0
j00154,6303,0
j00155,6986,0
j00156,5378,0
j00157,6671,0
j00158,6515,0
j00159,7352,0
j00160,7989,0
j00161,6993,0
j00162,6227,0
j00163,6219,0
j00164,6254,0
j00165,7442,0
j00166,5963,0
j00167,5501,0
j00168,6003,0
j00169,5068,0
j00170,5318,0
j00171,5270,0
j00172,7315,0
j00173,7167,0
j00174,7091,0
j00175,6386,0
j00176,7151,0
j00177,5483,0
j00178,7702,0
j00179,6503,0
j00180,7815,0
j00181,5457,0
j00182,6492,0
j00183,7089,0
j00184,6487,0
j00185,6338,0
j00186,5498,0
j00187,6143,0
j00188,5716,0
j00189,5904,0
j00190,7051,0
j00191,6891,0
j00192,6822,0
j00193,6085,0
j00194,7880,0
j00195,5263,0
j00196,6028,0
j00197,5354,0
j00198,6017,0
j00199,7886,0
j00200,6099,0
j00201,7726,0
j00202,6485,0
j00203,7099,0
j00204,6372,0
j00205,5797,0
j00206,7293,0
j00207,7908,0
j00208,5790,0
j00209,7337,0
j00210,5783,0
j00211,7151,0
j00212,7367,0
j00213,6348,0
j00214,7211,0
j00215,5816,0
j00216,5237,0
j00217,5289,0
j00218,6341,0
j00219,7708,0
j00220,5382,0
j00221,6367,0
j00222,7112,0
j00223,5607,0
j00224,7165,0
j00225,5918,0
j00226,7426,0
j00227,6738,0
j00228,6641,0
j00229,5530,0
j00230,6390,0
j00231,7570,0
j00232,5058,0
j00233,7276,0
j00234,6478,0
j00235,7159,0
j00236,6990,0
j00237,6296,0
j00238,5926,0
j00239,6882,0
j00240,5420,0
j00241,6752,0
j00242,5284,0
j00243,6950,0
j00244,6886,0
j00245,5253,0
j00246,7273,0
j00247,6247,0
j00248,7361,0
j00249,5124,0
j00250,5538,0
j00251,6482,0
j00252,5564,0
j00253,5989,0
j00254,6982,0
j00255,5433,0
j00256,7033,0
j00257,5310,0
j00258,5525,0
j00259,6763,0
j00260,7381,0
j00261,5511,0
j00262,5900,0
j00263,7776,0
j00264,7970,0
j00265,6743,0
j00266,6341,0
j00267,6040,0
j00268,6837,0
j00269,6773,0
j00270,5884,0
j00271,5068,0
j00272,5454,0
j00273,7876,0
j00274,6254,0
j00275,6447,0
j00276,6401,0
j00277,7348,0
j00278,5194,0
j00279,5248,0
j00280,5827,0
j00281,6460,0
j00282,7014,0
j00283,6472,0
j00284,6323,0
j00285,7814,0
j00286,5483,0
j00287,6715,0
j00288,6627,0
j00289,6420,0
j00290,7423,0
j00291,5801,0
j00292,7862,0
j00293,5995,0
j00294,6635,0
j00295,6562,0
j00296,7550,0
j00297,6317,0
j00298,5853,0
j00299,5064,0
j00300,6091,0
j00301,7479,0
j00302,5029,0
j00303,7689,0
j00304,6629,0
j00305,5420,0
j00306,5906,0
j00307,6662,0
j00308,5947,0
j00309,5325,0
j00310,6998,0
j00311,7017,0
j00312,5356,0
j00313,5843,0
j00314,5731,0
j00315,6978,0
j00316,7191,0
j00317,7181,0
j00318,7817,0
j00319,7306,0
j00320,5962,0
j00321,5323,0
j00322,6844,0
j00323,7748,0
j00324,7926,0
j00325,5690,0
j00326,5709,0
j00327,5112,0
j00328,5423,0
j00329,6665,0
j00330,6640,0
j00331,6113,0
j00332,5930,0
j00333,7490,0
j00334,6380,0
j00335,7425,0
j00336,7890,0
j00337,5951,0
j00338,5608,0
j00339,7859,0
j00340,6905,0
j00341,5873,0
j00342,6866,0
j00343,6545,0
j00344,7717,0
j00345,5768,0
j00346,7975,0
j00347,7809,0
j00348,5542,0
j00349,5493,0
j00350,6600,0
j00351,5134,0
j00352,5896,0
j00353,6305,0
j00354,7909,0
j00355,7978,0
j00356,5454,0
j00357,7675,0
j00358,5272,0
j00359,7246,0
j00360,7537,0
j00361,7673,0
j00362,5670,0
j00363,7681,0
j00364,5348,0
j00365,6557,0
j00366,6409,0
j00367,5948,0
j00368,5066,0
j00369,7316,0
j00370,6007,0
j00371,6985,0
j00372,6231,0
j00373,6121,0
j00374,7659,0
j00375,5283,0
j00376,7210,0
j00377,7241,0
j00378,6140,0
j00379,5787,0
j00380,5015,0
j00381,7811,0
j00382,7844,0
j00383,5723,0
j00384,5095,0
j00385,5368,0
j00386,5202,0
j00387,7494,0
j00388,7676,0
j00389,5460,0
j00390,7240,0
j00391,5537,0
j00392,6101,0
j00393,6798,0
j00394,7160,0
j00395,7624,0
j00396,5134,0
j00397,5589,0
j00398,5841,0
j00399,5931,0
j00400,7995,0
j00401,7332,0
j00402,5961,0
j00403,7916,0
j00404,6498,0
j00405,6502,0
j00406,6301,0
j00407,5431,0
j00408,7804,0
j00409,5041,0
j00410,5523,0
j00411,5689,0
j00412,5838,0
j00413,5395,0
j00414,5053,0
j00415,7033,0
j00416,7908,0
j00417,5365,0
j00418,5889,0
j00419,6519,0
j00420,7783,0
j00421,7083,0
j00422,7299,0
j00423,6743,0
j00424,6251,0
j00425,5599,0
j00426,7593,0
j00427,7413,0
j00428,5075,0
j00429,7146,0
j00430,5253,0
j00431,7217,0
j00432,7478,0
j00433,5393,0
j00434,6301,0
j00435,5371,0
j00436,6702,0
j00437,7783,0
j00438,5242,0
j00439,6193,0
j00440,7920,0
j00441,5903,0
j00442,5396,0
j00443,6466,0
j00444,6525,0
j00445,6989,0
j00446,5941,0
j00447,7867,0
j00448,6563,0
j00449,5859,0
j00450,7881,0
j00451,7775,0
j00452,6497,0
j00453,5074,0
j00454,6791,0
j00455,6666,0
j00456,5444,0
j00457,6902,0
j00458,7523,0
j00459,5317,0
j00460,7170,0
j00461,5421,0
j00462,7247,0
j00463,6257,0
j00464,5019,0
j00465,7899,0
j00466,5498,0
j00467,6788,0
j00468,5544,0
j00469,7800,0
j00470,7215,0
j00471,7413,0
j00472,6296,0
j00473,6402,0
j00474,6903,0
j00475,7355,0
j00476,7541,0
j00477,5053,0
j00478,6991,0
j00479,5327,0
j00480,5864,0
j00481,7489,0
j00482,5751,0
j00483,7391,0
j00484,6389,0
j00485,5698,0
j00486,6003,0
j00487,6592,0
j00488,7296,0
j00489,6818,0
j00490,7800,0
j00491,7604,0
j00492,7260,0
j00493,6809,0
j00494,5869,0
j00495,6238,0
j00496,5356,0
j00497,6122,0
j00498,7780,0
j00499,6278,0
j00500,5341,0
j00501,6956,0
j00502,7888,0
j00503,7603,0
j00504,5822,0
j00505,6362,0
j00506,6593,0
j00507,5743,0
j00508,5806,0
j00509,5710,0
j00510,7984,0
j00511,7238,0
j00512,7523,0
j00513,7450,0
j00514,7878,0
j00515,5315,0
j00516,7645,0
