job_id,service_time_ms,arrival_time_ms
j00000,12,0
j00001,44,0
j00002,72,0
j00003,10,0
j00004,327,0
j00005,11,0
j00006,33,0
j00007,2,0
j00008,190,0
j00009,11,0
j00010,314,0
j00011,58,0
j00012,41,0
j00013,11,0
j00014,11,0
j00015,11,0
j00016,2,0
j00017,15,0
j00018,6,0
j00019,279,0
j00020,10,0
j00021,5,0
j00022,3,0
j00023,9,0
j00024,28,0
j00025,59,0
j00026,14,0
j00027,58,0
j00028,330,0
j00029,6,0
j00030,9,0
j00031,13,0
j00032,7,0
j00033,8,0
j00034,3,0
j00035,3,0
j00036,9,0
j00037,5,0
j00038,14,0
j00039,10,0
j00040,10,0
j00041,11,0
j00042,316,0
j00043,56,0
j00044,4,0
j00045,2,0
j00046,2,0
j00047,69,0
j00048,13,0
j00049,6,0
j00050,6,0
j00051,13,0
j00052,2,0
j00053,14,0
j00054,229,0
j00055,6,0
j00056,12,0
j00057,6,0
j00058,8,0
j00059,13,0
j00060,75,0
j00061,2,0
j00062,5,0
j00063,9,0
j00064,14,0
j00065,25,0
j00066,261,0
j00067,14,0
j00068,55,0
j00069,8,0
j00070,4,0
j00071,7,0
j00072,10,0
j00073,11,0
j00074,15,0
j00075,8,0
j00076,5,0
j00077,3,0
j00078,14,0
j00079,7,0
j00080,14,0
j00081,14,0
j00082,4,0
j00083,7,0
j00084,9,0
j00085,10,0
j00086,47,0
j00087,15,0
j00088,31,0
j00089,2,0
j00090,6,0
j00091,10,0
j00092,7,0
j00093,9,0
j00094,3,0
j00095,13,0
j00096,5,0
j00097,3,0
j00098,39,0
j00099,9,0
j00100,5,0
j00101,6,0
j00102,10,0
j00103,9,0
j00104,6,0
j00105,8,0
j00106,69,0
j00107,2,0
j00108,4,0
j00109,7,0
j00110,56,0
j00111,13,0
j00112,15,0
j00113,6,0
j00114,51,0
j00115,8,0
j00116,289,0
j00117,8,0
j00118,8,0
j00119,2,0
j00120,4,0
j00121,2,0
j00122,3,0
j00123,13,0
j00124,282,0
j00125,5,0
j00126,15,0
j00127,262,0
j00128,8,0
j00129,2,0
j00130,6,0
j00131,10,0
j00132,12,0
j00133,226,0
j00134,311,0
j00135,10,0
j00136,14,0
j00137,38,0
j00138,13,0
j00139,45,0
j00140,15,0
j00141,382,0
j00142,2,0
j00143,6,0
j00144,7,0
j00145,13,0
j00146,5,0
j00147,10,0
j00148,7,0
j00149,62,0
j00150,4,0
j00151,68,0
j00152,5,0
j00153,6,0
j00154,4,0
j00155,393,0
j00156,2,0
j00157,11,0
j00158,62,0
j00159,31,0
j00160,15,0
j00161,3,0
j00162,76,0
j00163,8,0
j00164,14,0
j00165,4,0
j00166,12,0
j00167,15,0
j00168,14,0
j00169,12,0
j00170,12,0
j00171,71,0
j00172,4,0
j00173,10,0
j00174,5,0
j00175,14,0
j00176,8,0
j00177,9,0
j00178,10,0
j00179,72,0
j00180,62,0
j00181,2,0
j00182,4,0
j00183,4,0
j00184,190,0
j00185,363,0
j00186,8,0
j00187,5,0
j00188,33,0
j00189,345,0
j00190,12,0
j00191,8,0
j00192,67,0
j00193,7,0
j00194,7,0
j00195,5,0
j00196,2,0
j00197,15,0
j00198,8,0
j00199,9,0
j00200,11,0
j00201,7,0
j00202,11,0
j00203,6,0
j00204,5,0
j00205,14,0
j00206,13,0
j00207,384,0
j00208,11,0
j00209,7,0
j00210,71,0
j00211,6,0
j00212,14,0
j00213,3,0
j00214,65,0
j00215,6,0
j00216,8,0
j00217,11,0
j00218,3,0
j00219,12,0
j00220,6,0
j00221,337,0
j00222,15,0
j00223,8,0
j00224,8,0
j00225,15,0
j00226,9,0
j00227,71,0
j00228,2,0
j00229,5,0
j00230,370,0
j00231,2,0
j00232,30,0
j00233,310,0
j00234,5,0
j00235,7,0
j00236,6,0
j00237,10,0
j00238,8,0
j00239,9,0
j00240,59,0
j00241,15,0
j00242,49,0
j00243,12,0
