job_id,service_time_ms,priority
R00001,19,1
R00002,5,1
R00003,7,1
R00004,256,1
R00005,9,1
R00006,25,1
R00007,22,1
R00008,20,1
R00009,17,1
R00010,6,1
R00011,18092,1
R00012,205,1
R00013,15,1
R00014,16,1
R00015,25,1
R00016,12,1
R00017,17,1
R00018,19067,1
R00019,181,1
R00020,23,1
R00021,21,1
R00022,379,1
R00023,16,1
R00024,386,1
R00025,8288,1
R00026,11,1
R00027,21,1
R00028,5,1
R00029,19,1
R00030,24,1
R00031,5,1
R00032,9,1
R00033,9,1
R00034,21,1
R00035,14,1
R00036,10,1
R00037,5,1
R00038,11,1
R00039,23,1
R00040,5,1
R00041,19,1
R00042,17,1
R00043,7,1
R00044,13,1
R00045,7,1
R00046,9,1
R00047,14,1
R00048,299,1
R00049,12,1
R00050,8,1
R00051,17,1
R00052,22,1
R00053,6,1
R00054,6,1
R00055,5,1
R00056,296,1
R00057,6,1
R00058,16,1
R00059,183,1
R00060,19,1
R00061,166,1
R00062,8,1
R00063,17,1
R00064,11,1
R00065,16,1
R00066,20,1
R00067,8,1
R00068,252,1
R00069,241,1
R00070,10,1
R00071,7,1
R00072,21,1
R00073,342,1
R00074,314,1
R00075,25,1
R00076,14,1
R00077,383,1
R00078,25,1
R00079,15,1
R00080,20,1
R00081,21,1
R00082,8,1
R00083,146,1
R00084,21,1
R00085,340,1
R00086,17,1
R00087,8,1
R00088,6,1
R00089,13,1
R00090,7,1
R00091,168,1
R00092,23,1
R00093,19,1
R00094,25,1
R00095,16,1
R00096,16557,1
R00097,25,1
R00098,19,1
R00099,16,1
R00100,17,1
R00101,6,1
R00102,396,1
R00103,8687,1
R00104,8,1
R00105,7,1
R00106,25,1
R00107,25,1
R00108,17,1
R00109,182,1
R00110,24,1
R00111,8,1
R00112,10,1
R00113,16,1
R00114,13,1
R00115,189,1
R00116,12,1
R00117,246,1
R00118,7,1
R00119,25,1
R00120,18961,1
R00121,22,1
R00122,10,1
R00123,11,1
R00124,20,1
R00125,12,1
R00126,25,1
R00127,217,1
R00128,16,1
R00129,9,1
R00130,348,1
R00131,10727,1
R00132,14,1
R00133,8,1
R00134,11,1
R00135,6,1
R00136,16,1
R00137,8,1
R00138,274,1
R00139,12,1
R00140,23,1
R00141,24,1
R00142,23,1
R00143,24,1
R00144,10,1
R00145,29822,1
R00146,18,1
R00147,322,1
R00148,19,1
R00149,219,1
R00150,6,1
R00151,8,1
R00152,314,1
R00153,6,1
R00154,8,1
R00155,20,1
R00156,8,1
R00157,21,1
R00158,13,1
R00159,331,1
R00160,6,1
R00161,175,1
R00162,7326,1
R00163,11323,1
R00164,20,1
R00165,8,1
R00166,223,1
R00167,24,1
R00168,134,1
R00169,10,1
R00170,19,1
R00171,22,1
R00172,24,1
R00173,14,1
R00174,8665,1
R00175,18,1
R00176,14,1
R00177,16,1
R00178,22,1
R00179,13,1
R00180,8,1
R00181,22,1
R00182,16,1
R00183,23,1
R00184,25,1
R00185,20,1
R00186,12,1
R00187,20,1
R00188,5,1
R00189,22,1
R00190,9,1
R00191,22,1
R00192,15,1
R00193,115,1
R00194,21,1
R00195,157,1
R00196,6677,1
R00197,6,1
R00198,16,1
R00199,12,1
R00200,101,1
R00201,14,1
R00202,9,1
R00203,17,1
R00204,18,1
R00205,114,1
R00206,22,1
R00207,8,1
R00208,19,1
R00209,17,1
R00210,18,1
R00211,7,1
R00212,6,1
R00213,6,1
R00214,8901,1
R00215,16,1
R00216,14,1
R00217,21,1
R00218,22,1
R00219,10,1
R00220,16,1
R00221,10,1
R00222,211,1
R00223,20,1
R00224,12,1
R00225,14,1
R00226,10,1
R00227,146,1
R00228,12,1
R00229,10,1
R00230,13,1
R00231,10,1
R00232,398,1
R00233,17,1
R00234,24,1
R00235,10,1
R00236,24,1
R00237,25,1
R00238,6,1
R00239,20,1
R00240,10,1
R00241,17,1
R00242,5653,1
R00243,143,1
R00244,25,1
R00245,112,1
R00246,23,1
R00247,20,1
R00248,17,1
R00249,21,1
R00250,10,1
R00251,8,1
R00252,9,1
R00253,13,1
R00254,8,1
R00255,19,1
R00256,337,1
R00257,6,1
R00258,16,1
R00259,5,1
R00260,22,1
R00261,21,1
R00262,5,1
R00263,11,1
R00264,9,1
R00265,185,1
R00266,11,1
R00267,7,1
R00268,24,1
R00269,5,1
R00270,12,1
R00271,11130,1
R00272,12,1
R00273,9,1
R00274,199,1
R00275,12,1
R00276,13,1
R00277,12,1
R00278,15,1
R00279,16,1
R00280,12,1
R00281,8,1
R00282,24,1
R00283,24,1
R00284,25,1
R00285,7,1
R00286,25,1
R00287,14,1
R00288,21,1
R00289,16,1
R00290,233,1
R00291,17,1
R00292,20,1
R00293,6,1
R00294,24,1
R00295,17,1
R00296,19,1
R00297,16,1
R00298,7,1
R00299,190,1
R00300,382,1
R00301,19,1
R00302,13,1
R00303,21225,1
R00304,24,1
R00305,162,1
R00306,324,1
R00307,25,1
R00308,5,1
R00309,23,1
R00310,14,1
R00311,8,1
R00312,5,1
R00313,19115,1
R00314,6,1
R00315,23,1
R00316,18,1
R00317,14,1
R00318,13,1
R00319,17,1
R00320,24,1
R00321,285,1
R00322,23,1
R00323,19,1
R00324,17,1
R00325,380,1
R00326,8,1
R00327,17,1
R00328,14,1
R00329,376,1
R00330,13,1
R00331,24,1
R00332,13,1
R00333,25,1
R00334,13,1
R00335,5,1
R00336,20,1
R00337,14,1
R00338,15,1
R00339,16,1
R00340,11,1
R00341,156,1
R00342,9,1
R00343,15,1
R00344,15,1
R00345,7,1
R00346,13,1
R00347,18,1
R00348,19,1
R00349,235,1
R00350,9,1
R00351,22,1
R00352,10,1
R00353,16,1
R00354,13,1
R00355,16,1
R00356,11,1
R00357,22,1
R00358,23,1
R00359,333,1
R00360,11,1
R00361,15,1
R00362,232,1
R00363,19,1
R00364,21,1
R00365,189,1
R00366,16,1
R00367,21,1
