run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
009e310875,10,j0000,792,0,8000,238020000,238020000,238019208,80,79
009e310875,10,j0001,748,0,14000,234138000,234138000,234137252,75,74
009e310875,10,j0002,448,0,16000,179796000,179796000,179795552,45,44
009e310875,10,j0003,749,0,16000,234262000,234262000,234261251,75,74
009e310875,10,j0004,318,0,36000,120224000,120224000,120223682,32,31
009e310875,10,j0005,635,0,38000,222790000,222790000,222789365,64,63
009e310875,10,j0006,326,0,44000,125736000,125736000,125735674,33,32
009e310875,10,j0007,503,0,58000,195686000,195686000,195685497,51,50
009e310875,10,j0008,456,0,60000,183110000,183110000,183109544,46,45
009e310875,10,j0009,330,0,64000,125378000,125378000,125377670,33,32
009e310875,10,j0010,398,0,62000,164704000,164704000,164703602,40,39
009e310875,10,j0011,612,0,64000,219252000,219252000,219251388,62,61
009e310875,10,j0012,751,0,68000,234980000,234980000,234979249,76,75
009e310875,10,j0013,485,0,70000,191132000,191132000,191131515,49,48
009e310875,10,j0014,667,0,78000,224744000,224744000,224743333,67,66
009e310875,10,j0015,626,0,86000,221254000,221254000,221253374,63,62
009e310875,10,j0016,317,0,92000,120534000,120534000,120533683,32,31
009e310875,10,j0017,34,0,108000,14572000,14572000,14571966,4,3
009e310875,10,j0018,619,0,108000,219196000,219196000,219195381,62,61
009e310875,10,j0019,362,0,120000,149372000,149372000,149371638,37,36
009e310875,10,j0020,328,0,132000,125646000,125646000,125645672,33,32
009e310875,10,j0021,488,0,130000,190916000,190916000,190915512,49,48
009e310875,10,j0022,572,0,136000,210694000,210694000,210693428,58,57
009e310875,10,j0023,802,0,138000,238558000,238558000,238557198,81,80
009e310875,10,j0024,589,0,152000,212302000,212302000,212301411,59,58
009e310875,10,j0025,475,0,154000,188492000,188492000,188491525,48,47
009e310875,10,j0026,413,0,190000,169844000,169844000,169843587,42,41
009e310875,10,j0027,705,0,188000,230266000,230266000,230265295,71,70
009e310875,10,j0028,574,0,190000,210654000,210654000,210653426,58,57
009e310875,10,j0029,8,0,190000,190000,190000,189992,1,0
009e310875,10,j0030,866,0,192000,241268000,241268000,241267134,87,86
009e310875,10,j0031,397,0,192000,164808000,164808000,164807603,40,39
009e310875,10,j0032,874,0,204000,241438000,241438000,241437126,88,87
009e310875,10,j0033,752,0,204000,235146000,235146000,235145248,76,75
009e310875,10,j0034,527,0,206000,200694000,200694000,200693473,53,52
009e310875,10,j0035,508,0,210000,195790000,195790000,195789492,51,50
009e310875,10,j0036,468,0,210000,186032000,186032000,186031532,47,46
009e310875,10,j0037,877,0,220000,241574000,241574000,241573123,88,87
009e310875,10,j0038,875,0,220000,241494000,241494000,241493125,88,87
009e310875,10,j0039,743,0,224000,234346000,234346000,234345257,75,74
009e310875,10,j0040,635,0,224000,222704000,222704000,222703365,64,63
009e310875,10,j0041,436,0,226000,176988000,176988000,176987564,44,43
009e310875,10,j0042,463,0,230000,185856000,185856000,185855537,47,46
009e310875,10,j0043,760,0,228000,235028000,235028000,235027240,76,75
009e310875,10,j0044,418,0,234000,170144000,170144000,170143582,42,41
009e310875,10,j0045,642,0,236000,222036000,222036000,222035358,65,64
009e310875,10,j0046,608,0,242000,217156000,217156000,217155392,61,60
009e310875,10,j0047,538,0,240000,202890000,202890000,202889462,54,53
009e310875,10,j0048,638,0,246000,222770000,222770000,222769362,64,63
009e310875,10,j0049,430,0,260000,173038000,173038000,173037570,43,42
009e310875,10,j0050,482,0,272000,191200000,191200000,191199518,49,48
009e310875,10,j0051,334,0,272000,130960000,130960000,130959666,34,33
009e310875,10,j0052,313,0,304000,120458000,120458000,120457687,32,31
009e310875,10,j0053,867,0,302000,241244000,241244000,241243133,87,86
009e310875,10,j0054,547,0,304000,205074000,205074000,205073453,55,54
009e310875,10,j0055,738,0,314000,233158000,233158000,233157262,74,73
009e310875,10,j0056,499,0,318000,193372000,193372000,193371501,50,49
009e310875,10,j0057,12,0,316000,6088000,6088000,6087988,2,1
009e310875,10,j0058,613,0,352000,219320000,219320000,219319387,62,61
009e310875,10,j0059,539,0,354000,202968000,202968000,202967461,54,53
009e310875,10,j0060,416,0,356000,169980000,169980000,169979584,42,41
009e310875,10,j0061,722,0,370000,232220000,232220000,232219278,73,72
009e310875,10,j0062,306,0,374000,116122000,116122000,116121694,31,30
009e310875,10,j0063,444,0,380000,179886000,179886000,179885556,45,44
009e310875,10,j0064,861,0,386000,241208000,241208000,241207139,87,86
009e310875,10,j0065,793,0,388000,238200000,238200000,238199207,80,79
009e310875,10,j0066,724,0,392000,232280000,232280000,232279276,73,72
009e310875,10,j0067,854,0,402000,241076000,241076000,241075146,86,85
009e310875,10,j0068,375,0,402000,155472000,155472000,155471625,38,37
009e310875,10,j0069,510,0,412000,196012000,196012000,196011490,51,50
009e310875,10,j0070,809,0,408000,238866000,238866000,238865191,81,80
009e310875,10,j0071,419,0,410000,170034000,170034000,170033581,42,41
009e310875,10,j0072,861,0,412000,241248000,241248000,241247139,87,86
009e310875,10,j0073,42,0,416000,19100000,19100000,19099958,5,4
009e310875,10,j0074,344,0,426000,136100000,136100000,136099656,35,34
009e310875,10,j0075,636,0,430000,222844000,222844000,222843364,64,63
009e310875,10,j0076,30,0,434000,10632000,10632000,10631970,3,2
009e310875,10,j0077,24,0,442000,10674000,10674000,10673976,3,2
009e310875,10,j0078,801,0,446000,238722000,238722000,238721199,81,80
009e310875,10,j0079,578,0,448000,210682000,210682000,210681422,58,57
009e310875,10,j0080,895,0,444000,241698000,241698000,241697105,90,89
009e310875,10,j0081,661,0,468000,224976000,224976000,224975339,67,66
009e310875,10,j0082,417,0,482000,170086000,170086000,170085583,42,41
009e310875,10,j0083,880,0,488000,241510000,241510000,241509120,88,87
009e310875,10,j0084,618,0,520000,219318000,219318000,219317382,62,61
009e310875,10,j0085,625,0,522000,221206000,221206000,221205375,63,62
