run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
08a78e0c55,20,j0000,792,0,374000,102628000,102628000,102627208,40,39
08a78e0c55,20,j0001,748,0,374000,101260000,101260000,101259252,38,37
08a78e0c55,20,j0002,448,0,378000,75532000,75532000,75531552,23,22
08a78e0c55,20,j0003,749,0,378000,101250000,101250000,101249251,38,37
08a78e0c55,20,j0004,318,0,384000,50966000,50966000,50965682,16,15
08a78e0c55,20,j0005,635,0,384000,96234000,96234000,96233365,32,31
08a78e0c55,20,j0006,326,0,384000,55202000,55202000,55201674,17,16
08a78e0c55,20,j0007,503,0,390000,84012000,84012000,84011497,26,25
08a78e0c55,20,j0008,456,0,392000,75608000,75608000,75607544,23,22
08a78e0c55,20,j0009,330,0,394000,55152000,55152000,55151670,17,16
08a78e0c55,20,j0010,398,0,400000,66172000,66172000,66171602,20,19
08a78e0c55,20,j0011,612,0,402000,94726000,94726000,94725388,31,30
08a78e0c55,20,j0012,751,0,402000,101200000,101200000,101199249,38,37
08a78e0c55,20,j0013,485,0,402000,81174000,81174000,81173515,25,24
08a78e0c55,20,j0014,667,0,414000,99414000,99414000,99413333,34,33
08a78e0c55,20,j0015,626,0,414000,96240000,96240000,96239374,32,31
08a78e0c55,20,j0016,317,0,416000,50906000,50906000,50905683,16,15
08a78e0c55,20,j0017,34,0,418000,3950000,3950000,3949966,2,1
08a78e0c55,20,j0018,619,0,424000,94740000,94740000,94739381,31,30
08a78e0c55,20,j0019,362,0,424000,62708000,62708000,62707638,19,18
08a78e0c55,20,j0020,328,0,426000,55260000,55260000,55259672,17,16
08a78e0c55,20,j0021,488,0,428000,81110000,81110000,81109512,25,24
08a78e0c55,20,j0022,572,0,428000,90776000,90776000,90775428,29,28
08a78e0c55,20,j0023,802,0,432000,103466000,103466000,103465198,41,40
08a78e0c55,20,j0024,589,0,434000,92872000,92872000,92871411,30,29
08a78e0c55,20,j0025,475,0,436000,78426000,78426000,78425525,24,23
08a78e0c55,20,j0026,413,0,438000,69442000,69442000,69441587,21,20
08a78e0c55,20,j0027,705,0,440000,99086000,99086000,99085295,36,35
08a78e0c55,20,j0028,574,0,440000,90900000,90900000,90899426,29,28
08a78e0c55,20,j0029,8,0,440000,442000,442000,441992,1,0
08a78e0c55,20,j0030,866,0,444000,104830000,104830000,104829134,44,43
08a78e0c55,20,j0031,397,0,446000,66024000,66024000,66023603,20,19
08a78e0c55,20,j0032,874,0,466000,104828000,104828000,104827126,44,43
08a78e0c55,20,j0033,752,0,468000,101242000,101242000,101241248,38,37
08a78e0c55,20,j0034,527,0,474000,86602000,86602000,86601473,27,26
08a78e0c55,20,j0035,508,0,476000,84066000,84066000,84065492,26,25
08a78e0c55,20,j0036,468,0,484000,78492000,78492000,78491532,24,23
08a78e0c55,20,j0037,877,0,484000,104822000,104822000,104821123,44,43
08a78e0c55,20,j0038,875,0,494000,104904000,104904000,104903125,44,43
08a78e0c55,20,j0039,743,0,496000,101360000,101360000,101359257,38,37
08a78e0c55,20,j0040,635,0,500000,96226000,96226000,96225365,32,31
08a78e0c55,20,j0041,436,0,506000,72718000,72718000,72717564,22,21
08a78e0c55,20,j0042,463,0,506000,78644000,78644000,78643537,24,23
08a78e0c55,20,j0043,760,0,508000,101252000,101252000,101251240,38,37
08a78e0c55,20,j0044,418,0,510000,69524000,69524000,69523582,21,20
08a78e0c55,20,j0045,642,0,516000,97764000,97764000,97763358,33,32
08a78e0c55,20,j0046,608,0,536000,94732000,94732000,94731392,31,30
08a78e0c55,20,j0047,538,0,536000,86630000,86630000,86629462,27,26
08a78e0c55,20,j0048,638,0,536000,96384000,96384000,96383362,32,31
08a78e0c55,20,j0049,430,0,542000,72832000,72832000,72831570,22,21
08a78e0c55,20,j0050,482,0,540000,81568000,81568000,81567518,25,24
08a78e0c55,20,j0051,334,0,546000,55326000,55326000,55325666,17,16
08a78e0c55,20,j0052,313,0,546000,51258000,51258000,51257687,16,15
08a78e0c55,20,j0053,867,0,546000,104824000,104824000,104823133,44,43
08a78e0c55,20,j0054,547,0,550000,88756000,88756000,88755453,28,27
08a78e0c55,20,j0055,738,0,552000,100268000,100268000,100267262,37,36
08a78e0c55,20,j0056,499,0,554000,81364000,81364000,81363501,25,24
08a78e0c55,20,j0057,12,0,556000,558000,558000,557988,1,0
08a78e0c55,20,j0058,613,0,560000,94862000,94862000,94861387,31,30
08a78e0c55,20,j0059,539,0,558000,86622000,86622000,86621461,27,26
08a78e0c55,20,j0060,416,0,560000,69632000,69632000,69631584,21,20
08a78e0c55,20,j0061,722,0,560000,100314000,100314000,100313278,37,36
08a78e0c55,20,j0062,306,0,564000,51208000,51208000,51207694,16,15
