run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
ea3c0cd407,100,j0000,792,0,14000,20996000,20996000,20995208,8,7
ea3c0cd407,100,j0001,748,0,20000,21042000,21042000,21041252,8,7
ea3c0cd407,100,j0002,448,0,22000,14300000,14300000,14299552,5,4
ea3c0cd407,100,j0003,749,0,28000,21014000,21014000,21013251,8,7
ea3c0cd407,100,j0004,318,0,30000,10476000,10476000,10475682,4,3
ea3c0cd407,100,j0005,635,0,30000,19600000,19600000,19599365,7,6
ea3c0cd407,100,j0006,326,0,30000,10466000,10466000,10465674,4,3
ea3c0cd407,100,j0007,503,0,30000,17540000,17540000,17539497,6,5
ea3c0cd407,100,j0008,456,0,32000,14298000,14298000,14297544,5,4
ea3c0cd407,100,j0009,330,0,34000,10514000,10514000,10513670,4,3
ea3c0cd407,100,j0010,398,0,34000,10500000,10500000,10499602,4,3
ea3c0cd407,100,j0011,612,0,38000,19652000,19652000,19651388,7,6
ea3c0cd407,100,j0012,751,0,44000,21008000,21008000,21007249,8,7
ea3c0cd407,100,j0013,485,0,44000,14246000,14246000,14245515,5,4
ea3c0cd407,100,j0014,667,0,70000,19606000,19606000,19605333,7,6
ea3c0cd407,100,j0015,626,0,74000,19648000,19648000,19647374,7,6
ea3c0cd407,100,j0016,317,0,76000,10524000,10524000,10523683,4,3
ea3c0cd407,100,j0017,34,0,76000,78000,78000,77966,1,0
ea3c0cd407,100,j0018,619,0,80000,19650000,19650000,19649381,7,6
ea3c0cd407,100,j0019,362,0,78000,10572000,10572000,10571638,4,3
ea3c0cd407,100,j0020,328,0,78000,10582000,10582000,10581672,4,3
ea3c0cd407,100,j0021,488,0,80000,14312000,14312000,14311512,5,4
ea3c0cd407,100,j0022,572,0,82000,17596000,17596000,17595428,6,5
ea3c0cd407,100,j0023,802,0,82000,22108000,22108000,22107198,9,8
ea3c0cd407,100,j0024,589,0,86000,17548000,17548000,17547411,6,5
ea3c0cd407,100,j0025,475,0,84000,14362000,14362000,14361525,5,4
ea3c0cd407,100,j0026,413,0,86000,14418000,14418000,14417587,5,4
ea3c0cd407,100,j0027,705,0,88000,21042000,21042000,21041295,8,7
ea3c0cd407,100,j0028,574,0,86000,17588000,17588000,17587426,6,5
ea3c0cd407,100,j0029,8,0,102000,102000,102000,101992,1,0
ea3c0cd407,100,j0030,866,0,142000,22118000,22118000,22117134,9,8
ea3c0cd407,100,j0031,397,0,144000,10614000,10614000,10613603,4,3
ea3c0cd407,100,j0032,874,0,144000,22110000,22110000,22109126,9,8
ea3c0cd407,100,j0033,752,0,148000,21046000,21046000,21045248,8,7
ea3c0cd407,100,j0034,527,0,150000,17600000,17600000,17599473,6,5
ea3c0cd407,100,j0035,508,0,150000,17588000,17588000,17587492,6,5
ea3c0cd407,100,j0036,468,0,150000,14360000,14360000,14359532,5,4
ea3c0cd407,100,j0037,877,0,150000,22114000,22114000,22113123,9,8
ea3c0cd407,100,j0038,875,0,152000,22154000,22154000,22153125,9,8
ea3c0cd407,100,j0039,743,0,156000,21052000,21052000,21051257,8,7
ea3c0cd407,100,j0040,635,0,166000,19694000,19694000,19693365,7,6
ea3c0cd407,100,j0041,436,0,158000,14304000,14304000,14303564,5,4
ea3c0cd407,100,j0042,463,0,156000,14382000,14382000,14381537,5,4
ea3c0cd407,100,j0043,760,0,166000,21056000,21056000,21055240,8,7
ea3c0cd407,100,j0044,418,0,190000,14374000,14374000,14373582,5,4
ea3c0cd407,100,j0045,642,0,190000,19710000,19710000,19709358,7,6
ea3c0cd407,100,j0046,608,0,192000,19690000,19690000,19689392,7,6
ea3c0cd407,100,j0047,538,0,192000,17632000,17632000,17631462,6,5
ea3c0cd407,100,j0048,638,0,196000,19714000,19714000,19713362,7,6
ea3c0cd407,100,j0049,430,0,196000,14372000,14372000,14371570,5,4
ea3c0cd407,100,j0050,482,0,196000,14430000,14430000,14429518,5,4
ea3c0cd407,100,j0051,334,0,196000,10634000,10634000,10633666,4,3
ea3c0cd407,100,j0052,313,0,198000,10672000,10672000,10671687,4,3
ea3c0cd407,100,j0053,867,0,200000,22118000,22118000,22117133,9,8
ea3c0cd407,100,j0054,547,0,202000,17656000,17656000,17655453,6,5
ea3c0cd407,100,j0055,738,0,202000,21064000,21064000,21063262,8,7
ea3c0cd407,100,j0056,499,0,210000,14446000,14446000,14445501,5,4
ea3c0cd407,100,j0057,12,0,212000,212000,212000,211988,1,0
ea3c0cd407,100,j0058,613,0,220000,19692000,19692000,19691387,7,6
ea3c0cd407,100,j0059,539,0,218000,17630000,17630000,17629461,6,5
ea3c0cd407,100,j0060,416,0,250000,14486000,14486000,14485584,5,4
ea3c0cd407,100,j0061,722,0,250000,21110000,21110000,21109278,8,7
ea3c0cd407,100,j0062,306,0,264000,10714000,10714000,10713694,4,3
ea3c0cd407,100,j0063,444,0,264000,14484000,14484000,14483556,5,4
ea3c0cd407,100,j0064,861,0,266000,22162000,22162000,22161139,9,8
ea3c0cd407,100,j0065,793,0,268000,21066000,21066000,21065207,8,7
ea3c0cd407,100,j0066,724,0,268000,21102000,21102000,21101276,8,7
ea3c0cd407,100,j0067,854,0,274000,22116000,22116000,22115146,9,8
ea3c0cd407,100,j0068,375,0,270000,10636000,10636000,10635625,4,3
ea3c0cd407,100,j0069,510,0,272000,17692000,17692000,17691490,6,5
ea3c0cd407,100,j0070,809,0,272000,22146000,22146000,22145191,9,8
ea3c0cd407,100,j0071,419,0,274000,14484000,14484000,14483581,5,4
ea3c0cd407,100,j0072,861,0,276000,22156000,22156000,22155139,9,8
ea3c0cd407,100,j0073,42,0,278000,278000,278000,277958,1,0
ea3c0cd407,100,j0074,344,0,310000,10746000,10746000,10745656,4,3
ea3c0cd407,100,j0075,636,0,316000,19744000,19744000,19743364,7,6
ea3c0cd407,100,j0076,30,0,318000,318000,318000,317970,1,0
ea3c0cd407,100,j0077,24,0,318000,318000,318000,317976,1,0
ea3c0cd407,100,j0078,801,0,322000,22158000,22158000,22157199,9,8
ea3c0cd407,100,j0079,578,0,320000,17758000,17758000,17757422,6,5
ea3c0cd407,100,j0080,895,0,320000,22160000,22160000,22159105,9,8
ea3c0cd407,100,j0081,661,0,322000,19702000,19702000,19701339,7,6
ea3c0cd407,100,j0082,417,0,338000,14512000,14512000,14511583,5,4
ea3c0cd407,100,j0083,880,0,342000,22160000,22160000,22159120,9,8
ea3c0cd407,100,j0084,618,0,346000,19748000,19748000,19747382,7,6
ea3c0cd407,100,j0085,625,0,346000,19798000,19798000,19797375,7,6
ea3c0cd407,100,j0086,719,0,350000,21108000,21108000,21107281,8,7
ea3c0cd407,100,j0087,453,0,352000,14488000,14488000,14487547,5,4
ea3c0cd407,100,j0088,619,0,358000,19760000,19760000,19759381,7,6
ea3c0cd407,100,j0089,788,0,378000,21074000,21074000,21073212,8,7
ea3c0cd407,100,j0090,505,0,426000,17748000,17748000,17747495,6,5
ea3c0cd407,100,j0091,683,0,426000,19764000,19764000,19763317,7,6
ea3c0cd407,100,j0092,717,0,428000,21110000,21110000,21109283,8,7
ea3c0cd407,100,j0093,770,0,430000,21096000,21096000,21095230,8,7
ea3c0cd407,100,j0094,495,0,430000,14568000,14568000,14567505,5,4
ea3c0cd407,100,j0095,608,0,446000,19762000,19762000,19761392,7,6
ea3c0cd407,100,j0096,362,0,436000,10784000,10784000,10783638,4,3
ea3c0cd407,100,j0097,418,0,438000,14612000,14612000,14611582,5,4
ea3c0cd407,100,j0098,375,0,440000,10746000,10746000,10745625,4,3
ea3c0cd407,100,j0099,741,0,440000,21142000,21142000,21141259,8,7
ea3c0cd407,100,j0100,559,0,460000,17692000,17692000,17691441,6,5
ea3c0cd407,100,j0101,666,0,462000,19804000,19804000,19803334,7,6
ea3c0cd407,100,j0102,644,0,462000,19768000,19768000,19767356,7,6
ea3c0cd407,100,j0103,825,0,466000,22166000,22166000,22165175,9,8
ea3c0cd407,100,j0104,794,0,480000,21140000,21140000,21139206,8,7
ea3c0cd407,100,j0105,387,0,508000,10850000,10850000,10849613,4,3
ea3c0cd407,100,j0106,446,0,510000,14626000,14626000,14625554,5,4
ea3c0cd407,100,j0107,301,0,510000,10798000,10798000,10797699,4,3
ea3c0cd407,100,j0108,429,0,518000,14626000,14626000,14625571,5,4
ea3c0cd407,100,j0109,324,0,514000,10800000,10800000,10799676,4,3
ea3c0cd407,100,j0110,797,0,514000,21106000,21106000,21105203,8,7
ea3c0cd407,100,j0111,573,0,518000,17762000,17762000,17761427,6,5
ea3c0cd407,100,j0112,849,0,518000,22166000,22166000,22165151,9,8
ea3c0cd407,100,j0113,446,0,520000,14620000,14620000,14619554,5,4
ea3c0cd407,100,j0114,465,0,520000,14696000,14696000,14695535,5,4
ea3c0cd407,100,j0115,592,0,520000,17772000,17772000,17771408,6,5
ea3c0cd407,100,j0116,634,0,524000,19808000,19808000,19807366,7,6
ea3c0cd407,100,j0117,300,0,534000,7496000,7496000,7495700,3,2
ea3c0cd407,100,j0118,517,0,526000,17762000,17762000,17761483,6,5
ea3c0cd407,100,j0119,620,0,530000,19822000,19822000,19821380,7,6
ea3c0cd407,100,j0120,760,0,532000,21178000,21178000,21177240,8,7
ea3c0cd407,100,j0121,882,0,568000,22172000,22172000,22171118,9,8
ea3c0cd407,100,j0122,442,0,592000,14620000,14620000,14619558,5,4
ea3c0cd407,100,j0123,534,0,600000,17844000,17844000,17843466,6,5
ea3c0cd407,100,j0124,412,0,602000,14746000,14746000,14745588,5,4
ea3c0cd407,100,j0125,503,0,604000,17810000,17810000,17809497,6,5
ea3c0cd407,100,j0126,856,0,608000,22176000,22176000,22175144,9,8
ea3c0cd407,100,j0127,687,0,608000,19856000,19856000,19855313,7,6
ea3c0cd407,100,j0128,303,0,608000,10872000,10872000,10871697,4,3
ea3c0cd407,100,j0129,23,0,610000,610000,610000,609977,1,0
ea3c0cd407,100,j0130,585,0,612000,17804000,17804000,17803415,6,5
ea3c0cd407,100,j0131,617,0,616000,19852000,19852000,19851383,7,6
ea3c0cd407,100,j0132,456,0,618000,14642000,14642000,14641544,5,4
ea3c0cd407,100,j0133,322,0,622000,10866000,10866000,10865678,4,3
ea3c0cd407,100,j0134,620,0,624000,19796000,19796000,19795380,7,6
ea3c0cd407,100,j0135,695,0,624000,19854000,19854000,19853305,7,6
ea3c0cd407,100,j0136,620,0,630000,19820000,19820000,19819380,7,6
ea3c0cd407,100,j0137,709,0,654000,21192000,21192000,21191291,8,7
ea3c0cd407,100,j0138,575,0,656000,17856000,17856000,17855425,6,5
ea3c0cd407,100,j0139,572,0,660000,17856000,17856000,17855428,6,5
ea3c0cd407,100,j0140,881,0,664000,22174000,22174000,22173119,9,8
ea3c0cd407,100,j0141,601,0,662000,19852000,19852000,19851399,7,6
ea3c0cd407,100,j0142,495,0,664000,14812000,14812000,14811505,5,4
ea3c0cd407,100,j0143,669,0,666000,19850000,19850000,19849331,7,6
ea3c0cd407,100,j0144,320,0,668000,10986000,10986000,10985680,4,3
ea3c0cd407,100,j0145,544,0,670000,17822000,17822000,17821456,6,5
ea3c0cd407,100,j0146,320,0,670000,10932000,10932000,10931680,4,3
ea3c0cd407,100,j0147,475,0,674000,14694000,14694000,14693525,5,4
ea3c0cd407,100,j0148,743,0,674000,21156000,21156000,21155257,8,7
ea3c0cd407,100,j0149,764,0,678000,21150000,21150000,21149236,8,7
ea3c0cd407,100,j0150,582,0,682000,17926000,17926000,17925418,6,5
ea3c0cd407,100,j0151,746,0,682000,21114000,21114000,21113254,8,7
ea3c0cd407,100,j0152,463,0,688000,14750000,14750000,14749537,5,4
ea3c0cd407,100,j0153,343,0,690000,11000000,11000000,10999657,4,3
ea3c0cd407,100,j0154,656,0,712000,19856000,19856000,19855344,7,6
ea3c0cd407,100,j0155,487,0,714000,14758000,14758000,14757513,5,4
ea3c0cd407,100,j0156,492,0,714000,14804000,14804000,14803508,5,4
ea3c0cd407,100,j0157,388,0,718000,11042000,11042000,11041612,4,3
ea3c0cd407,100,j0158,512,0,718000,17872000,17872000,17871488,6,5
ea3c0cd407,100,j0159,26,0,718000,720000,720000,719974,1,0
ea3c0cd407,100,j0160,366,0,722000,11004000,11004000,11003634,4,3
ea3c0cd407,100,j0161,468,0,724000,14770000,14770000,14769532,5,4
ea3c0cd407,100,j0162,374,0,726000,11002000,11002000,11001626,4,3
ea3c0cd407,100,j0163,393,0,728000,11004000,11004000,11003607,4,3
ea3c0cd407,100,j0164,46,0,730000,730000,730000,729954,1,0
ea3c0cd407,100,j0165,785,0,734000,21210000,21210000,21209215,8,7
ea3c0cd407,100,j0166,878,0,734000,22170000,22170000,22169122,9,8
ea3c0cd407,100,j0167,854,0,736000,22178000,22178000,22177146,9,8
ea3c0cd407,100,j0168,422,0,742000,14762000,14762000,14761578,5,4
ea3c0cd407,100,j0169,521,0,770000,17862000,17862000,17861479,6,5
ea3c0cd407,100,j0170,43,0,770000,772000,772000,771957,1,0
ea3c0cd407,100,j0171,390,0,772000,11124000,11124000,11123610,4,3
ea3c0cd407,100,j0172,604,0,772000,19874000,19874000,19873396,7,6
ea3c0cd407,100,j0173,756,0,774000,21158000,21158000,21157244,8,7
ea3c0cd407,100,j0174,465,0,778000,14804000,14804000,14803535,5,4
ea3c0cd407,100,j0175,614,0,776000,19858000,19858000,19857386,7,6
ea3c0cd407,100,j0176,828,0,776000,22178000,22178000,22177172,9,8
ea3c0cd407,100,j0177,514,0,776000,17924000,17924000,17923486,6,5
ea3c0cd407,100,j0178,585,0,778000,17866000,17866000,17865415,6,5
ea3c0cd407,100,j0179,875,0,780000,22172000,22172000,22171125,9,8
ea3c0cd407,100,j0180,689,0,782000,19950000,19950000,19949311,7,6
ea3c0cd407,100,j0181,369,0,786000,11110000,11110000,11109631,4,3
ea3c0cd407,100,j0182,580,0,790000,17902000,17902000,17901420,6,5
ea3c0cd407,100,j0183,632,0,792000,19922000,19922000,19921368,7,6
ea3c0cd407,100,j0184,473,0,796000,14770000,14770000,14769527,5,4
ea3c0cd407,100,j0185,722,0,798000,21170000,21170000,21169278,8,7
ea3c0cd407,100,j0186,44,0,822000,822000,822000,821956,1,0
ea3c0cd407,100,j0187,315,0,832000,11162000,11162000,11161685,4,3
ea3c0cd407,100,j0188,687,0,834000,19916000,19916000,19915313,7,6
ea3c0cd407,100,j0189,585,0,834000,17904000,17904000,17903415,6,5
ea3c0cd407,100,j0190,374,0,836000,11294000,11294000,11293626,4,3
ea3c0cd407,100,j0191,596,0,836000,17906000,17906000,17905404,6,5
ea3c0cd407,100,j0192,506,0,836000,17958000,17958000,17957494,6,5
ea3c0cd407,100,j0193,859,0,840000,22210000,22210000,22209141,9,8
ea3c0cd407,100,j0194,540,0,842000,17918000,17918000,17917460,6,5
ea3c0cd407,100,j0195,497,0,844000,14866000,14866000,14865503,5,4
ea3c0cd407,100,j0196,553,0,842000,17906000,17906000,17905447,6,5
ea3c0cd407,100,j0197,695,0,842000,19914000,19914000,19913305,7,6
ea3c0cd407,100,j0198,788,0,842000,21218000,21218000,21217212,8,7
ea3c0cd407,100,j0199,660,0,846000,19900000,19900000,19899340,7,6
ea3c0cd407,100,j0200,769,0,850000,21192000,21192000,21191231,8,7
ea3c0cd407,100,j0201,752,0,876000,21220000,21220000,21219248,8,7
ea3c0cd407,100,j0202,636,0,878000,19902000,19902000,19901364,7,6
ea3c0cd407,100,j0203,413,0,878000,14964000,14964000,14963587,5,4
ea3c0cd407,100,j0204,515,0,880000,17918000,17918000,17917485,6,5
ea3c0cd407,100,j0205,745,0,880000,21216000,21216000,21215255,8,7
ea3c0cd407,100,j0206,338,0,888000,11296000,11296000,11295662,4,3
ea3c0cd407,100,j0207,393,0,890000,11174000,11174000,11173607,4,3
ea3c0cd407,100,j0208,465,0,884000,14880000,14880000,14879535,5,4
ea3c0cd407,100,j0209,733,0,886000,21210000,21210000,21209267,8,7
ea3c0cd407,100,j0210,460,0,892000,14922000,14922000,14921540,5,4
ea3c0cd407,100,j0211,856,0,894000,22212000,22212000,22211144,9,8
ea3c0cd407,100,j0212,37,0,906000,906000,906000,905963,1,0
ea3c0cd407,100,j0213,802,0,908000,22206000,22206000,22205198,9,8
ea3c0cd407,100,j0214,555,0,914000,17958000,17958000,17957445,6,5
ea3c0cd407,100,j0215,403,0,914000,14962000,14962000,14961597,5,4
ea3c0cd407,100,j0216,400,0,914000,11292000,11292000,11291600,4,3
ea3c0cd407,100,j0217,796,0,914000,21234000,21234000,21233204,8,7
ea3c0cd407,100,j0218,340,0,946000,11350000,11350000,11349660,4,3
ea3c0cd407,100,j0219,531,0,950000,18004000,18004000,18003469,6,5
ea3c0cd407,100,j0220,532,0,950000,17962000,17962000,17961468,6,5
ea3c0cd407,100,j0221,512,0,952000,17966000,17966000,17965488,6,5
ea3c0cd407,100,j0222,849,0,952000,22212000,22212000,22211151,9,8
ea3c0cd407,100,j0223,692,0,956000,19958000,19958000,19957308,7,6
ea3c0cd407,100,j0224,404,0,956000,14952000,14952000,14951596,5,4
ea3c0cd407,100,j0225,863,0,958000,22184000,22184000,22183137,9,8
ea3c0cd407,100,j0226,375,0,960000,11356000,11356000,11355625,4,3
ea3c0cd407,100,j0227,48,0,962000,962000,962000,961952,1,0
ea3c0cd407,100,j0228,450,0,970000,14968000,14968000,14967550,5,4
ea3c0cd407,100,j0229,392,0,972000,11350000,11350000,11349608,4,3
ea3c0cd407,100,j0230,797,0,972000,21224000,21224000,21223203,8,7
ea3c0cd407,100,j0231,682,0,974000,19924000,19924000,19923318,7,6
ea3c0cd407,100,j0232,370,0,978000,11292000,11292000,11291630,4,3
ea3c0cd407,100,j0233,574,0,1002000,18022000,18022000,18021426,6,5
ea3c0cd407,100,j0234,425,0,1004000,15120000,15120000,15119575,5,4
ea3c0cd407,100,j0235,391,0,1006000,11406000,11406000,11405609,4,3
ea3c0cd407,100,j0236,897,0,1006000,22220000,22220000,22219103,9,8
ea3c0cd407,100,j0237,757,0,1010000,21224000,21224000,21223243,8,7
ea3c0cd407,100,j0238,547,0,1014000,18022000,18022000,18021453,6,5
ea3c0cd407,100,j0239,678,0,1020000,19964000,19964000,19963322,7,6
ea3c0cd407,100,j0240,438,0,1022000,15032000,15032000,15031562,5,4
ea3c0cd407,100,j0241,432,0,1022000,15102000,15102000,15101568,5,4
ea3c0cd407,100,j0242,735,0,1024000,21262000,21262000,21261265,8,7
ea3c0cd407,100,j0243,458,0,1026000,15030000,15030000,15029542,5,4
ea3c0cd407,100,j0244,402,0,1026000,15036000,15036000,15035598,5,4
ea3c0cd407,100,j0245,836,0,1028000,22224000,22224000,22223164,9,8
ea3c0cd407,100,j0246,515,0,1028000,18054000,18054000,18053485,6,5
ea3c0cd407,100,j0247,776,0,1030000,21224000,21224000,21223224,8,7
ea3c0cd407,100,j0248,320,0,1032000,11350000,11350000,11349680,4,3
ea3c0cd407,100,j0249,463,0,1034000,15126000,15126000,15125537,5,4
ea3c0cd407,100,j0250,800,0,1058000,21228000,21228000,21227200,8,7
ea3c0cd407,100,j0251,443,0,1060000,15116000,15116000,15115557,5,4
ea3c0cd407,100,j0252,37,0,1062000,1062000,1062000,1061963,1,0
ea3c0cd407,100,j0253,448,0,1064000,15148000,15148000,15147552,5,4
ea3c0cd407,100,j0254,646,0,1064000,20010000,20010000,20009354,7,6
ea3c0cd407,100,j0255,638,0,1064000,20006000,20006000,20005362,7,6
ea3c0cd407,100,j0256,870,0,1068000,22216000,22216000,22215130,9,8
ea3c0cd407,100,j0257,558,0,1068000,18028000,18028000,18027442,6,5
ea3c0cd407,100,j0258,444,0,1072000,15124000,15124000,15123556,5,4
ea3c0cd407,100,j0259,808,0,1074000,22218000,22218000,22217192,9,8
ea3c0cd407,100,j0260,380,0,1080000,11466000,11466000,11465620,4,3
ea3c0cd407,100,j0261,434,0,1082000,15224000,15224000,15223566,5,4
ea3c0cd407,100,j0262,16,0,1084000,1084000,1084000,1083984,1,0
ea3c0cd407,100,j0263,373,0,1084000,11420000,11420000,11419627,4,3
ea3c0cd407,100,j0264,530,0,1086000,18062000,18062000,18061470,6,5
ea3c0cd407,100,j0265,675,0,1114000,19972000,19972000,19971325,7,6
ea3c0cd407,100,j0266,399,0,1116000,11516000,11516000,11515601,4,3
ea3c0cd407,100,j0267,572,0,1124000,18068000,18068000,18067428,6,5
ea3c0cd407,100,j0268,502,0,1120000,18060000,18060000,18059498,6,5
ea3c0cd407,100,j0269,558,0,1122000,18132000,18132000,18131442,6,5
ea3c0cd407,100,j0270,816,0,1122000,22222000,22222000,22221184,9,8
ea3c0cd407,100,j0271,721,0,1128000,21222000,21222000,21221279,8,7
ea3c0cd407,100,j0272,362,0,1130000,11474000,11474000,11473638,4,3
ea3c0cd407,100,j0273,483,0,1132000,15216000,15216000,15215517,5,4
ea3c0cd407,100,j0274,398,0,1132000,11568000,11568000,11567602,4,3
ea3c0cd407,100,j0275,345,0,1136000,11518000,11518000,11517655,4,3
ea3c0cd407,100,j0276,605,0,1136000,20010000,20010000,20009395,7,6
ea3c0cd407,100,j0277,551,0,1136000,18064000,18064000,18063449,6,5
ea3c0cd407,100,j0278,563,0,1138000,18064000,18064000,18063437,6,5
ea3c0cd407,100,j0279,380,0,1140000,11472000,11472000,11471620,4,3
ea3c0cd407,100,j0280,688,0,1142000,19972000,19972000,19971312,7,6
ea3c0cd407,100,j0281,526,0,1146000,18068000,18068000,18067474,6,5
ea3c0cd407,100,j0282,774,0,1172000,21264000,21264000,21263226,8,7
ea3c0cd407,100,j0283,707,0,1174000,21288000,21288000,21287293,8,7
ea3c0cd407,100,j0284,551,0,1176000,18116000,18116000,18115449,6,5
ea3c0cd407,100,j0285,511,0,1176000,18116000,18116000,18115489,6,5
ea3c0cd407,100,j0286,314,0,1178000,11520000,11520000,11519686,4,3
ea3c0cd407,100,j0287,387,0,1180000,11530000,11530000,11529613,4,3
ea3c0cd407,100,j0288,569,0,1184000,18070000,18070000,18069431,6,5
ea3c0cd407,100,j0289,736,0,1190000,21280000,21280000,21279264,8,7
ea3c0cd407,100,j0290,496,0,1190000,15298000,15298000,15297504,5,4
ea3c0cd407,100,j0291,532,0,1192000,18114000,18114000,18113468,6,5
