run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
a0265907cd,20,j0000,104,0,1700000,149080000,149080000,149079896,6,5
a0265907cd,20,j0001,107,0,1700000,150000000,150000000,149999893,6,5
a0265907cd,20,j0002,19,0,1720000,1720000,1720000,1719981,1,0
a0265907cd,20,j0003,103,0,1780000,149020000,149020000,149019897,6,5
a0265907cd,20,j0004,128,0,1820000,170320000,170320000,170319872,7,6
a0265907cd,20,j0005,262,0,1820000,217900000,217900000,217899738,14,13
a0265907cd,20,j0006,68,0,1880000,94620000,94620000,94619932,4,3
a0265907cd,20,j0007,157,0,1920000,187680000,187680000,187679843,8,7
a0265907cd,20,j0008,308,0,1940000,220580000,220580000,220579692,16,15
a0265907cd,20,j0009,217,0,1960000,207560000,207560000,207559783,11,10
a0265907cd,20,j0010,7,0,2140000,2140000,2140000,2139993,1,0
a0265907cd,20,j0011,116,0,2140000,149080000,149080000,149079884,6,5
a0265907cd,20,j0012,6,0,2120000,2140000,2140000,2139994,1,0
a0265907cd,20,j0013,157,0,2160000,187100000,187100000,187099843,8,7
a0265907cd,20,j0014,142,0,2140000,187800000,187800000,187799858,8,7
a0265907cd,20,j0015,223,0,2140000,211320000,211320000,211319777,12,11
a0265907cd,20,j0016,87,0,2200000,124960000,124960000,124959913,5,4
a0265907cd,20,j0017,148,0,2200000,187240000,187240000,187239852,8,7
a0265907cd,20,j0018,133,0,2220000,170840000,170840000,170839867,7,6
a0265907cd,20,j0019,87,0,2240000,124920000,124920000,124919913,5,4
a0265907cd,20,j0020,249,0,2420000,214920000,214920000,214919751,13,12
a0265907cd,20,j0021,14,0,2420000,2420000,2420000,2419986,1,0
a0265907cd,20,j0022,210,0,2500000,207120000,207120000,207119790,11,10
a0265907cd,20,j0023,117,0,2520000,150340000,150340000,150339883,6,5
a0265907cd,20,j0024,125,0,2540000,170940000,170940000,170939875,7,6
a0265907cd,20,j0025,155,0,2580000,187680000,187680000,187679845,8,7
