run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
d2c05ddd60,10,j0000,397,0,1820000,178660000,178660000,178659603,40,39
d2c05ddd60,10,j0001,48,0,1840000,80360000,80360000,80359952,5,4
d2c05ddd60,10,j0002,14,0,1980000,43080000,43080000,43079986,2,1
d2c05ddd60,10,j0003,9,0,2040000,2040000,2040000,2039991,1,0
d2c05ddd60,10,j0004,257,0,2040000,155860000,155860000,155859743,26,25
d2c05ddd60,10,j0005,12,0,2060000,43140000,43140000,43139988,2,1
d2c05ddd60,10,j0006,15,0,2100000,43140000,43140000,43139985,2,1
d2c05ddd60,10,j0007,13,0,2200000,43240000,43240000,43239987,2,1
d2c05ddd60,10,j0008,15,0,2260000,43200000,43200000,43199985,2,1
d2c05ddd60,10,j0009,15,0,2280000,43220000,43220000,43219985,2,1
d2c05ddd60,10,j0010,13,0,2440000,43240000,43240000,43239987,2,1
d2c05ddd60,10,j0011,2,0,2460000,2460000,2460000,2459998,1,0
d2c05ddd60,10,j0012,2,0,2480000,2480000,2480000,2479998,1,0
d2c05ddd60,10,j0013,6,0,2520000,2520000,2520000,2519994,1,0
d2c05ddd60,10,j0014,45,0,2520000,80900000,80900000,80899955,5,4
d2c05ddd60,10,j0015,75,0,2540000,100440000,100440000,100439925,8,7
d2c05ddd60,10,j0016,7,0,2660000,2680000,2680000,2679993,1,0
d2c05ddd60,10,j0017,3,0,2740000,2740000,2740000,2739997,1,0
d2c05ddd60,10,j0018,55,0,2880000,89080000,89080000,89079945,6,5
d2c05ddd60,10,j0019,5,0,2900000,2900000,2900000,2899995,1,0
d2c05ddd60,10,j0020,13,0,2920000,43600000,43600000,43599987,2,1
d2c05ddd60,10,j0021,4,0,2900000,2900000,2900000,2899996,1,0
d2c05ddd60,10,j0022,2,0,2980000,2980000,2980000,2979998,1,0
d2c05ddd60,10,j0023,41,0,3040000,80400000,80400000,80399959,5,4
d2c05ddd60,10,j0024,6,0,3100000,3100000,3100000,3099994,1,0
d2c05ddd60,10,j0025,42,0,3100000,80360000,80360000,80359958,5,4
d2c05ddd60,10,j0026,11,0,3120000,43580000,43580000,43579989,2,1
d2c05ddd60,10,j0027,6,0,3140000,3140000,3140000,3139994,1,0
d2c05ddd60,10,j0028,9,0,3140000,3140000,3140000,3139991,1,0
d2c05ddd60,10,j0029,8,0,3200000,3200000,3200000,3199992,1,0
d2c05ddd60,10,j0030,12,0,3160000,43600000,43600000,43599988,2,1
d2c05ddd60,10,j0031,13,0,3160000,43700000,43700000,43699987,2,1
d2c05ddd60,10,j0032,12,0,3180000,43620000,43620000,43619988,2,1
d2c05ddd60,10,j0033,3,0,3240000,3240000,3240000,3239997,1,0
d2c05ddd60,10,j0034,13,0,3200000,43600000,43600000,43599987,2,1
d2c05ddd60,10,j0035,13,0,3220000,43640000,43640000,43639987,2,1
d2c05ddd60,10,j0036,15,0,3200000,43600000,43600000,43599985,2,1
d2c05ddd60,10,j0037,4,0,3300000,3300000,3300000,3299996,1,0
d2c05ddd60,10,j0038,4,0,3260000,3260000,3260000,3259996,1,0
d2c05ddd60,10,j0039,14,0,3260000,43660000,43660000,43659986,2,1
d2c05ddd60,10,j0040,8,0,3280000,3280000,3280000,3279992,1,0
d2c05ddd60,10,j0041,3,0,3360000,3360000,3360000,3359997,1,0
d2c05ddd60,10,j0042,6,0,3700000,3700000,3700000,3699994,1,0
d2c05ddd60,10,j0043,77,0,3720000,100520000,100520000,100519923,8,7
d2c05ddd60,10,j0044,13,0,3740000,43780000,43780000,43779987,2,1
d2c05ddd60,10,j0045,4,0,3780000,3780000,3780000,3779996,1,0
d2c05ddd60,10,j0046,4,0,3820000,3840000,3840000,3839996,1,0
d2c05ddd60,10,j0047,9,0,3920000,3940000,3940000,3939991,1,0
d2c05ddd60,10,j0048,5,0,3920000,3920000,3920000,3919995,1,0
d2c05ddd60,10,j0049,9,0,3940000,3940000,3940000,3939991,1,0
d2c05ddd60,10,j0050,11,0,4160000,43720000,43720000,43719989,2,1
d2c05ddd60,10,j0051,9,0,4180000,4180000,4180000,4179991,1,0
d2c05ddd60,10,j0052,225,0,4220000,148560000,148560000,148559775,23,22
d2c05ddd60,10,j0053,9,0,4240000,4240000,4240000,4239991,1,0
d2c05ddd60,10,j0054,9,0,4260000,4260000,4260000,4259991,1,0
d2c05ddd60,10,j0055,6,0,4320000,4320000,4320000,4319994,1,0
d2c05ddd60,10,j0056,2,0,4300000,4300000,4300000,4299998,1,0
d2c05ddd60,10,j0057,15,0,4300000,43740000,43740000,43739985,2,1
d2c05ddd60,10,j0058,69,0,4320000,96220000,96220000,96219931,7,6
d2c05ddd60,10,j0059,13,0,4340000,44180000,44180000,44179987,2,1
d2c05ddd60,10,j0060,7,0,4360000,4360000,4360000,4359993,1,0
d2c05ddd60,10,j0061,42,0,4360000,80640000,80640000,80639958,5,4
d2c05ddd60,10,j0062,5,0,4380000,4380000,4380000,4379995,1,0
d2c05ddd60,10,j0063,7,0,4380000,4380000,4380000,4379993,1,0
d2c05ddd60,10,j0064,10,0,4400000,4400000,4400000,4399990,1,0
d2c05ddd60,10,j0065,2,0,4480000,4480000,4480000,4479998,1,0
d2c05ddd60,10,j0066,11,0,4400000,44180000,44180000,44179989,2,1
d2c05ddd60,10,j0067,14,0,4400000,44220000,44220000,44219986,2,1
d2c05ddd60,10,j0068,6,0,4440000,4440000,4440000,4439994,1,0
d2c05ddd60,10,j0069,11,0,4480000,43860000,43860000,43859989,2,1
d2c05ddd60,10,j0070,187,0,4480000,135620000,135620000,135619813,19,18
d2c05ddd60,10,j0071,6,0,4500000,4500000,4500000,4499994,1,0
d2c05ddd60,10,j0072,391,0,4560000,178440000,178440000,178439609,40,39
d2c05ddd60,10,j0073,7,0,4600000,4600000,4600000,4599993,1,0
d2c05ddd60,10,j0074,252,0,4840000,156460000,156460000,156459748,26,25
d2c05ddd60,10,j0075,27,0,4880000,63200000,63200000,63199973,3,2
d2c05ddd60,10,j0076,11,0,4940000,44280000,44280000,44279989,2,1
d2c05ddd60,10,j0077,45,0,4980000,80660000,80660000,80659955,5,4
d2c05ddd60,10,j0078,7,0,5020000,5020000,5020000,5019993,1,0
d2c05ddd60,10,j0079,11,0,5060000,44320000,44320000,44319989,2,1
d2c05ddd60,10,j0080,12,0,5080000,44320000,44320000,44319988,2,1
d2c05ddd60,10,j0081,6,0,5120000,5120000,5120000,5119994,1,0
d2c05ddd60,10,j0082,26,0,5400000,63440000,63440000,63439974,3,2
d2c05ddd60,10,j0083,70,0,5400000,95820000,95820000,95819930,7,6
d2c05ddd60,10,j0084,56,0,5420000,89200000,89200000,89199944,6,5
d2c05ddd60,10,j0085,7,0,5440000,5440000,5440000,5439993,1,0
d2c05ddd60,10,j0086,12,0,5440000,44760000,44760000,44759988,2,1
d2c05ddd60,10,j0087,77,0,5460000,100900000,100900000,100899923,8,7
d2c05ddd60,10,j0088,13,0,5480000,44740000,44740000,44739987,2,1
d2c05ddd60,10,j0089,4,0,5500000,5500000,5500000,5499996,1,0
d2c05ddd60,10,j0090,13,0,5520000,44780000,44780000,44779987,2,1
d2c05ddd60,10,j0091,3,0,5560000,5560000,5560000,5559997,1,0
d2c05ddd60,10,j0092,5,0,5540000,5560000,5560000,5559995,1,0
d2c05ddd60,10,j0093,26,0,5560000,63300000,63300000,63299974,3,2
d2c05ddd60,10,j0094,7,0,5560000,5560000,5560000,5559993,1,0
d2c05ddd60,10,j0095,6,0,5580000,5600000,5600000,5599994,1,0
d2c05ddd60,10,j0096,14,0,5580000,44700000,44700000,44699986,2,1
d2c05ddd60,10,j0097,10,0,5580000,5580000,5580000,5579990,1,0
d2c05ddd60,10,j0098,28,0,5600000,63400000,63400000,63399972,3,2
d2c05ddd60,10,j0099,78,0,5600000,101040000,101040000,101039922,8,7
d2c05ddd60,10,j0100,9,0,5640000,5660000,5660000,5659991,1,0
d2c05ddd60,10,j0101,11,0,5640000,44780000,44780000,44779989,2,1
d2c05ddd60,10,j0102,321,0,5640000,170400000,170400000,170399679,33,32
d2c05ddd60,10,j0103,15,0,5640000,44720000,44720000,44719985,2,1
d2c05ddd60,10,j0104,3,0,5660000,5660000,5660000,5659997,1,0
d2c05ddd60,10,j0105,15,0,5660000,44820000,44820000,44819985,2,1
