run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
4dc9196f9f,20,j0000,792,0,188000,134502000,134502000,134501208,40,39
4dc9196f9f,20,j0001,748,0,190000,132560000,132560000,132559252,38,37
4dc9196f9f,20,j0002,448,0,192000,99562000,99562000,99561552,23,22
4dc9196f9f,20,j0003,749,0,194000,132582000,132582000,132581251,38,37
4dc9196f9f,20,j0004,318,0,208000,69312000,69312000,69311682,16,15
4dc9196f9f,20,j0005,635,0,212000,123072000,123072000,123071365,32,31
4dc9196f9f,20,j0006,326,0,214000,74014000,74014000,74013674,17,16
4dc9196f9f,20,j0007,503,0,218000,107654000,107654000,107653497,26,25
4dc9196f9f,20,j0008,456,0,230000,99554000,99554000,99553544,23,22
4dc9196f9f,20,j0009,330,0,234000,74022000,74022000,74021670,17,16
4dc9196f9f,20,j0010,398,0,230000,87518000,87518000,87517602,20,19
4dc9196f9f,20,j0011,612,0,236000,120890000,120890000,120889388,31,30
4dc9196f9f,20,j0012,751,0,246000,132604000,132604000,132603249,38,37
4dc9196f9f,20,j0013,485,0,248000,104518000,104518000,104517515,25,24
4dc9196f9f,20,j0014,667,0,254000,126890000,126890000,126889333,34,33
4dc9196f9f,20,j0015,626,0,252000,123092000,123092000,123091374,32,31
4dc9196f9f,20,j0016,317,0,264000,69400000,69400000,69399683,16,15
4dc9196f9f,20,j0017,34,0,272000,4854000,4854000,4853966,2,1
4dc9196f9f,20,j0018,619,0,276000,120898000,120898000,120897381,31,30
4dc9196f9f,20,j0019,362,0,276000,83098000,83098000,83097638,19,18
4dc9196f9f,20,j0020,328,0,280000,74056000,74056000,74055672,17,16
4dc9196f9f,20,j0021,488,0,290000,104536000,104536000,104535512,25,24
4dc9196f9f,20,j0022,572,0,292000,116074000,116074000,116073428,29,28
4dc9196f9f,20,j0023,802,0,294000,135332000,135332000,135331198,41,40
4dc9196f9f,20,j0024,589,0,298000,118690000,118690000,118689411,30,29
4dc9196f9f,20,j0025,475,0,306000,100962000,100962000,100961525,24,23
4dc9196f9f,20,j0026,413,0,308000,91760000,91760000,91759587,21,20
4dc9196f9f,20,j0027,705,0,308000,130068000,130068000,130067295,36,35
4dc9196f9f,20,j0028,574,0,310000,116092000,116092000,116091426,29,28
4dc9196f9f,20,j0029,8,0,322000,324000,324000,323992,1,0
4dc9196f9f,20,j0030,866,0,324000,136882000,136882000,136881134,44,43
4dc9196f9f,20,j0031,397,0,324000,87600000,87600000,87599603,20,19
4dc9196f9f,20,j0032,874,0,326000,136876000,136876000,136875126,44,43
4dc9196f9f,20,j0033,752,0,338000,132606000,132606000,132605248,38,37
4dc9196f9f,20,j0034,527,0,340000,110704000,110704000,110703473,27,26
4dc9196f9f,20,j0035,508,0,342000,107716000,107716000,107715492,26,25
4dc9196f9f,20,j0036,468,0,344000,101014000,101014000,101013532,24,23
4dc9196f9f,20,j0037,877,0,358000,136880000,136880000,136879123,44,43
