run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
8d9a200517,10,j0000,397,0,102000,22946000,22946000,22945603,40,39
8d9a200517,10,j0001,48,0,106000,10782000,10782000,10781952,5,4
8d9a200517,10,j0002,14,0,108000,5272000,5272000,5271986,2,1
8d9a200517,10,j0003,9,0,110000,110000,110000,109991,1,0
8d9a200517,10,j0004,257,0,122000,22404000,22404000,22403743,26,25
8d9a200517,10,j0005,12,0,124000,5280000,5280000,5279988,2,1
8d9a200517,10,j0006,15,0,126000,5292000,5292000,5291985,2,1
8d9a200517,10,j0007,13,0,128000,5280000,5280000,5279987,2,1
8d9a200517,10,j0008,15,0,140000,5296000,5296000,5295985,2,1
8d9a200517,10,j0009,15,0,144000,5302000,5302000,5301985,2,1
8d9a200517,10,j0010,13,0,144000,5306000,5306000,5305987,2,1
8d9a200517,10,j0011,2,0,146000,148000,148000,147998,1,0
8d9a200517,10,j0012,2,0,160000,160000,160000,159998,1,0
8d9a200517,10,j0013,6,0,164000,164000,164000,163994,1,0
8d9a200517,10,j0014,45,0,164000,10800000,10800000,10799955,5,4
8d9a200517,10,j0015,75,0,168000,13714000,13714000,13713925,8,7
8d9a200517,10,j0016,7,0,184000,184000,184000,183993,1,0
8d9a200517,10,j0017,3,0,184000,186000,186000,185997,1,0
8d9a200517,10,j0018,55,0,186000,11922000,11922000,11921945,6,5
8d9a200517,10,j0019,5,0,188000,188000,188000,187995,1,0
8d9a200517,10,j0020,13,0,200000,5326000,5326000,5325987,2,1
8d9a200517,10,j0021,4,0,204000,204000,204000,203996,1,0
8d9a200517,10,j0022,2,0,206000,206000,206000,205998,1,0
8d9a200517,10,j0023,41,0,208000,10824000,10824000,10823959,5,4
8d9a200517,10,j0024,6,0,214000,214000,214000,213994,1,0
8d9a200517,10,j0025,42,0,220000,10820000,10820000,10819958,5,4
8d9a200517,10,j0026,11,0,222000,5350000,5350000,5349989,2,1
8d9a200517,10,j0027,6,0,224000,226000,226000,225994,1,0
8d9a200517,10,j0028,9,0,230000,230000,230000,229991,1,0
8d9a200517,10,j0029,8,0,234000,234000,234000,233992,1,0
8d9a200517,10,j0030,12,0,244000,5356000,5356000,5355988,2,1
8d9a200517,10,j0031,13,0,246000,5354000,5354000,5353987,2,1
8d9a200517,10,j0032,12,0,248000,5356000,5356000,5355988,2,1
8d9a200517,10,j0033,3,0,254000,254000,254000,253997,1,0
8d9a200517,10,j0034,13,0,266000,5378000,5378000,5377987,2,1
8d9a200517,10,j0035,13,0,266000,5372000,5372000,5371987,2,1
8d9a200517,10,j0036,15,0,270000,5376000,5376000,5375985,2,1
8d9a200517,10,j0037,4,0,274000,274000,274000,273996,1,0
8d9a200517,10,j0038,4,0,284000,284000,284000,283996,1,0
8d9a200517,10,j0039,14,0,288000,5380000,5380000,5379986,2,1
8d9a200517,10,j0040,8,0,284000,286000,286000,285992,1,0
8d9a200517,10,j0041,3,0,288000,290000,290000,289997,1,0
8d9a200517,10,j0042,6,0,300000,300000,300000,299994,1,0
8d9a200517,10,j0043,77,0,304000,13712000,13712000,13711923,8,7
8d9a200517,10,j0044,13,0,306000,5400000,5400000,5399987,2,1
8d9a200517,10,j0045,4,0,308000,310000,310000,309996,1,0
8d9a200517,10,j0046,4,0,310000,310000,310000,309996,1,0
8d9a200517,10,j0047,9,0,314000,314000,314000,313991,1,0
8d9a200517,10,j0048,5,0,320000,320000,320000,319995,1,0
8d9a200517,10,j0049,9,0,324000,324000,324000,323991,1,0
8d9a200517,10,j0050,11,0,322000,5404000,5404000,5403989,2,1
8d9a200517,10,j0051,9,0,328000,328000,328000,327991,1,0
8d9a200517,10,j0052,225,0,338000,21254000,21254000,21253775,23,22
8d9a200517,10,j0053,9,0,338000,338000,338000,337991,1,0
8d9a200517,10,j0054,9,0,340000,340000,340000,339991,1,0
8d9a200517,10,j0055,6,0,342000,342000,342000,341994,1,0
8d9a200517,10,j0056,2,0,352000,352000,352000,351998,1,0
8d9a200517,10,j0057,15,0,352000,5404000,5404000,5403985,2,1
8d9a200517,10,j0058,69,0,358000,12950000,12950000,12949931,7,6
8d9a200517,10,j0059,13,0,356000,5432000,5432000,5431987,2,1
8d9a200517,10,j0060,7,0,368000,368000,368000,367993,1,0
8d9a200517,10,j0061,42,0,368000,10844000,10844000,10843958,5,4
8d9a200517,10,j0062,5,0,372000,372000,372000,371995,1,0
8d9a200517,10,j0063,7,0,372000,372000,372000,371993,1,0
8d9a200517,10,j0064,10,0,380000,380000,380000,379990,1,0
8d9a200517,10,j0065,2,0,384000,384000,384000,383998,1,0
8d9a200517,10,j0066,11,0,386000,5436000,5436000,5435989,2,1
8d9a200517,10,j0067,14,0,386000,5450000,5450000,5449986,2,1
8d9a200517,10,j0068,6,0,392000,394000,394000,393994,1,0
8d9a200517,10,j0069,11,0,394000,5454000,5454000,5453989,2,1
8d9a200517,10,j0070,187,0,398000,19394000,19394000,19393813,19,18
8d9a200517,10,j0071,6,0,406000,406000,406000,405994,1,0
8d9a200517,10,j0072,391,0,408000,22942000,22942000,22941609,40,39
8d9a200517,10,j0073,7,0,410000,410000,410000,409993,1,0
8d9a200517,10,j0074,252,0,412000,22426000,22426000,22425748,26,25
8d9a200517,10,j0075,27,0,416000,8096000,8096000,8095973,3,2
8d9a200517,10,j0076,11,0,420000,5474000,5474000,5473989,2,1
8d9a200517,10,j0077,45,0,424000,10870000,10870000,10869955,5,4
8d9a200517,10,j0078,7,0,432000,432000,432000,431993,1,0
8d9a200517,10,j0079,11,0,434000,5490000,5490000,5489989,2,1
8d9a200517,10,j0080,12,0,442000,5490000,5490000,5489988,2,1
8d9a200517,10,j0081,6,0,444000,444000,444000,443994,1,0
8d9a200517,10,j0082,26,0,448000,8100000,8100000,8099974,3,2
8d9a200517,10,j0083,70,0,456000,12968000,12968000,12967930,7,6
8d9a200517,10,j0084,56,0,458000,11960000,11960000,11959944,6,5
8d9a200517,10,j0085,7,0,464000,464000,464000,463993,1,0
8d9a200517,10,j0086,12,0,472000,5506000,5506000,5505988,2,1
8d9a200517,10,j0087,77,0,476000,13744000,13744000,13743923,8,7
8d9a200517,10,j0088,13,0,476000,5512000,5512000,5511987,2,1
8d9a200517,10,j0089,4,0,478000,480000,480000,479996,1,0
8d9a200517,10,j0090,13,0,490000,5530000,5530000,5529987,2,1
8d9a200517,10,j0091,3,0,492000,492000,492000,491997,1,0
8d9a200517,10,j0092,5,0,498000,498000,498000,497995,1,0
8d9a200517,10,j0093,26,0,500000,8112000,8112000,8111974,3,2
8d9a200517,10,j0094,7,0,508000,510000,510000,509993,1,0
8d9a200517,10,j0095,6,0,512000,514000,514000,513994,1,0
8d9a200517,10,j0096,14,0,512000,5538000,5538000,5537986,2,1
8d9a200517,10,j0097,10,0,516000,516000,516000,515990,1,0
8d9a200517,10,j0098,28,0,532000,8116000,8116000,8115972,3,2
8d9a200517,10,j0099,78,0,534000,13744000,13744000,13743922,8,7
8d9a200517,10,j0100,9,0,534000,534000,534000,533991,1,0
8d9a200517,10,j0101,11,0,536000,5560000,5560000,5559989,2,1
8d9a200517,10,j0102,321,0,548000,24114000,24114000,24113679,33,32
8d9a200517,10,j0103,15,0,550000,5584000,5584000,5583985,2,1
8d9a200517,10,j0104,3,0,552000,552000,552000,551997,1,0
8d9a200517,10,j0105,15,0,554000,5586000,5586000,5585985,2,1
8d9a200517,10,j0106,58,0,564000,11986000,11986000,11985942,6,5
8d9a200517,10,j0107,198,0,566000,19908000,19908000,19907802,20,19
8d9a200517,10,j0108,11,0,570000,5608000,5608000,5607989,2,1
8d9a200517,10,j0109,9,0,574000,574000,574000,573991,1,0
8d9a200517,10,j0110,5,0,590000,590000,590000,589995,1,0
8d9a200517,10,j0111,13,0,590000,5612000,5612000,5611987,2,1
8d9a200517,10,j0112,27,0,594000,8142000,8142000,8141973,3,2
8d9a200517,10,j0113,27,0,598000,8142000,8142000,8141973,3,2
8d9a200517,10,j0114,6,0,612000,612000,612000,611994,1,0
8d9a200517,10,j0115,61,0,610000,12984000,12984000,12983939,7,6
8d9a200517,10,j0116,6,0,612000,614000,614000,613994,1,0
8d9a200517,10,j0117,11,0,614000,5632000,5632000,5631989,2,1
8d9a200517,10,j0118,44,0,626000,10908000,10908000,10907956,5,4
8d9a200517,10,j0119,4,0,628000,628000,628000,627996,1,0
8d9a200517,10,j0120,8,0,628000,628000,628000,627992,1,0
8d9a200517,10,j0121,41,0,630000,10916000,10916000,10915959,5,4
8d9a200517,10,j0122,11,0,644000,5644000,5644000,5643989,2,1
8d9a200517,10,j0123,56,0,646000,12010000,12010000,12009944,6,5
8d9a200517,10,j0124,7,0,648000,650000,650000,649993,1,0
