run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
9a6142e2f7,200,j0000,397,0,56000,2792000,2792000,2791603,2,1
9a6142e2f7,200,j0001,48,0,60000,60000,60000,59952,1,0
9a6142e2f7,200,j0002,14,0,58000,60000,60000,59986,1,0
9a6142e2f7,200,j0003,9,0,62000,62000,62000,61991,1,0
9a6142e2f7,200,j0004,257,0,78000,2798000,2798000,2797743,2,1
9a6142e2f7,200,j0005,12,0,82000,84000,84000,83988,1,0
9a6142e2f7,200,j0006,15,0,84000,84000,84000,83985,1,0
9a6142e2f7,200,j0007,13,0,84000,84000,84000,83987,1,0
9a6142e2f7,200,j0008,15,0,100000,100000,100000,99985,1,0
9a6142e2f7,200,j0009,15,0,104000,104000,104000,103985,1,0
9a6142e2f7,200,j0010,13,0,104000,106000,106000,105987,1,0
9a6142e2f7,200,j0011,2,0,108000,108000,108000,107998,1,0
9a6142e2f7,200,j0012,2,0,116000,116000,116000,115998,1,0
9a6142e2f7,200,j0013,6,0,120000,120000,120000,119994,1,0
9a6142e2f7,200,j0014,45,0,122000,122000,122000,121955,1,0
9a6142e2f7,200,j0015,75,0,122000,122000,122000,121925,1,0
9a6142e2f7,200,j0016,7,0,134000,134000,134000,133993,1,0
9a6142e2f7,200,j0017,3,0,138000,138000,138000,137997,1,0
9a6142e2f7,200,j0018,55,0,144000,144000,144000,143945,1,0
9a6142e2f7,200,j0019,5,0,146000,146000,146000,145995,1,0
9a6142e2f7,200,j0020,13,0,150000,150000,150000,149987,1,0
9a6142e2f7,200,j0021,4,0,154000,154000,154000,153996,1,0
9a6142e2f7,200,j0022,2,0,164000,164000,164000,163998,1,0
9a6142e2f7,200,j0023,41,0,166000,166000,166000,165959,1,0
9a6142e2f7,200,j0024,6,0,168000,170000,170000,169994,1,0
9a6142e2f7,200,j0025,42,0,172000,172000,172000,171958,1,0
9a6142e2f7,200,j0026,11,0,182000,184000,184000,183989,1,0
9a6142e2f7,200,j0027,6,0,186000,186000,186000,185994,1,0
9a6142e2f7,200,j0028,9,0,188000,194000,194000,193991,1,0
9a6142e2f7,200,j0029,8,0,194000,196000,196000,195992,1,0
9a6142e2f7,200,j0030,12,0,206000,206000,206000,205988,1,0
9a6142e2f7,200,j0031,13,0,208000,208000,208000,207987,1,0
9a6142e2f7,200,j0032,12,0,212000,214000,214000,213988,1,0
9a6142e2f7,200,j0033,3,0,214000,216000,216000,215997,1,0
9a6142e2f7,200,j0034,13,0,226000,226000,226000,225987,1,0
9a6142e2f7,200,j0035,13,0,230000,230000,230000,229987,1,0
9a6142e2f7,200,j0036,15,0,232000,232000,232000,231985,1,0
9a6142e2f7,200,j0037,4,0,236000,236000,236000,235996,1,0
9a6142e2f7,200,j0038,4,0,250000,250000,250000,249996,1,0
9a6142e2f7,200,j0039,14,0,252000,254000,254000,253986,1,0
9a6142e2f7,200,j0040,8,0,250000,252000,252000,251992,1,0
9a6142e2f7,200,j0041,3,0,252000,254000,254000,253997,1,0
9a6142e2f7,200,j0042,6,0,268000,270000,270000,269994,1,0
9a6142e2f7,200,j0043,77,0,272000,272000,272000,271923,1,0
9a6142e2f7,200,j0044,13,0,270000,272000,272000,271987,1,0
9a6142e2f7,200,j0045,4,0,274000,274000,274000,273996,1,0
9a6142e2f7,200,j0046,4,0,292000,292000,292000,291996,1,0
9a6142e2f7,200,j0047,9,0,294000,294000,294000,293991,1,0
9a6142e2f7,200,j0048,5,0,294000,296000,296000,295995,1,0
9a6142e2f7,200,j0049,9,0,298000,298000,298000,297991,1,0
9a6142e2f7,200,j0050,11,0,308000,308000,308000,307989,1,0
9a6142e2f7,200,j0051,9,0,312000,312000,312000,311991,1,0
9a6142e2f7,200,j0052,225,0,312000,2804000,2804000,2803775,2,1
9a6142e2f7,200,j0053,9,0,314000,314000,314000,313991,1,0
9a6142e2f7,200,j0054,9,0,324000,324000,324000,323991,1,0
9a6142e2f7,200,j0055,6,0,326000,328000,328000,327994,1,0
9a6142e2f7,200,j0056,2,0,326000,326000,326000,325998,1,0
9a6142e2f7,200,j0057,15,0,330000,330000,330000,329985,1,0
9a6142e2f7,200,j0058,69,0,340000,340000,340000,339931,1,0
9a6142e2f7,200,j0059,13,0,344000,344000,344000,343987,1,0
