run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
a513fcd2c0,100,j0000,104,0,398000,5876000,5876000,5875896,2,1
a513fcd2c0,100,j0001,107,0,404000,5880000,5880000,5879893,2,1
a513fcd2c0,100,j0002,19,0,398000,400000,400000,399981,1,0
a513fcd2c0,100,j0003,103,0,404000,5880000,5880000,5879897,2,1
a513fcd2c0,100,j0004,128,0,424000,5892000,5892000,5891872,2,1
a513fcd2c0,100,j0005,262,0,430000,8404000,8404000,8403738,3,2
a513fcd2c0,100,j0006,68,0,438000,438000,438000,437932,1,0
a513fcd2c0,100,j0007,157,0,438000,5900000,5900000,5899843,2,1
a513fcd2c0,100,j0008,308,0,450000,9068000,9068000,9067692,4,3
a513fcd2c0,100,j0009,217,0,456000,8410000,8410000,8409783,3,2
a513fcd2c0,100,j0010,7,0,462000,464000,464000,463993,1,0
a513fcd2c0,100,j0011,116,0,468000,5914000,5914000,5913884,2,1
a513fcd2c0,100,j0012,6,0,470000,472000,472000,471994,1,0
a513fcd2c0,100,j0013,157,0,492000,5918000,5918000,5917843,2,1
a513fcd2c0,100,j0014,142,0,494000,5928000,5928000,5927858,2,1
a513fcd2c0,100,j0015,223,0,502000,8410000,8410000,8409777,3,2
a513fcd2c0,100,j0016,87,0,498000,498000,498000,497913,1,0
a513fcd2c0,100,j0017,148,0,516000,5932000,5932000,5931852,2,1
a513fcd2c0,100,j0018,133,0,528000,5940000,5940000,5939867,2,1
a513fcd2c0,100,j0019,87,0,534000,534000,534000,533913,1,0
a513fcd2c0,100,j0020,249,0,532000,8424000,8424000,8423751,3,2
a513fcd2c0,100,j0021,14,0,552000,552000,552000,551986,1,0
a513fcd2c0,100,j0022,210,0,556000,8422000,8422000,8421790,3,2
a513fcd2c0,100,j0023,117,0,562000,5952000,5952000,5951883,2,1
a513fcd2c0,100,j0024,125,0,566000,5960000,5960000,5959875,2,1
