run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
c46b7cdc07,50,j0000,792,0,350000,51412000,51412000,51411208,16,15
c46b7cdc07,50,j0001,748,0,352000,50200000,50200000,50199252,15,14
c46b7cdc07,50,j0002,448,0,354000,34966000,34966000,34965552,9,8
c46b7cdc07,50,j0003,749,0,356000,50214000,50214000,50213251,15,14
c46b7cdc07,50,j0004,318,0,364000,26388000,26388000,26387682,7,6
c46b7cdc07,50,j0005,635,0,368000,46584000,46584000,46583365,13,12
c46b7cdc07,50,j0006,326,0,370000,26426000,26426000,26425674,7,6
c46b7cdc07,50,j0007,503,0,374000,41644000,41644000,41643497,11,10
c46b7cdc07,50,j0008,456,0,384000,40616000,40616000,40615544,10,9
c46b7cdc07,50,j0009,330,0,384000,26412000,26412000,26411670,7,6
c46b7cdc07,50,j0010,398,0,388000,30776000,30776000,30775602,8,7
c46b7cdc07,50,j0011,612,0,390000,46594000,46594000,46593388,13,12
c46b7cdc07,50,j0012,751,0,398000,51410000,51410000,51409249,16,15
c46b7cdc07,50,j0013,485,0,402000,40632000,40632000,40631515,10,9
c46b7cdc07,50,j0014,667,0,402000,48610000,48610000,48609333,14,13
c46b7cdc07,50,j0015,626,0,404000,46610000,46610000,46609374,13,12
c46b7cdc07,50,j0016,317,0,414000,26450000,26450000,26449683,7,6
c46b7cdc07,50,j0017,34,0,418000,418000,418000,417966,1,0
c46b7cdc07,50,j0018,619,0,418000,46606000,46606000,46605381,13,12
c46b7cdc07,50,j0019,362,0,420000,30830000,30830000,30829638,8,7
c46b7cdc07,50,j0020,328,0,434000,26462000,26462000,26461672,7,6
c46b7cdc07,50,j0021,488,0,438000,40650000,40650000,40649512,10,9
c46b7cdc07,50,j0022,572,0,438000,44316000,44316000,44315428,12,11
c46b7cdc07,50,j0023,802,0,438000,52308000,52308000,52307198,17,16
c46b7cdc07,50,j0024,589,0,448000,44318000,44318000,44317411,12,11
c46b7cdc07,50,j0025,475,0,450000,40676000,40676000,40675525,10,9
c46b7cdc07,50,j0026,413,0,454000,35132000,35132000,35131587,9,8
c46b7cdc07,50,j0027,705,0,456000,50226000,50226000,50225295,15,14
c46b7cdc07,50,j0028,574,0,466000,44340000,44340000,44339426,12,11
c46b7cdc07,50,j0029,8,0,468000,470000,470000,469992,1,0
c46b7cdc07,50,j0030,866,0,474000,52868000,52868000,52867134,18,17
c46b7cdc07,50,j0031,397,0,474000,30872000,30872000,30871603,8,7
c46b7cdc07,50,j0032,874,0,482000,52864000,52864000,52863126,18,17
c46b7cdc07,50,j0033,752,0,486000,51428000,51428000,51427248,16,15
c46b7cdc07,50,j0034,527,0,484000,41700000,41700000,41699473,11,10
c46b7cdc07,50,j0035,508,0,488000,41696000,41696000,41695492,11,10
c46b7cdc07,50,j0036,468,0,496000,40720000,40720000,40719532,10,9
c46b7cdc07,50,j0037,877,0,500000,52870000,52870000,52869123,18,17
c46b7cdc07,50,j0038,875,0,498000,52870000,52870000,52869125,18,17
c46b7cdc07,50,j0039,743,0,500000,50244000,50244000,50243257,15,14
