run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
70201a640a,50,j0000,104,0,382000,10500000,10500000,10499896,3,2
70201a640a,50,j0001,107,0,384000,10508000,10508000,10507893,3,2
70201a640a,50,j0002,19,0,388000,390000,390000,389981,1,0
70201a640a,50,j0003,103,0,392000,10512000,10512000,10511897,3,2
70201a640a,50,j0004,128,0,394000,10520000,10520000,10519872,3,2
70201a640a,50,j0005,262,0,400000,15256000,15256000,15255738,6,5
70201a640a,50,j0006,68,0,406000,5830000,5830000,5829932,2,1
70201a640a,50,j0007,157,0,410000,13522000,13522000,13521843,4,3
70201a640a,50,j0008,308,0,412000,15552000,15552000,15551692,7,6
70201a640a,50,j0009,217,0,424000,14638000,14638000,14637783,5,4
70201a640a,50,j0010,7,0,430000,430000,430000,429993,1,0
70201a640a,50,j0011,116,0,432000,10560000,10560000,10559884,3,2
70201a640a,50,j0012,6,0,432000,432000,432000,431994,1,0
70201a640a,50,j0013,157,0,442000,13526000,13526000,13525843,4,3
70201a640a,50,j0014,142,0,448000,10566000,10566000,10565858,3,2
70201a640a,50,j0015,223,0,450000,14640000,14640000,14639777,5,4
70201a640a,50,j0016,87,0,456000,5884000,5884000,5883913,2,1
70201a640a,50,j0017,148,0,462000,10592000,10592000,10591852,3,2
70201a640a,50,j0018,133,0,468000,10594000,10594000,10593867,3,2
70201a640a,50,j0019,87,0,470000,5892000,5892000,5891913,2,1
70201a640a,50,j0020,249,0,476000,14654000,14654000,14653751,5,4
70201a640a,50,j0021,14,0,484000,484000,484000,483986,1,0
70201a640a,50,j0022,210,0,492000,14658000,14658000,14657790,5,4
70201a640a,50,j0023,117,0,490000,10612000,10612000,10611883,3,2
70201a640a,50,j0024,125,0,494000,10628000,10628000,10627875,3,2
70201a640a,50,j0025,155,0,498000,13546000,13546000,13545845,4,3
70201a640a,50,j0026,82,0,514000,5932000,5932000,5931918,2,1
70201a640a,50,j0027,99,0,518000,5928000,5928000,5927901,2,1
70201a640a,50,j0028,107,0,518000,10632000,10632000,10631893,3,2
70201a640a,50,j0029,73,0,518000,5954000,5954000,5953927,2,1
70201a640a,50,j0030,66,0,534000,5970000,5970000,5969934,2,1
70201a640a,50,j0031,83,0,538000,5958000,5958000,5957917,2,1
70201a640a,50,j0032,85,0,536000,5954000,5954000,5953915,2,1
70201a640a,50,j0033,100,0,538000,5974000,5974000,5973900,2,1
70201a640a,50,j0034,152,0,554000,13550000,13550000,13549848,4,3
70201a640a,50,j0035,12,0,558000,558000,558000,557988,1,0
70201a640a,50,j0036,68,0,560000,5976000,5976000,5975932,2,1
70201a640a,50,j0037,109,0,562000,10646000,10646000,10645891,3,2
70201a640a,50,j0038,123,0,568000,10650000,10650000,10649877,3,2
70201a640a,50,j0039,10,0,584000,584000,584000,583990,1,0
70201a640a,50,j0040,82,0,582000,5996000,5996000,5995918,2,1
70201a640a,50,j0041,6,0,586000,586000,586000,585994,1,0
70201a640a,50,j0042,96,0,588000,6000000,6000000,5999904,2,1
70201a640a,50,j0043,127,0,596000,10666000,10666000,10665873,3,2
70201a640a,50,j0044,160,0,600000,13554000,13554000,13553840,4,3
70201a640a,50,j0045,267,0,610000,15270000,15270000,15269733,6,5
70201a640a,50,j0046,147,0,610000,10666000,10666000,10665853,3,2
70201a640a,50,j0047,89,0,614000,6030000,6030000,6029911,2,1
70201a640a,50,j0048,72,0,622000,6034000,6034000,6033928,2,1
70201a640a,50,j0049,64,0,626000,6034000,6034000,6033936,2,1
70201a640a,50,j0050,274,0,630000,15272000,15272000,15271726,6,5
70201a640a,50,j0051,93,0,632000,6038000,6038000,6037907,2,1
70201a640a,50,j0052,104,0,638000,10694000,10694000,10693896,3,2
70201a640a,50,j0053,91,0,644000,6058000,6058000,6057909,2,1
70201a640a,50,j0054,20,0,652000,654000,654000,653980,1,0
70201a640a,50,j0055,81,0,656000,6064000,6064000,6063919,2,1
70201a640a,50,j0056,68,0,658000,6076000,6076000,6075932,2,1
70201a640a,50,j0057,80,0,664000,6074000,6074000,6073920,2,1
70201a640a,50,j0058,99,0,676000,6086000,6086000,6085901,2,1
70201a640a,50,j0059,9,0,678000,680000,680000,679991,1,0
70201a640a,50,j0060,92,0,680000,6088000,6088000,6087908,2,1
70201a640a,50,j0061,207,0,682000,14668000,14668000,14667793,5,4
70201a640a,50,j0062,10,0,692000,692000,692000,691990,1,0
70201a640a,50,j0063,123,0,696000,10700000,10700000,10699877,3,2
70201a640a,50,j0064,97,0,698000,6110000,6110000,6109903,2,1
70201a640a,50,j0065,114,0,702000,10704000,10704000,10703886,3,2
70201a640a,50,j0066,65,0,710000,6122000,6122000,6121935,2,1
70201a640a,50,j0067,290,0,712000,15286000,15286000,15285710,6,5
70201a640a,50,j0068,71,0,718000,6132000,6132000,6131929,2,1
70201a640a,50,j0069,301,0,724000,15550000,15550000,15549699,7,6
70201a640a,50,j0070,280,0,732000,15286000,15286000,15285720,6,5
70201a640a,50,j0071,153,0,732000,13580000,13580000,13579847,4,3
70201a640a,50,j0072,153,0,748000,13588000,13588000,13587847,4,3
70201a640a,50,j0073,108,0,748000,10740000,10740000,10739892,3,2
70201a640a,50,j0074,106,0,754000,10740000,10740000,10739894,3,2
70201a640a,50,j0075,138,0,754000,10752000,10752000,10751862,3,2
70201a640a,50,j0076,104,0,768000,10760000,10760000,10759896,3,2
70201a640a,50,j0077,125,0,770000,10762000,10762000,10761875,3,2
70201a640a,50,j0078,7,0,774000,774000,774000,773993,1,0
70201a640a,50,j0079,131,0,776000,10762000,10762000,10761869,3,2
70201a640a,50,j0080,215,0,792000,14696000,14696000,14695785,5,4
70201a640a,50,j0081,106,0,792000,10774000,10774000,10773894,3,2
70201a640a,50,j0082,255,0,798000,15288000,15288000,15287745,6,5
70201a640a,50,j0083,221,0,800000,14704000,14704000,14703779,5,4
70201a640a,50,j0084,16,0,818000,820000,820000,819984,1,0
70201a640a,50,j0085,132,0,826000,10796000,10796000,10795868,3,2
70201a640a,50,j0086,272,0,826000,15290000,15290000,15289728,6,5
70201a640a,50,j0087,126,0,830000,10806000,10806000,10805874,3,2
70201a640a,50,j0088,66,0,844000,6234000,6234000,6233934,2,1
70201a640a,50,j0089,126,0,850000,10806000,10806000,10805874,3,2
70201a640a,50,j0090,124,0,848000,10824000,10824000,10823876,3,2
70201a640a,50,j0091,277,0,850000,15300000,15300000,15299723,6,5
70201a640a,50,j0092,290,0,858000,15302000,15302000,15301710,6,5
70201a640a,50,j0093,151,0,864000,13618000,13618000,13617849,4,3
70201a640a,50,j0094,104,0,870000,10840000,10840000,10839896,3,2
70201a640a,50,j0095,94,0,874000,6292000,6292000,6291906,2,1
70201a640a,50,j0096,120,0,874000,10852000,10852000,10851880,3,2
70201a640a,50,j0097,83,0,878000,6290000,6290000,6289917,2,1
70201a640a,50,j0098,96,0,888000,6296000,6296000,6295904,2,1
70201a640a,50,j0099,131,0,892000,10854000,10854000,10853869,3,2
70201a640a,50,j0100,117,0,892000,10856000,10856000,10855883,3,2
70201a640a,50,j0101,20,0,900000,902000,902000,901980,1,0
70201a640a,50,j0102,9,0,906000,906000,906000,905991,1,0
70201a640a,50,j0103,117,0,908000,10858000,10858000,10857883,3,2
70201a640a,50,j0104,62,0,910000,6316000,6316000,6315938,2,1
70201a640a,50,j0105,6,0,920000,920000,920000,919994,1,0
70201a640a,50,j0106,70,0,926000,6328000,6328000,6327930,2,1
70201a640a,50,j0107,13,0,924000,926000,926000,925987,1,0
70201a640a,50,j0108,63,0,930000,6332000,6332000,6331937,2,1
70201a640a,50,j0109,111,0,934000,10872000,10872000,10871889,3,2
70201a640a,50,j0110,229,0,946000,14738000,14738000,14737771,5,4
70201a640a,50,j0111,238,0,948000,14728000,14728000,14727762,5,4
70201a640a,50,j0112,113,0,950000,10892000,10892000,10891887,3,2
70201a640a,50,j0113,110,0,956000,10876000,10876000,10875890,3,2
70201a640a,50,j0114,307,0,962000,15566000,15566000,15565693,7,6
70201a640a,50,j0115,128,0,968000,10900000,10900000,10899872,3,2
70201a640a,50,j0116,86,0,972000,6374000,6374000,6373914,2,1
70201a640a,50,j0117,73,0,972000,6366000,6366000,6365927,2,1
70201a640a,50,j0118,300,0,982000,15306000,15306000,15305700,6,5
70201a640a,50,j0119,304,0,990000,15570000,15570000,15569696,7,6
70201a640a,50,j0120,89,0,992000,6400000,6400000,6399911,2,1
70201a640a,50,j0121,133,0,990000,10912000,10912000,10911867,3,2
70201a640a,50,j0122,82,0,1004000,6402000,6402000,6401918,2,1
70201a640a,50,j0123,318,0,1010000,15572000,15572000,15571682,7,6
70201a640a,50,j0124,61,0,1012000,6408000,6408000,6407939,2,1
70201a640a,50,j0125,68,0,1016000,6424000,6424000,6423932,2,1
70201a640a,50,j0126,132,0,1022000,10926000,10926000,10925868,3,2
70201a640a,50,j0127,10,0,1036000,1038000,1038000,1037990,1,0
70201a640a,50,j0128,291,0,1040000,15324000,15324000,15323709,6,5
70201a640a,50,j0129,68,0,1046000,6440000,6440000,6439932,2,1
70201a640a,50,j0130,154,0,1054000,13654000,13654000,13653846,4,3
70201a640a,50,j0131,105,0,1068000,10948000,10948000,10947895,3,2
70201a640a,50,j0132,94,0,1072000,6448000,6448000,6447906,2,1
70201a640a,50,j0133,65,0,1072000,6462000,6462000,6461935,2,1
70201a640a,50,j0134,5,0,1086000,1086000,1086000,1085995,1,0
70201a640a,50,j0135,160,0,1098000,13660000,13660000,13659840,4,3
70201a640a,50,j0136,75,0,1104000,6472000,6472000,6471925,2,1
70201a640a,50,j0137,129,0,1100000,10962000,10962000,10961871,3,2
70201a640a,50,j0138,64,0,1120000,6484000,6484000,6483936,2,1
70201a640a,50,j0139,127,0,1130000,10966000,10966000,10965873,3,2
70201a640a,50,j0140,153,0,1136000,13664000,13664000,13663847,4,3
70201a640a,50,j0141,60,0,1132000,6502000,6502000,6501940,2,1
70201a640a,50,j0142,80,0,1146000,6504000,6504000,6503920,2,1
70201a640a,50,j0143,151,0,1154000,13664000,13664000,13663849,4,3
70201a640a,50,j0144,90,0,1160000,6522000,6522000,6521910,2,1
70201a640a,50,j0145,76,0,1162000,6526000,6526000,6525924,2,1
70201a640a,50,j0146,20,0,1170000,1172000,1172000,1171980,1,0
70201a640a,50,j0147,100,0,1180000,6524000,6524000,6523900,2,1
70201a640a,50,j0148,320,0,1180000,15572000,15572000,15571680,7,6
70201a640a,50,j0149,100,0,1188000,6540000,6540000,6539900,2,1
70201a640a,50,j0150,68,0,1200000,6546000,6546000,6545932,2,1
70201a640a,50,j0151,101,0,1202000,10984000,10984000,10983899,3,2
70201a640a,50,j0152,65,0,1204000,6550000,6550000,6549935,2,1
70201a640a,50,j0153,93,0,1206000,6558000,6558000,6557907,2,1
70201a640a,50,j0154,268,0,1216000,15332000,15332000,15331732,6,5
70201a640a,50,j0155,10,0,1226000,1226000,1226000,1225990,1,0
70201a640a,50,j0156,81,0,1228000,6574000,6574000,6573919,2,1
70201a640a,50,j0157,60,0,1228000,6578000,6578000,6577940,2,1
70201a640a,50,j0158,159,0,1240000,13676000,13676000,13675841,4,3
70201a640a,50,j0159,113,0,1246000,11016000,11016000,11015887,3,2
70201a640a,50,j0160,101,0,1250000,11008000,11008000,11007899,3,2
70201a640a,50,j0161,109,0,1252000,11006000,11006000,11005891,3,2
70201a640a,50,j0162,136,0,1256000,11026000,11026000,11025864,3,2
70201a640a,50,j0163,318,0,1268000,15584000,15584000,15583682,7,6
70201a640a,50,j0164,141,0,1272000,11046000,11046000,11045859,3,2
70201a640a,50,j0165,102,0,1276000,11050000,11050000,11049898,3,2
70201a640a,50,j0166,132,0,1278000,11040000,11040000,11039868,3,2
70201a640a,50,j0167,12,0,1292000,1292000,1292000,1291988,1,0
70201a640a,50,j0168,132,0,1296000,11064000,11064000,11063868,3,2
70201a640a,50,j0169,155,0,1302000,13692000,13692000,13691845,4,3
70201a640a,50,j0170,131,0,1304000,11074000,11074000,11073869,3,2
70201a640a,50,j0171,128,0,1308000,11082000,11082000,11081872,3,2
70201a640a,50,j0172,120,0,1316000,11088000,11088000,11087880,3,2
70201a640a,50,j0173,303,0,1320000,15588000,15588000,15587697,7,6
70201a640a,50,j0174,83,0,1322000,6676000,6676000,6675917,2,1
70201a640a,50,j0175,212,0,1330000,14784000,14784000,14783788,5,4
70201a640a,50,j0176,267,0,1336000,15340000,15340000,15339733,6,5
70201a640a,50,j0177,181,0,1342000,13710000,13710000,13709819,4,3
70201a640a,50,j0178,75,0,1344000,6702000,6702000,6701925,2,1
70201a640a,50,j0179,60,0,1350000,6700000,6700000,6699940,2,1
70201a640a,50,j0180,138,0,1358000,11122000,11122000,11121862,3,2
70201a640a,50,j0181,137,0,1364000,11124000,11124000,11123863,3,2
70201a640a,50,j0182,133,0,1366000,11126000,11126000,11125867,3,2
70201a640a,50,j0183,318,0,1364000,15590000,15590000,15589682,7,6
70201a640a,50,j0184,120,0,1378000,11144000,11144000,11143880,3,2
70201a640a,50,j0185,152,0,1384000,13714000,13714000,13713848,4,3
70201a640a,50,j0186,75,0,1388000,6752000,6752000,6751925,2,1
70201a640a,50,j0187,303,0,1388000,15592000,15592000,15591697,7,6
70201a640a,50,j0188,141,0,1402000,11162000,11162000,11161859,3,2
70201a640a,50,j0189,154,0,1406000,13728000,13728000,13727846,4,3
70201a640a,50,j0190,139,0,1412000,11172000,11172000,11171861,3,2
70201a640a,50,j0191,16,0,1414000,1414000,1414000,1413984,1,0
70201a640a,50,j0192,62,0,1422000,6770000,6770000,6769938,2,1
70201a640a,50,j0193,215,0,1424000,14800000,14800000,14799785,5,4
70201a640a,50,j0194,87,0,1428000,6786000,6786000,6785913,2,1
70201a640a,50,j0195,155,0,1434000,13734000,13734000,13733845,4,3
70201a640a,50,j0196,61,0,1440000,6796000,6796000,6795939,2,1
70201a640a,50,j0197,11,0,1444000,1446000,1446000,1445989,1,0
70201a640a,50,j0198,125,0,1448000,11190000,11190000,11189875,3,2
70201a640a,50,j0199,10,0,1458000,1458000,1458000,1457990,1,0
70201a640a,50,j0200,226,0,1462000,14802000,14802000,14801774,5,4
70201a640a,50,j0201,108,0,1466000,11198000,11198000,11197892,3,2
70201a640a,50,j0202,16,0,1470000,1470000,1470000,1469984,1,0
70201a640a,50,j0203,121,0,1478000,11216000,11216000,11215879,3,2
70201a640a,50,j0204,138,0,1482000,11216000,11216000,11215862,3,2
70201a640a,50,j0205,76,0,1484000,6830000,6830000,6829924,2,1
70201a640a,50,j0206,91,0,1492000,6840000,6840000,6839909,2,1
70201a640a,50,j0207,72,0,1500000,6852000,6852000,6851928,2,1
70201a640a,50,j0208,117,0,1502000,11222000,11222000,11221883,3,2
70201a640a,50,j0209,155,0,1506000,13746000,13746000,13745845,4,3
70201a640a,50,j0210,149,0,1512000,11240000,11240000,11239851,3,2
70201a640a,50,j0211,147,0,1522000,11248000,11248000,11247853,3,2
70201a640a,50,j0212,115,0,1526000,11242000,11242000,11241885,3,2
70201a640a,50,j0213,106,0,1530000,11246000,11246000,11245894,3,2
70201a640a,50,j0214,76,0,1528000,6890000,6890000,6889924,2,1
70201a640a,50,j0215,136,0,1542000,11266000,11266000,11265864,3,2
