run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
135267c06e,200,j0000,104,0,320000,320000,320000,319896,1,0
135267c06e,200,j0001,107,0,340000,340000,340000,339893,1,0
135267c06e,200,j0002,19,0,540000,540000,540000,539981,1,0
135267c06e,200,j0003,103,0,480000,480000,480000,479897,1,0
135267c06e,200,j0004,128,0,400000,400000,400000,399872,1,0
135267c06e,200,j0005,262,0,420000,49140000,49140000,49139738,2,1
135267c06e,200,j0006,68,0,560000,560000,560000,559932,1,0
135267c06e,200,j0007,157,0,780000,780000,780000,779843,1,0
135267c06e,200,j0008,308,0,820000,49260000,49260000,49259692,2,1
135267c06e,200,j0009,217,0,920000,49400000,49400000,49399783,2,1
135267c06e,200,j0010,7,0,1120000,1120000,1120000,1119993,1,0
135267c06e,200,j0011,116,0,1140000,1140000,1140000,1139884,1,0
135267c06e,200,j0012,6,0,1220000,1240000,1240000,1239994,1,0
135267c06e,200,j0013,157,0,1240000,1240000,1240000,1239843,1,0
135267c06e,200,j0014,142,0,1300000,1300000,1300000,1299858,1,0
135267c06e,200,j0015,223,0,1300000,49400000,49400000,49399777,2,1
135267c06e,200,j0016,87,0,1580000,1600000,1600000,1599913,1,0
135267c06e,200,j0017,148,0,1560000,1560000,1560000,1559852,1,0
135267c06e,200,j0018,133,0,1660000,1660000,1660000,1659867,1,0
135267c06e,200,j0019,87,0,1660000,1680000,1680000,1679913,1,0
135267c06e,200,j0020,249,0,1980000,49400000,49400000,49399751,2,1
135267c06e,200,j0021,14,0,2080000,2080000,2080000,2079986,1,0
135267c06e,200,j0022,210,0,2100000,49400000,49400000,49399790,2,1
135267c06e,200,j0023,117,0,2100000,2100000,2100000,2099883,1,0
135267c06e,200,j0024,125,0,2160000,2160000,2160000,2159875,1,0
135267c06e,200,j0025,155,0,2280000,2300000,2300000,2299845,1,0
135267c06e,200,j0026,82,0,2300000,2300000,2300000,2299918,1,0
135267c06e,200,j0027,99,0,2500000,2500000,2500000,2499901,1,0
135267c06e,200,j0028,107,0,2400000,2400000,2400000,2399893,1,0
135267c06e,200,j0029,73,0,2460000,2460000,2460000,2459927,1,0
135267c06e,200,j0030,66,0,2520000,2520000,2520000,2519934,1,0
135267c06e,200,j0031,83,0,2500000,2520000,2520000,2519917,1,0
135267c06e,200,j0032,85,0,2580000,2580000,2580000,2579915,1,0
135267c06e,200,j0033,100,0,2640000,2700000,2700000,2699900,1,0
135267c06e,200,j0034,152,0,2600000,2620000,2620000,2619848,1,0
135267c06e,200,j0035,12,0,2620000,2620000,2620000,2619988,1,0
135267c06e,200,j0036,68,0,2680000,2680000,2680000,2679932,1,0
135267c06e,200,j0037,109,0,2740000,2760000,2760000,2759891,1,0
135267c06e,200,j0038,123,0,2760000,2760000,2760000,2759877,1,0
135267c06e,200,j0039,10,0,2900000,2900000,2900000,2899990,1,0
135267c06e,200,j0040,82,0,3140000,3140000,3140000,3139918,1,0
135267c06e,200,j0041,6,0,3160000,3160000,3160000,3159994,1,0
135267c06e,200,j0042,96,0,3180000,3180000,3180000,3179904,1,0
135267c06e,200,j0043,127,0,3300000,3300000,3300000,3299873,1,0
135267c06e,200,j0044,160,0,3340000,3360000,3360000,3359840,1,0
135267c06e,200,j0045,267,0,3400000,49480000,49480000,49479733,2,1
135267c06e,200,j0046,147,0,3400000,3400000,3400000,3399853,1,0
135267c06e,200,j0047,89,0,3480000,3500000,3500000,3499911,1,0
135267c06e,200,j0048,72,0,3560000,3580000,3580000,3579928,1,0
135267c06e,200,j0049,64,0,3580000,3580000,3580000,3579936,1,0
135267c06e,200,j0050,274,0,3760000,49520000,49520000,49519726,2,1
135267c06e,200,j0051,93,0,3860000,3860000,3860000,3859907,1,0
135267c06e,200,j0052,104,0,3880000,3880000,3880000,3879896,1,0
135267c06e,200,j0053,91,0,3980000,3980000,3980000,3979909,1,0
135267c06e,200,j0054,20,0,4080000,4100000,4100000,4099980,1,0
135267c06e,200,j0055,81,0,4100000,4100000,4100000,4099919,1,0
135267c06e,200,j0056,68,0,4180000,4200000,4200000,4199932,1,0
135267c06e,200,j0057,80,0,4200000,4200000,4200000,4199920,1,0
135267c06e,200,j0058,99,0,4260000,4260000,4260000,4259901,1,0
135267c06e,200,j0059,9,0,4200000,4220000,4220000,4219991,1,0
135267c06e,200,j0060,92,0,4260000,4260000,4260000,4259908,1,0
135267c06e,200,j0061,207,0,4380000,49560000,49560000,49559793,2,1
135267c06e,200,j0062,10,0,4360000,4360000,4360000,4359990,1,0
135267c06e,200,j0063,123,0,4480000,4480000,4480000,4479877,1,0
135267c06e,200,j0064,97,0,4460000,4460000,4460000,4459903,1,0
135267c06e,200,j0065,114,0,4560000,4580000,4580000,4579886,1,0
135267c06e,200,j0066,65,0,4620000,4660000,4660000,4659935,1,0
135267c06e,200,j0067,290,0,4600000,49640000,49640000,49639710,2,1
135267c06e,200,j0068,71,0,4620000,4620000,4620000,4619929,1,0
135267c06e,200,j0069,301,0,4600000,49600000,49600000,49599699,2,1
135267c06e,200,j0070,280,0,4820000,49700000,49700000,49699720,2,1
135267c06e,200,j0071,153,0,5020000,5020000,5020000,5019847,1,0
135267c06e,200,j0072,153,0,4940000,4960000,4960000,4959847,1,0
135267c06e,200,j0073,108,0,5000000,5000000,5000000,4999892,1,0
135267c06e,200,j0074,106,0,5080000,5080000,5080000,5079894,1,0
135267c06e,200,j0075,138,0,5260000,5260000,5260000,5259862,1,0
135267c06e,200,j0076,104,0,5300000,5300000,5300000,5299896,1,0
135267c06e,200,j0077,125,0,5300000,5320000,5320000,5319875,1,0
135267c06e,200,j0078,7,0,5400000,5420000,5420000,5419993,1,0
135267c06e,200,j0079,131,0,5460000,5460000,5460000,5459869,1,0
135267c06e,200,j0080,215,0,5520000,49680000,49680000,49679785,2,1
135267c06e,200,j0081,106,0,5460000,5460000,5460000,5459894,1,0
135267c06e,200,j0082,255,0,5540000,49800000,49800000,49799745,2,1
135267c06e,200,j0083,221,0,5560000,49780000,49780000,49779779,2,1
135267c06e,200,j0084,16,0,5740000,5740000,5740000,5739984,1,0
135267c06e,200,j0085,132,0,5760000,5760000,5760000,5759868,1,0
135267c06e,200,j0086,272,0,5900000,49800000,49800000,49799728,2,1
135267c06e,200,j0087,126,0,5880000,5880000,5880000,5879874,1,0
135267c06e,200,j0088,66,0,5900000,5900000,5900000,5899934,1,0
135267c06e,200,j0089,126,0,5940000,5940000,5940000,5939874,1,0
135267c06e,200,j0090,124,0,5980000,5980000,5980000,5979876,1,0
135267c06e,200,j0091,277,0,5980000,49920000,49920000,49919723,2,1
135267c06e,200,j0092,290,0,6000000,49800000,49800000,49799710,2,1
135267c06e,200,j0093,151,0,6020000,6020000,6020000,6019849,1,0
135267c06e,200,j0094,104,0,6020000,6020000,6020000,6019896,1,0
135267c06e,200,j0095,94,0,6080000,6080000,6080000,6079906,1,0
135267c06e,200,j0096,120,0,6140000,6140000,6140000,6139880,1,0
135267c06e,200,j0097,83,0,6180000,6200000,6200000,6199917,1,0
135267c06e,200,j0098,96,0,6200000,6200000,6200000,6199904,1,0
135267c06e,200,j0099,131,0,6180000,6180000,6180000,6179869,1,0
135267c06e,200,j0100,117,0,6300000,6300000,6300000,6299883,1,0
135267c06e,200,j0101,20,0,6300000,6300000,6300000,6299980,1,0
135267c06e,200,j0102,9,0,6380000,6380000,6380000,6379991,1,0
135267c06e,200,j0103,117,0,6600000,6620000,6620000,6619883,1,0
135267c06e,200,j0104,62,0,6660000,6660000,6660000,6659938,1,0
135267c06e,200,j0105,6,0,6660000,6680000,6680000,6679994,1,0
135267c06e,200,j0106,70,0,6860000,6880000,6880000,6879930,1,0
135267c06e,200,j0107,13,0,6780000,6780000,6780000,6779987,1,0
135267c06e,200,j0108,63,0,6820000,6820000,6820000,6819937,1,0
135267c06e,200,j0109,111,0,6920000,6940000,6940000,6939889,1,0
135267c06e,200,j0110,229,0,6980000,50040000,50040000,50039771,2,1
135267c06e,200,j0111,238,0,7000000,50140000,50140000,50139762,2,1
135267c06e,200,j0112,113,0,7020000,7040000,7040000,7039887,1,0
135267c06e,200,j0113,110,0,7180000,7200000,7200000,7199890,1,0
135267c06e,200,j0114,307,0,7220000,50240000,50240000,50239693,2,1
135267c06e,200,j0115,128,0,7200000,7200000,7200000,7199872,1,0
135267c06e,200,j0116,86,0,7360000,7360000,7360000,7359914,1,0
135267c06e,200,j0117,73,0,7380000,7380000,7380000,7379927,1,0
135267c06e,200,j0118,300,0,7500000,50260000,50260000,50259700,2,1
135267c06e,200,j0119,304,0,7520000,50260000,50260000,50259696,2,1
