run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
a264f40649,20,j0000,397,0,2720000,132200000,132200000,132199603,20,19
a264f40649,20,j0001,48,0,2740000,52360000,52360000,52359952,3,2
a264f40649,20,j0002,14,0,2740000,2740000,2740000,2739986,1,0
a264f40649,20,j0003,9,0,2780000,2780000,2780000,2779991,1,0
a264f40649,20,j0004,257,0,2780000,107940000,107940000,107939743,13,12
a264f40649,20,j0005,12,0,2840000,2840000,2840000,2839988,1,0
a264f40649,20,j0006,15,0,2960000,2960000,2960000,2959985,1,0
a264f40649,20,j0007,13,0,2960000,2960000,2960000,2959987,1,0
a264f40649,20,j0008,15,0,3000000,3020000,3020000,3019985,1,0
a264f40649,20,j0009,15,0,3020000,3020000,3020000,3019985,1,0
a264f40649,20,j0010,13,0,3100000,3100000,3100000,3099987,1,0
a264f40649,20,j0011,2,0,3100000,3120000,3120000,3119998,1,0
a264f40649,20,j0012,2,0,3180000,3180000,3180000,3179998,1,0
a264f40649,20,j0013,6,0,3180000,3180000,3180000,3179994,1,0
a264f40649,20,j0014,45,0,3260000,52360000,52360000,52359955,3,2
a264f40649,20,j0015,75,0,3260000,64720000,64720000,64719925,4,3
a264f40649,20,j0016,7,0,3320000,3320000,3320000,3319993,1,0
a264f40649,20,j0017,3,0,3320000,3320000,3320000,3319997,1,0
a264f40649,20,j0018,55,0,3340000,52500000,52500000,52499945,3,2
a264f40649,20,j0019,5,0,3380000,3400000,3400000,3399995,1,0
a264f40649,20,j0020,13,0,3380000,3400000,3400000,3399987,1,0
a264f40649,20,j0021,4,0,3420000,3420000,3420000,3419996,1,0
a264f40649,20,j0022,2,0,3480000,3480000,3480000,3479998,1,0
a264f40649,20,j0023,41,0,3500000,52380000,52380000,52379959,3,2
a264f40649,20,j0024,6,0,3500000,3500000,3500000,3499994,1,0
a264f40649,20,j0025,42,0,3540000,52520000,52520000,52519958,3,2
a264f40649,20,j0026,11,0,3540000,3540000,3540000,3539989,1,0
a264f40649,20,j0027,6,0,3580000,3580000,3580000,3579994,1,0
a264f40649,20,j0028,9,0,3560000,3560000,3560000,3559991,1,0
a264f40649,20,j0029,8,0,3580000,3580000,3580000,3579992,1,0
a264f40649,20,j0030,12,0,3580000,3580000,3580000,3579988,1,0
a264f40649,20,j0031,13,0,3600000,3620000,3620000,3619987,1,0
a264f40649,20,j0032,12,0,3620000,3640000,3640000,3639988,1,0
a264f40649,20,j0033,3,0,3640000,3640000,3640000,3639997,1,0
a264f40649,20,j0034,13,0,3680000,3680000,3680000,3679987,1,0
a264f40649,20,j0035,13,0,3660000,3660000,3660000,3659987,1,0
a264f40649,20,j0036,15,0,3680000,3700000,3700000,3699985,1,0
a264f40649,20,j0037,4,0,3740000,3740000,3740000,3739996,1,0
a264f40649,20,j0038,4,0,3880000,3880000,3880000,3879996,1,0
a264f40649,20,j0039,14,0,3880000,3880000,3880000,3879986,1,0
a264f40649,20,j0040,8,0,4000000,4000000,4000000,3999992,1,0
a264f40649,20,j0041,3,0,4080000,4080000,4080000,4079997,1,0
a264f40649,20,j0042,6,0,4100000,4100000,4100000,4099994,1,0
a264f40649,20,j0043,77,0,4140000,64600000,64600000,64599923,4,3
a264f40649,20,j0044,13,0,4140000,4140000,4140000,4139987,1,0
a264f40649,20,j0045,4,0,4180000,4180000,4180000,4179996,1,0
a264f40649,20,j0046,4,0,4220000,4220000,4220000,4219996,1,0
a264f40649,20,j0047,9,0,4280000,4280000,4280000,4279991,1,0
a264f40649,20,j0048,5,0,4300000,4300000,4300000,4299995,1,0
a264f40649,20,j0049,9,0,4360000,4360000,4360000,4359991,1,0
a264f40649,20,j0050,11,0,4380000,4380000,4380000,4379989,1,0
a264f40649,20,j0051,9,0,4460000,4460000,4460000,4459991,1,0
a264f40649,20,j0052,225,0,4480000,103460000,103460000,103459775,12,11
a264f40649,20,j0053,9,0,4520000,4520000,4520000,4519991,1,0
a264f40649,20,j0054,9,0,4560000,4560000,4560000,4559991,1,0
a264f40649,20,j0055,6,0,4600000,4600000,4600000,4599994,1,0
a264f40649,20,j0056,2,0,4600000,4620000,4620000,4619998,1,0
a264f40649,20,j0057,15,0,4620000,4620000,4620000,4619985,1,0
a264f40649,20,j0058,69,0,4600000,64560000,64560000,64559931,4,3
a264f40649,20,j0059,13,0,4620000,4620000,4620000,4619987,1,0
a264f40649,20,j0060,7,0,4640000,4640000,4640000,4639993,1,0
a264f40649,20,j0061,42,0,4640000,52600000,52600000,52599958,3,2
a264f40649,20,j0062,5,0,4640000,4640000,4640000,4639995,1,0
a264f40649,20,j0063,7,0,4700000,4700000,4700000,4699993,1,0
a264f40649,20,j0064,10,0,4660000,4680000,4680000,4679990,1,0
a264f40649,20,j0065,2,0,4740000,4740000,4740000,4739998,1,0
a264f40649,20,j0066,11,0,4740000,4740000,4740000,4739989,1,0
a264f40649,20,j0067,14,0,4800000,4800000,4800000,4799986,1,0
a264f40649,20,j0068,6,0,4820000,4820000,4820000,4819994,1,0
a264f40649,20,j0069,11,0,4860000,4860000,4860000,4859989,1,0
a264f40649,20,j0070,187,0,4880000,92920000,92920000,92919813,10,9
a264f40649,20,j0071,6,0,5780000,5780000,5780000,5779994,1,0
a264f40649,20,j0072,391,0,5860000,133000000,133000000,132999609,20,19
a264f40649,20,j0073,7,0,5880000,5880000,5880000,5879993,1,0
a264f40649,20,j0074,252,0,5940000,108280000,108280000,108279748,13,12
a264f40649,20,j0075,27,0,5960000,40260000,40260000,40259973,2,1
a264f40649,20,j0076,11,0,5980000,5980000,5980000,5979989,1,0
a264f40649,20,j0077,45,0,6000000,52920000,52920000,52919955,3,2
a264f40649,20,j0078,7,0,6020000,6040000,6040000,6039993,1,0
a264f40649,20,j0079,11,0,6060000,6060000,6060000,6059989,1,0
