run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
b5491648a5,1,j0000,104,0,3340000,3035940000,3035940000,3035939896,104,103
b5491648a5,1,j0001,107,0,3380000,3094500000,3094500000,3094499893,107,106
b5491648a5,1,j0002,19,0,3400000,637760000,637760000,637759981,19,18
b5491648a5,1,j0003,103,0,3460000,3019040000,3019040000,3019039897,103,102
b5491648a5,1,j0004,128,0,3440000,3456840000,3456840000,3456839872,128,127
b5491648a5,1,j0005,262,0,3480000,4245460000,4245460000,4245459738,262,261
b5491648a5,1,j0006,68,0,3500000,2231260000,2231260000,2231259932,68,67
b5491648a5,1,j0007,157,0,3580000,3807380000,3807380000,3807379843,157,156
b5491648a5,1,j0008,308,0,3580000,4305200000,4305200000,4305199692,308,307
b5491648a5,1,j0009,217,0,3620000,4150220000,4150220000,4150219783,217,216
b5491648a5,1,j0010,7,0,3720000,192720000,192720000,192719993,7,6
b5491648a5,1,j0011,116,0,3760000,3252460000,3252460000,3252459884,116,115
b5491648a5,1,j0012,6,0,3800000,153140000,153140000,153139994,6,5
b5491648a5,1,j0013,157,0,3880000,3806960000,3806960000,3806959843,157,156
b5491648a5,1,j0014,142,0,3900000,3669520000,3669520000,3669519858,142,141
b5491648a5,1,j0015,223,0,3920000,4132420000,4132420000,4132419777,223,222
b5491648a5,1,j0016,87,0,3960000,2749520000,2749520000,2749519913,87,86
b5491648a5,1,j0017,148,0,3960000,3733100000,3733100000,3733099852,148,147
b5491648a5,1,j0018,133,0,3980000,3546800000,3546800000,3546799867,133,132
b5491648a5,1,j0019,87,0,4020000,2749840000,2749840000,2749839913,87,86
b5491648a5,1,j0020,249,0,4040000,4215300000,4215300000,4215299751,249,248
b5491648a5,1,j0021,14,0,4120000,449440000,449440000,449439986,14,13
b5491648a5,1,j0022,210,0,4140000,4120220000,4120220000,4120219790,210,209
b5491648a5,1,j0023,117,0,4160000,3270960000,3270960000,3270959883,117,116
b5491648a5,1,j0024,125,0,4160000,3412720000,3412720000,3412719875,125,124
b5491648a5,1,j0025,155,0,4160000,3793520000,3793520000,3793519845,155,154
b5491648a5,1,j0026,82,0,4160000,2625040000,2625040000,2625039918,82,81
b5491648a5,1,j0027,99,0,4220000,3012940000,3012940000,3012939901,99,98
b5491648a5,1,j0028,107,0,4300000,3095700000,3095700000,3095699893,107,106
b5491648a5,1,j0029,73,0,4320000,2378560000,2378560000,2378559927,73,72
b5491648a5,1,j0030,66,0,4320000,2163960000,2163960000,2163959934,66,65
b5491648a5,1,j0031,83,0,4340000,2649920000,2649920000,2649919917,83,82
b5491648a5,1,j0032,85,0,4420000,2700240000,2700240000,2700239915,85,84
b5491648a5,1,j0033,100,0,4440000,3033580000,3033580000,3033579900,100,99
b5491648a5,1,j0034,152,0,4540000,3769240000,3769240000,3769239848,152,151
b5491648a5,1,j0035,12,0,4520000,376700000,376700000,376699988,12,11
b5491648a5,1,j0036,68,0,4560000,2231320000,2231320000,2231319932,68,67
b5491648a5,1,j0037,109,0,4580000,3132660000,3132660000,3132659891,109,108
b5491648a5,1,j0038,123,0,4620000,3378220000,3378220000,3378219877,123,122
b5491648a5,1,j0039,10,0,4640000,304260000,304260000,304259990,10,9
b5491648a5,1,j0040,82,0,4700000,2624380000,2624380000,2624379918,82,81
b5491648a5,1,j0041,6,0,4760000,153920000,153920000,153919994,6,5
b5491648a5,1,j0042,96,0,4940000,2951160000,2951160000,2951159904,96,95
b5491648a5,1,j0043,127,0,4960000,3441460000,3441460000,3441459873,127,126
b5491648a5,1,j0044,160,0,5160000,3827920000,3827920000,3827919840,160,159
b5491648a5,1,j0045,267,0,5240000,4254520000,4254520000,4254519733,267,266
b5491648a5,1,j0046,147,0,5260000,3723160000,3723160000,3723159853,147,146
b5491648a5,1,j0047,89,0,5280000,2801260000,2801260000,2801259911,89,88
b5491648a5,1,j0048,72,0,5280000,2352040000,2352040000,2352039928,72,71
b5491648a5,1,j0049,64,0,5280000,2097680000,2097680000,2097679936,64,63
b5491648a5,1,j0050,274,0,5280000,4265200000,4265200000,4265199726,274,273
b5491648a5,1,j0051,93,0,5300000,2888520000,2888520000,2888519907,93,92
b5491648a5,1,j0052,104,0,5380000,3037840000,3037840000,3037839896,104,103
b5491648a5,1,j0053,91,0,5360000,2845200000,2845200000,2845199909,91,90
b5491648a5,1,j0054,20,0,5380000,673720000,673720000,673719980,20,19
b5491648a5,1,j0055,81,0,5420000,2596540000,2596540000,2596539919,81,80
b5491648a5,1,j0056,68,0,5420000,2232080000,2232080000,2232079932,68,67
b5491648a5,1,j0057,80,0,5420000,2566880000,2566880000,2566879920,80,79
b5491648a5,1,j0058,99,0,5460000,3013660000,3013660000,3013659901,99,98
b5491648a5,1,j0059,9,0,5500000,268420000,268420000,268419991,9,8
b5491648a5,1,j0060,92,0,5520000,2866180000,2866180000,2866179908,92,91
b5491648a5,1,j0061,207,0,5520000,4104520000,4104520000,4104519793,207,206
b5491648a5,1,j0062,10,0,5620000,305340000,305340000,305339990,10,9
b5491648a5,1,j0063,123,0,5640000,3379220000,3379220000,3379219877,123,122
b5491648a5,1,j0064,97,0,5660000,2971720000,2971720000,2971719903,97,96
b5491648a5,1,j0065,114,0,5720000,3217220000,3217220000,3217219886,114,113
b5491648a5,1,j0066,65,0,5780000,2130780000,2130780000,2130779935,65,64
b5491648a5,1,j0067,290,0,5820000,4287220000,4287220000,4287219710,290,289
b5491648a5,1,j0068,71,0,5820000,2321160000,2321160000,2321159929,71,70
b5491648a5,1,j0069,301,0,5840000,4299700000,4299700000,4299699699,301,300
b5491648a5,1,j0070,280,0,5900000,4274920000,4274920000,4274919720,280,279
b5491648a5,1,j0071,153,0,5960000,3778420000,3778420000,3778419847,153,152
b5491648a5,1,j0072,153,0,6000000,3778400000,3778400000,3778399847,153,152
b5491648a5,1,j0073,108,0,6100000,3114420000,3114420000,3114419892,108,107
b5491648a5,1,j0074,106,0,6160000,3076480000,3076480000,3076479894,106,105
b5491648a5,1,j0075,138,0,6120000,3619580000,3619580000,3619579862,138,137
b5491648a5,1,j0076,104,0,6420000,3038200000,3038200000,3038199896,104,103
b5491648a5,1,j0077,125,0,6440000,3412520000,3412520000,3412519875,125,124
b5491648a5,1,j0078,7,0,6460000,194980000,194980000,194979993,7,6
b5491648a5,1,j0079,131,0,6460000,3515220000,3515220000,3515219869,131,130
b5491648a5,1,j0080,215,0,6520000,4143340000,4143340000,4143339785,215,214
b5491648a5,1,j0081,106,0,6540000,3076880000,3076880000,3076879894,106,105
b5491648a5,1,j0082,255,0,6520000,4228520000,4228520000,4228519745,255,254
b5491648a5,1,j0083,221,0,6540000,4168080000,4168080000,4168079779,221,220
b5491648a5,1,j0084,16,0,6660000,533080000,533080000,533079984,16,15
b5491648a5,1,j0085,132,0,6620000,3533160000,3533160000,3533159868,132,131
b5491648a5,1,j0086,272,0,6640000,4262800000,4262800000,4262799728,272,271
b5491648a5,1,j0087,126,0,6720000,3427800000,3427800000,3427799874,126,125
b5491648a5,1,j0088,66,0,6720000,2167260000,2167260000,2167259934,66,65
b5491648a5,1,j0089,126,0,6740000,3427920000,3427920000,3427919874,126,125
b5491648a5,1,j0090,124,0,6800000,3395500000,3395500000,3395499876,124,123
b5491648a5,1,j0091,277,0,6760000,4271820000,4271820000,4271819723,277,276
b5491648a5,1,j0092,290,0,6780000,4287600000,4287600000,4287599710,290,289
b5491648a5,1,j0093,151,0,6860000,3762180000,3762180000,3762179849,151,150
b5491648a5,1,j0094,104,0,6880000,3038760000,3038760000,3038759896,104,103
b5491648a5,1,j0095,94,0,6960000,2910060000,2910060000,2910059906,94,93
b5491648a5,1,j0096,120,0,7060000,3324460000,3324460000,3324459880,120,119
b5491648a5,1,j0097,83,0,7140000,2653080000,2653080000,2653079917,83,82
b5491648a5,1,j0098,96,0,7160000,2951620000,2951620000,2951619904,96,95
b5491648a5,1,j0099,131,0,7220000,3513800000,3513800000,3513799869,131,130
b5491648a5,1,j0100,117,0,7200000,3272100000,3272100000,3272099883,117,116
b5491648a5,1,j0101,20,0,7200000,674460000,674460000,674459980,20,19
b5491648a5,1,j0102,9,0,7340000,269720000,269720000,269719991,9,8
b5491648a5,1,j0103,117,0,7360000,3271400000,3271400000,3271399883,117,116
