run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
cd863ba337,500,j0000,104,0,220000,220000,220000,219896,1,0
cd863ba337,500,j0001,107,0,220000,240000,240000,239893,1,0
cd863ba337,500,j0002,19,0,240000,260000,260000,259981,1,0
cd863ba337,500,j0003,103,0,260000,260000,260000,259897,1,0
cd863ba337,500,j0004,128,0,240000,260000,260000,259872,1,0
cd863ba337,500,j0005,262,0,420000,440000,440000,439738,1,0
cd863ba337,500,j0006,68,0,420000,440000,440000,439932,1,0
cd863ba337,500,j0007,157,0,460000,460000,460000,459843,1,0
cd863ba337,500,j0008,308,0,520000,520000,520000,519692,1,0
cd863ba337,500,j0009,217,0,580000,580000,580000,579783,1,0
cd863ba337,500,j0010,7,0,580000,600000,600000,599993,1,0
cd863ba337,500,j0011,116,0,540000,540000,540000,539884,1,0
cd863ba337,500,j0012,6,0,780000,780000,780000,779994,1,0
cd863ba337,500,j0013,157,0,800000,800000,800000,799843,1,0
cd863ba337,500,j0014,142,0,840000,840000,840000,839858,1,0
cd863ba337,500,j0015,223,0,820000,820000,820000,819777,1,0
cd863ba337,500,j0016,87,0,880000,880000,880000,879913,1,0
cd863ba337,500,j0017,148,0,940000,940000,940000,939852,1,0
cd863ba337,500,j0018,133,0,960000,960000,960000,959867,1,0
cd863ba337,500,j0019,87,0,1160000,1180000,1180000,1179913,1,0
cd863ba337,500,j0020,249,0,1200000,1220000,1220000,1219751,1,0
cd863ba337,500,j0021,14,0,1280000,1280000,1280000,1279986,1,0
cd863ba337,500,j0022,210,0,1340000,1340000,1340000,1339790,1,0
cd863ba337,500,j0023,117,0,1320000,1320000,1320000,1319883,1,0
cd863ba337,500,j0024,125,0,1380000,1400000,1400000,1399875,1,0
cd863ba337,500,j0025,155,0,1440000,1440000,1440000,1439845,1,0
cd863ba337,500,j0026,82,0,1440000,1440000,1440000,1439918,1,0
cd863ba337,500,j0027,99,0,1520000,1520000,1520000,1519901,1,0
cd863ba337,500,j0028,107,0,1500000,1500000,1500000,1499893,1,0
cd863ba337,500,j0029,73,0,1500000,1520000,1520000,1519927,1,0
