run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
d518265761,20,j0000,104,0,1320000,165700000,165700000,165699896,6,5
d518265761,20,j0001,107,0,1380000,165800000,165800000,165799893,6,5
d518265761,20,j0002,19,0,1440000,1440000,1440000,1439981,1,0
d518265761,20,j0003,103,0,1500000,165760000,165760000,165759897,6,5
d518265761,20,j0004,128,0,1500000,187000000,187000000,186999872,7,6
d518265761,20,j0005,262,0,1560000,239200000,239200000,239199738,14,13
d518265761,20,j0006,68,0,1580000,105000000,105000000,104999932,4,3
d518265761,20,j0007,157,0,1680000,204760000,204760000,204759843,8,7
d518265761,20,j0008,308,0,1720000,243380000,243380000,243379692,16,15
d518265761,20,j0009,217,0,1720000,227860000,227860000,227859783,11,10
d518265761,20,j0010,7,0,1800000,1800000,1800000,1799993,1,0
d518265761,20,j0011,116,0,1820000,165840000,165840000,165839884,6,5
d518265761,20,j0012,6,0,1880000,1880000,1880000,1879994,1,0
d518265761,20,j0013,157,0,1940000,204540000,204540000,204539843,8,7
d518265761,20,j0014,142,0,1980000,204760000,204760000,204759858,8,7
d518265761,20,j0015,223,0,2040000,233140000,233140000,233139777,12,11
d518265761,20,j0016,87,0,2040000,138740000,138740000,138739913,5,4
d518265761,20,j0017,148,0,2080000,204920000,204920000,204919852,8,7
d518265761,20,j0018,133,0,2180000,187440000,187440000,187439867,7,6
d518265761,20,j0019,87,0,2100000,138640000,138640000,138639913,5,4
d518265761,20,j0020,249,0,2160000,236600000,236600000,236599751,13,12
d518265761,20,j0021,14,0,2180000,2200000,2200000,2199986,1,0
d518265761,20,j0022,210,0,2200000,227980000,227980000,227979790,11,10
d518265761,20,j0023,117,0,2300000,165980000,165980000,165979883,6,5
d518265761,20,j0024,125,0,2340000,187580000,187580000,187579875,7,6
d518265761,20,j0025,155,0,2340000,204840000,204840000,204839845,8,7
d518265761,20,j0026,82,0,2400000,138800000,138800000,138799918,5,4
d518265761,20,j0027,99,0,2420000,139020000,139020000,139019901,5,4
d518265761,20,j0028,107,0,2440000,166140000,166140000,166139893,6,5
d518265761,20,j0029,73,0,2460000,105760000,105760000,105759927,4,3
d518265761,20,j0030,66,0,2520000,105840000,105840000,105839934,4,3
d518265761,20,j0031,83,0,2520000,139120000,139120000,139119917,5,4
d518265761,20,j0032,85,0,2580000,138800000,138800000,138799915,5,4
d518265761,20,j0033,100,0,2580000,139200000,139200000,139199900,5,4
d518265761,20,j0034,152,0,2740000,204880000,204880000,204879848,8,7
d518265761,20,j0035,12,0,2660000,2660000,2660000,2659988,1,0
d518265761,20,j0036,68,0,2680000,105820000,105820000,105819932,4,3
d518265761,20,j0037,109,0,2760000,166200000,166200000,166199891,6,5
d518265761,20,j0038,123,0,2760000,187740000,187740000,187739877,7,6
d518265761,20,j0039,10,0,2780000,2800000,2800000,2799990,1,0
d518265761,20,j0040,82,0,2800000,139220000,139220000,139219918,5,4
d518265761,20,j0041,6,0,2860000,2860000,2860000,2859994,1,0
d518265761,20,j0042,96,0,2860000,139280000,139280000,139279904,5,4
d518265761,20,j0043,127,0,2900000,188000000,188000000,187999873,7,6
d518265761,20,j0044,160,0,3100000,205080000,205080000,205079840,8,7
d518265761,20,j0045,267,0,3140000,239160000,239160000,239159733,14,13
d518265761,20,j0046,147,0,3220000,205060000,205060000,205059853,8,7
d518265761,20,j0047,89,0,3220000,139400000,139400000,139399911,5,4
d518265761,20,j0048,72,0,3320000,107420000,107420000,107419928,4,3
d518265761,20,j0049,64,0,3340000,106300000,106300000,106299936,4,3
d518265761,20,j0050,274,0,3420000,239200000,239200000,239199726,14,13
d518265761,20,j0051,93,0,3440000,139560000,139560000,139559907,5,4
d518265761,20,j0052,104,0,3520000,166540000,166540000,166539896,6,5
d518265761,20,j0053,91,0,3600000,139720000,139720000,139719909,5,4
d518265761,20,j0054,20,0,3560000,3560000,3560000,3559980,1,0
d518265761,20,j0055,81,0,3580000,139760000,139760000,139759919,5,4
d518265761,20,j0056,68,0,3660000,107560000,107560000,107559932,4,3
d518265761,20,j0057,80,0,3660000,107520000,107520000,107519920,4,3
d518265761,20,j0058,99,0,3660000,139700000,139700000,139699901,5,4
d518265761,20,j0059,9,0,3700000,3700000,3700000,3699991,1,0
d518265761,20,j0060,92,0,3700000,139800000,139800000,139799908,5,4
d518265761,20,j0061,207,0,3700000,228220000,228220000,228219793,11,10
d518265761,20,j0062,10,0,3740000,3740000,3740000,3739990,1,0
d518265761,20,j0063,123,0,3720000,188100000,188100000,188099877,7,6
d518265761,20,j0064,97,0,3820000,139880000,139880000,139879903,5,4
d518265761,20,j0065,114,0,3800000,166800000,166800000,166799886,6,5
d518265761,20,j0066,65,0,3800000,107700000,107700000,107699935,4,3
d518265761,20,j0067,290,0,3840000,242180000,242180000,242179710,15,14
d518265761,20,j0068,71,0,3900000,107920000,107920000,107919929,4,3
d518265761,20,j0069,301,0,4020000,243480000,243480000,243479699,16,15
d518265761,20,j0070,280,0,4060000,239200000,239200000,239199720,14,13
d518265761,20,j0071,153,0,4060000,205280000,205280000,205279847,8,7
d518265761,20,j0072,153,0,4100000,205340000,205340000,205339847,8,7
d518265761,20,j0073,108,0,4200000,167060000,167060000,167059892,6,5
d518265761,20,j0074,106,0,4180000,167080000,167080000,167079894,6,5
d518265761,20,j0075,138,0,4220000,188640000,188640000,188639862,7,6
d518265761,20,j0076,104,0,4520000,166920000,166920000,166919896,6,5
d518265761,20,j0077,125,0,4500000,188140000,188140000,188139875,7,6
d518265761,20,j0078,7,0,4520000,4520000,4520000,4519993,1,0
d518265761,20,j0079,131,0,4620000,188240000,188240000,188239869,7,6
d518265761,20,j0080,215,0,4700000,228260000,228260000,228259785,11,10
d518265761,20,j0081,106,0,4780000,167120000,167120000,167119894,6,5
d518265761,20,j0082,255,0,4800000,236660000,236660000,236659745,13,12
d518265761,20,j0083,221,0,4980000,233160000,233160000,233159779,12,11
d518265761,20,j0084,16,0,5120000,5120000,5120000,5119984,1,0
d518265761,20,j0085,132,0,5140000,188240000,188240000,188239868,7,6
d518265761,20,j0086,272,0,5200000,240300000,240300000,240299728,14,13
d518265761,20,j0087,126,0,5220000,188660000,188660000,188659874,7,6
d518265761,20,j0088,66,0,5260000,108440000,108440000,108439934,4,3
d518265761,20,j0089,126,0,5420000,188760000,188760000,188759874,7,6
d518265761,20,j0090,124,0,5320000,188280000,188280000,188279876,7,6
d518265761,20,j0091,277,0,5320000,240300000,240300000,240299723,14,13
d518265761,20,j0092,290,0,5340000,242100000,242100000,242099710,15,14
d518265761,20,j0093,151,0,5420000,205660000,205660000,205659849,8,7
d518265761,20,j0094,104,0,5380000,167360000,167360000,167359896,6,5
d518265761,20,j0095,94,0,5480000,140820000,140820000,140819906,5,4
d518265761,20,j0096,120,0,5640000,167540000,167540000,167539880,6,5
d518265761,20,j0097,83,0,5620000,140940000,140940000,140939917,5,4
d518265761,20,j0098,96,0,5660000,141020000,141020000,141019904,5,4
d518265761,20,j0099,131,0,5680000,188700000,188700000,188699869,7,6
d518265761,20,j0100,117,0,5700000,167560000,167560000,167559883,6,5
d518265761,20,j0101,20,0,5760000,5780000,5780000,5779980,1,0
d518265761,20,j0102,9,0,5760000,5760000,5760000,5759991,1,0
d518265761,20,j0103,117,0,5800000,167820000,167820000,167819883,6,5
d518265761,20,j0104,62,0,5900000,109000000,109000000,108999938,4,3
d518265761,20,j0105,6,0,6020000,6040000,6040000,6039994,1,0
d518265761,20,j0106,70,0,6060000,109040000,109040000,109039930,4,3
d518265761,20,j0107,13,0,6200000,6200000,6200000,6199987,1,0
d518265761,20,j0108,63,0,6240000,109360000,109360000,109359937,4,3
d518265761,20,j0109,111,0,6280000,168060000,168060000,168059889,6,5
d518265761,20,j0110,229,0,6260000,233200000,233200000,233199771,12,11
d518265761,20,j0111,238,0,6280000,233100000,233100000,233099762,12,11
d518265761,20,j0112,113,0,6360000,167880000,167880000,167879887,6,5
d518265761,20,j0113,110,0,6380000,167960000,167960000,167959890,6,5
d518265761,20,j0114,307,0,6460000,243540000,243540000,243539693,16,15
d518265761,20,j0115,128,0,6540000,188800000,188800000,188799872,7,6
d518265761,20,j0116,86,0,6580000,141260000,141260000,141259914,5,4
d518265761,20,j0117,73,0,6620000,109540000,109540000,109539927,4,3
d518265761,20,j0118,300,0,6620000,242240000,242240000,242239700,15,14
d518265761,20,j0119,304,0,6680000,243400000,243400000,243399696,16,15
d518265761,20,j0120,89,0,6720000,141720000,141720000,141719911,5,4
d518265761,20,j0121,133,0,6700000,188800000,188800000,188799867,7,6
d518265761,20,j0122,82,0,6700000,141560000,141560000,141559918,5,4
d518265761,20,j0123,318,0,6840000,243380000,243380000,243379682,16,15
