run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
e7163653b8,500,j0000,792,0,80000,51320000,51320000,51319208,2,1
e7163653b8,500,j0001,748,0,220000,51340000,51340000,51339252,2,1
e7163653b8,500,j0002,448,0,300000,320000,320000,319552,1,0
e7163653b8,500,j0003,749,0,360000,51360000,51360000,51359251,2,1
e7163653b8,500,j0004,318,0,340000,340000,340000,339682,1,0
e7163653b8,500,j0005,635,0,400000,51420000,51420000,51419365,2,1
e7163653b8,500,j0006,326,0,500000,520000,520000,519674,1,0
e7163653b8,500,j0007,503,0,560000,51460000,51460000,51459497,2,1
e7163653b8,500,j0008,456,0,600000,600000,600000,599544,1,0
e7163653b8,500,j0009,330,0,620000,660000,660000,659670,1,0
e7163653b8,500,j0010,398,0,680000,700000,700000,699602,1,0
e7163653b8,500,j0011,612,0,660000,51440000,51440000,51439388,2,1
e7163653b8,500,j0012,751,0,720000,51460000,51460000,51459249,2,1
e7163653b8,500,j0013,485,0,720000,720000,720000,719515,1,0
e7163653b8,500,j0014,667,0,740000,51480000,51480000,51479333,2,1
e7163653b8,500,j0015,626,0,900000,51500000,51500000,51499374,2,1
e7163653b8,500,j0016,317,0,960000,960000,960000,959683,1,0
e7163653b8,500,j0017,34,0,1080000,1100000,1100000,1099966,1,0
e7163653b8,500,j0018,619,0,1140000,51520000,51520000,51519381,2,1
e7163653b8,500,j0019,362,0,1240000,1240000,1240000,1239638,1,0
e7163653b8,500,j0020,328,0,1220000,1220000,1220000,1219672,1,0
e7163653b8,500,j0021,488,0,1280000,1280000,1280000,1279512,1,0
e7163653b8,500,j0022,572,0,1280000,51540000,51540000,51539428,2,1
e7163653b8,500,j0023,802,0,1480000,51600000,51600000,51599198,2,1
e7163653b8,500,j0024,589,0,1540000,51620000,51620000,51619411,2,1
e7163653b8,500,j0025,475,0,1660000,1680000,1680000,1679525,1,0
e7163653b8,500,j0026,413,0,1700000,1720000,1720000,1719587,1,0
e7163653b8,500,j0027,705,0,1740000,51660000,51660000,51659295,2,1
e7163653b8,500,j0028,574,0,1880000,51720000,51720000,51719426,2,1
e7163653b8,500,j0029,8,0,1920000,1940000,1940000,1939992,1,0
e7163653b8,500,j0030,866,0,1940000,51720000,51720000,51719134,2,1
e7163653b8,500,j0031,397,0,1940000,1940000,1940000,1939603,1,0
e7163653b8,500,j0032,874,0,2080000,51860000,51860000,51859126,2,1
e7163653b8,500,j0033,752,0,2100000,52100000,52100000,52099248,2,1
e7163653b8,500,j0034,527,0,2280000,52080000,52080000,52079473,2,1
e7163653b8,500,j0035,508,0,2300000,51820000,51820000,51819492,2,1
e7163653b8,500,j0036,468,0,2260000,2260000,2260000,2259532,1,0
e7163653b8,500,j0037,877,0,2280000,51720000,51720000,51719123,2,1
e7163653b8,500,j0038,875,0,2300000,52060000,52060000,52059125,2,1
e7163653b8,500,j0039,743,0,2300000,51980000,51980000,51979257,2,1
e7163653b8,500,j0040,635,0,2300000,51940000,51940000,51939365,2,1
e7163653b8,500,j0041,436,0,2380000,2380000,2380000,2379564,1,0
e7163653b8,500,j0042,463,0,2420000,2420000,2420000,2419537,1,0
e7163653b8,500,j0043,760,0,2560000,52100000,52100000,52099240,2,1
e7163653b8,500,j0044,418,0,2580000,2580000,2580000,2579582,1,0
e7163653b8,500,j0045,642,0,2940000,52180000,52180000,52179358,2,1
e7163653b8,500,j0046,608,0,2980000,52140000,52140000,52139392,2,1
e7163653b8,500,j0047,538,0,3220000,52240000,52240000,52239462,2,1
e7163653b8,500,j0048,638,0,3160000,52200000,52200000,52199362,2,1
e7163653b8,500,j0049,430,0,3200000,3220000,3220000,3219570,1,0
e7163653b8,500,j0050,482,0,3240000,3240000,3240000,3239518,1,0
e7163653b8,500,j0051,334,0,3200000,3200000,3200000,3199666,1,0
e7163653b8,500,j0052,313,0,3600000,3620000,3620000,3619687,1,0
e7163653b8,500,j0053,867,0,3620000,52260000,52260000,52259133,2,1
e7163653b8,500,j0054,547,0,3720000,52260000,52260000,52259453,2,1
e7163653b8,500,j0055,738,0,3860000,52340000,52340000,52339262,2,1
e7163653b8,500,j0056,499,0,3900000,3900000,3900000,3899501,1,0
e7163653b8,500,j0057,12,0,3960000,3960000,3960000,3959988,1,0
e7163653b8,500,j0058,613,0,4000000,52420000,52420000,52419387,2,1
e7163653b8,500,j0059,539,0,4040000,52500000,52500000,52499461,2,1
e7163653b8,500,j0060,416,0,4080000,4080000,4080000,4079584,1,0
e7163653b8,500,j0061,722,0,4200000,52560000,52560000,52559278,2,1
e7163653b8,500,j0062,306,0,4160000,4160000,4160000,4159694,1,0
e7163653b8,500,j0063,444,0,4220000,4220000,4220000,4219556,1,0
e7163653b8,500,j0064,861,0,4180000,52560000,52560000,52559139,2,1
e7163653b8,500,j0065,793,0,4200000,52520000,52520000,52519207,2,1
e7163653b8,500,j0066,724,0,4260000,52620000,52620000,52619276,2,1
e7163653b8,500,j0067,854,0,4320000,52600000,52600000,52599146,2,1
e7163653b8,500,j0068,375,0,4320000,4320000,4320000,4319625,1,0
e7163653b8,500,j0069,510,0,4300000,52660000,52660000,52659490,2,1
e7163653b8,500,j0070,809,0,4340000,52680000,52680000,52679191,2,1
e7163653b8,500,j0071,419,0,4440000,4460000,4460000,4459581,1,0
e7163653b8,500,j0072,861,0,4460000,52680000,52680000,52679139,2,1
e7163653b8,500,j0073,42,0,4480000,4500000,4500000,4499958,1,0
e7163653b8,500,j0074,344,0,4540000,4540000,4540000,4539656,1,0
e7163653b8,500,j0075,636,0,4620000,52740000,52740000,52739364,2,1
e7163653b8,500,j0076,30,0,4640000,4660000,4660000,4659970,1,0
e7163653b8,500,j0077,24,0,4660000,4660000,4660000,4659976,1,0
e7163653b8,500,j0078,801,0,4920000,52780000,52780000,52779199,2,1
e7163653b8,500,j0079,578,0,4960000,52860000,52860000,52859422,2,1
e7163653b8,500,j0080,895,0,5120000,52940000,52940000,52939105,2,1
e7163653b8,500,j0081,661,0,5260000,52960000,52960000,52959339,2,1
e7163653b8,500,j0082,417,0,5340000,5340000,5340000,5339583,1,0
e7163653b8,500,j0083,880,0,5680000,53080000,53080000,53079120,2,1
e7163653b8,500,j0084,618,0,6140000,52960000,52960000,52959382,2,1
e7163653b8,500,j0085,625,0,6180000,53120000,53120000,53119375,2,1
e7163653b8,500,j0086,719,0,6240000,53100000,53100000,53099281,2,1
e7163653b8,500,j0087,453,0,6480000,6480000,6480000,6479547,1,0
e7163653b8,500,j0088,619,0,6520000,53520000,53520000,53519381,2,1
e7163653b8,500,j0089,788,0,6520000,53540000,53540000,53539212,2,1
e7163653b8,500,j0090,505,0,6540000,53380000,53380000,53379495,2,1
e7163653b8,500,j0091,683,0,6580000,53360000,53360000,53359317,2,1
e7163653b8,500,j0092,717,0,6600000,53500000,53500000,53499283,2,1
e7163653b8,500,j0093,770,0,6860000,53640000,53640000,53639230,2,1
e7163653b8,500,j0094,495,0,6840000,6860000,6860000,6859505,1,0
e7163653b8,500,j0095,608,0,6860000,53620000,53620000,53619392,2,1
e7163653b8,500,j0096,362,0,6880000,6880000,6880000,6879638,1,0
e7163653b8,500,j0097,418,0,6960000,6960000,6960000,6959582,1,0
e7163653b8,500,j0098,375,0,7100000,7100000,7100000,7099625,1,0
e7163653b8,500,j0099,741,0,6980000,53740000,53740000,53739259,2,1
e7163653b8,500,j0100,559,0,7180000,53800000,53800000,53799441,2,1
e7163653b8,500,j0101,666,0,7020000,53720000,53720000,53719334,2,1
e7163653b8,500,j0102,644,0,7020000,53700000,53700000,53699356,2,1
e7163653b8,500,j0103,825,0,7020000,53720000,53720000,53719175,2,1
e7163653b8,500,j0104,794,0,7380000,53820000,53820000,53819206,2,1
e7163653b8,500,j0105,387,0,7360000,7360000,7360000,7359613,1,0
e7163653b8,500,j0106,446,0,7360000,7360000,7360000,7359554,1,0
e7163653b8,500,j0107,301,0,7680000,7680000,7680000,7679699,1,0
e7163653b8,500,j0108,429,0,7700000,7740000,7740000,7739571,1,0
e7163653b8,500,j0109,324,0,7880000,7880000,7880000,7879676,1,0
e7163653b8,500,j0110,797,0,7840000,54000000,54000000,53999203,2,1
e7163653b8,500,j0111,573,0,7860000,53980000,53980000,53979427,2,1
e7163653b8,500,j0112,849,0,7920000,54000000,54000000,53999151,2,1
e7163653b8,500,j0113,446,0,8140000,8140000,8140000,8139554,1,0
e7163653b8,500,j0114,465,0,8160000,8160000,8160000,8159535,1,0
e7163653b8,500,j0115,592,0,8580000,54020000,54020000,54019408,2,1
e7163653b8,500,j0116,634,0,8720000,54100000,54100000,54099366,2,1
e7163653b8,500,j0117,300,0,8760000,8760000,8760000,8759700,1,0
e7163653b8,500,j0118,517,0,8820000,54100000,54100000,54099483,2,1
e7163653b8,500,j0119,620,0,8800000,54080000,54080000,54079380,2,1
e7163653b8,500,j0120,760,0,8820000,54300000,54300000,54299240,2,1
e7163653b8,500,j0121,882,0,8860000,54180000,54180000,54179118,2,1
e7163653b8,500,j0122,442,0,8900000,8940000,8940000,8939558,1,0
e7163653b8,500,j0123,534,0,8940000,54260000,54260000,54259466,2,1
e7163653b8,500,j0124,412,0,8960000,8980000,8980000,8979588,1,0
e7163653b8,500,j0125,503,0,9080000,54480000,54480000,54479497,2,1
e7163653b8,500,j0126,856,0,9100000,54420000,54420000,54419144,2,1
e7163653b8,500,j0127,687,0,9120000,54380000,54380000,54379313,2,1
e7163653b8,500,j0128,303,0,9140000,9140000,9140000,9139697,1,0
e7163653b8,500,j0129,23,0,9160000,9180000,9180000,9179977,1,0
e7163653b8,500,j0130,585,0,9280000,54540000,54540000,54539415,2,1
