run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
6f4082d7d2,50,j0000,397,0,120000,57440000,57440000,57439603,8,7
6f4082d7d2,50,j0001,48,0,120000,140000,140000,139952,1,0
6f4082d7d2,50,j0002,14,0,140000,160000,160000,159986,1,0
6f4082d7d2,50,j0003,9,0,140000,140000,140000,139991,1,0
6f4082d7d2,50,j0004,257,0,200000,54000000,54000000,53999743,6,5
6f4082d7d2,50,j0005,12,0,260000,260000,260000,259988,1,0
6f4082d7d2,50,j0006,15,0,340000,340000,340000,339985,1,0
6f4082d7d2,50,j0007,13,0,300000,320000,320000,319987,1,0
6f4082d7d2,50,j0008,15,0,340000,340000,340000,339985,1,0
6f4082d7d2,50,j0009,15,0,500000,500000,500000,499985,1,0
6f4082d7d2,50,j0010,13,0,380000,380000,380000,379987,1,0
6f4082d7d2,50,j0011,2,0,560000,560000,560000,559998,1,0
6f4082d7d2,50,j0012,2,0,620000,620000,620000,619998,1,0
6f4082d7d2,50,j0013,6,0,700000,700000,700000,699994,1,0
6f4082d7d2,50,j0014,45,0,800000,800000,800000,799955,1,0
6f4082d7d2,50,j0015,75,0,840000,36520000,36520000,36519925,2,1
6f4082d7d2,50,j0016,7,0,880000,880000,880000,879993,1,0
6f4082d7d2,50,j0017,3,0,860000,860000,860000,859997,1,0
6f4082d7d2,50,j0018,55,0,940000,36620000,36620000,36619945,2,1
6f4082d7d2,50,j0019,5,0,920000,920000,920000,919995,1,0
6f4082d7d2,50,j0020,13,0,920000,920000,920000,919987,1,0
6f4082d7d2,50,j0021,4,0,960000,980000,980000,979996,1,0
6f4082d7d2,50,j0022,2,0,940000,960000,960000,959998,1,0
6f4082d7d2,50,j0023,41,0,980000,1000000,1000000,999959,1,0
6f4082d7d2,50,j0024,6,0,960000,960000,960000,959994,1,0
6f4082d7d2,50,j0025,42,0,960000,980000,980000,979958,1,0
6f4082d7d2,50,j0026,11,0,1000000,1000000,1000000,999989,1,0
6f4082d7d2,50,j0027,6,0,980000,1000000,1000000,999994,1,0
6f4082d7d2,50,j0028,9,0,1020000,1020000,1020000,1019991,1,0
6f4082d7d2,50,j0029,8,0,1060000,1060000,1060000,1059992,1,0
6f4082d7d2,50,j0030,12,0,1160000,1160000,1160000,1159988,1,0
6f4082d7d2,50,j0031,13,0,1220000,1220000,1220000,1219987,1,0
6f4082d7d2,50,j0032,12,0,1280000,1280000,1280000,1279988,1,0
6f4082d7d2,50,j0033,3,0,1340000,1360000,1360000,1359997,1,0
6f4082d7d2,50,j0034,13,0,1360000,1360000,1360000,1359987,1,0
6f4082d7d2,50,j0035,13,0,1380000,1380000,1380000,1379987,1,0
6f4082d7d2,50,j0036,15,0,1440000,1440000,1440000,1439985,1,0
6f4082d7d2,50,j0037,4,0,1580000,1580000,1580000,1579996,1,0
6f4082d7d2,50,j0038,4,0,1620000,1640000,1640000,1639996,1,0
6f4082d7d2,50,j0039,14,0,1700000,1720000,1720000,1719986,1,0
6f4082d7d2,50,j0040,8,0,1640000,1640000,1640000,1639992,1,0
6f4082d7d2,50,j0041,3,0,1800000,1800000,1800000,1799997,1,0
6f4082d7d2,50,j0042,6,0,1880000,1880000,1880000,1879994,1,0
6f4082d7d2,50,j0043,77,0,1940000,36560000,36560000,36559923,2,1
6f4082d7d2,50,j0044,13,0,1980000,1980000,1980000,1979987,1,0
6f4082d7d2,50,j0045,4,0,1980000,2000000,2000000,1999996,1,0
6f4082d7d2,50,j0046,4,0,2020000,2020000,2020000,2019996,1,0
6f4082d7d2,50,j0047,9,0,2000000,2020000,2020000,2019991,1,0
6f4082d7d2,50,j0048,5,0,2040000,2040000,2040000,2039995,1,0
6f4082d7d2,50,j0049,9,0,2060000,2080000,2080000,2079991,1,0
6f4082d7d2,50,j0050,11,0,2020000,2020000,2020000,2019989,1,0
6f4082d7d2,50,j0051,9,0,2040000,2040000,2040000,2039991,1,0
6f4082d7d2,50,j0052,225,0,2040000,50980000,50980000,50979775,5,4
6f4082d7d2,50,j0053,9,0,2060000,2060000,2060000,2059991,1,0
6f4082d7d2,50,j0054,9,0,2100000,2100000,2100000,2099991,1,0
6f4082d7d2,50,j0055,6,0,2140000,2160000,2160000,2159994,1,0
6f4082d7d2,50,j0056,2,0,2160000,2160000,2160000,2159998,1,0
6f4082d7d2,50,j0057,15,0,2160000,2180000,2180000,2179985,1,0
6f4082d7d2,50,j0058,69,0,2180000,36720000,36720000,36719931,2,1
6f4082d7d2,50,j0059,13,0,2200000,2200000,2200000,2199987,1,0
6f4082d7d2,50,j0060,7,0,2240000,2260000,2260000,2259993,1,0
6f4082d7d2,50,j0061,42,0,2280000,2300000,2300000,2299958,1,0
6f4082d7d2,50,j0062,5,0,2400000,2400000,2400000,2399995,1,0
6f4082d7d2,50,j0063,7,0,2460000,2460000,2460000,2459993,1,0
6f4082d7d2,50,j0064,10,0,2480000,2500000,2500000,2499990,1,0
6f4082d7d2,50,j0065,2,0,2600000,2600000,2600000,2599998,1,0
6f4082d7d2,50,j0066,11,0,2620000,2640000,2640000,2639989,1,0
6f4082d7d2,50,j0067,14,0,2680000,2680000,2680000,2679986,1,0
6f4082d7d2,50,j0068,6,0,2740000,2760000,2760000,2759994,1,0
6f4082d7d2,50,j0069,11,0,2800000,2820000,2820000,2819989,1,0
6f4082d7d2,50,j0070,187,0,2800000,47760000,47760000,47759813,4,3
6f4082d7d2,50,j0071,6,0,2880000,2880000,2880000,2879994,1,0
6f4082d7d2,50,j0072,391,0,2960000,57540000,57540000,57539609,8,7
6f4082d7d2,50,j0073,7,0,2960000,2960000,2960000,2959993,1,0
6f4082d7d2,50,j0074,252,0,3000000,53920000,53920000,53919748,6,5
6f4082d7d2,50,j0075,27,0,3020000,3040000,3040000,3039973,1,0
6f4082d7d2,50,j0076,11,0,3020000,3020000,3020000,3019989,1,0
6f4082d7d2,50,j0077,45,0,3060000,3060000,3060000,3059955,1,0
6f4082d7d2,50,j0078,7,0,3060000,3080000,3080000,3079993,1,0
6f4082d7d2,50,j0079,11,0,3040000,3040000,3040000,3039989,1,0
6f4082d7d2,50,j0080,12,0,3060000,3060000,3060000,3059988,1,0
6f4082d7d2,50,j0081,6,0,3100000,3100000,3100000,3099994,1,0
6f4082d7d2,50,j0082,26,0,3120000,3140000,3140000,3139974,1,0
6f4082d7d2,50,j0083,70,0,3100000,36840000,36840000,36839930,2,1
6f4082d7d2,50,j0084,56,0,3100000,36820000,36820000,36819944,2,1
6f4082d7d2,50,j0085,7,0,3160000,3180000,3180000,3179993,1,0
6f4082d7d2,50,j0086,12,0,3220000,3240000,3240000,3239988,1,0
6f4082d7d2,50,j0087,77,0,3260000,36900000,36900000,36899923,2,1
6f4082d7d2,50,j0088,13,0,3260000,3260000,3260000,3259987,1,0
6f4082d7d2,50,j0089,4,0,3300000,3300000,3300000,3299996,1,0
6f4082d7d2,50,j0090,13,0,3320000,3320000,3320000,3319987,1,0
6f4082d7d2,50,j0091,3,0,3500000,3500000,3500000,3499997,1,0
6f4082d7d2,50,j0092,5,0,3580000,3580000,3580000,3579995,1,0
6f4082d7d2,50,j0093,26,0,3600000,3600000,3600000,3599974,1,0
6f4082d7d2,50,j0094,7,0,3640000,3640000,3640000,3639993,1,0
6f4082d7d2,50,j0095,6,0,3660000,3680000,3680000,3679994,1,0
6f4082d7d2,50,j0096,14,0,3660000,3680000,3680000,3679986,1,0
6f4082d7d2,50,j0097,10,0,3700000,3720000,3720000,3719990,1,0
6f4082d7d2,50,j0098,28,0,3740000,3740000,3740000,3739972,1,0
6f4082d7d2,50,j0099,78,0,3740000,36900000,36900000,36899922,2,1
6f4082d7d2,50,j0100,9,0,3920000,3920000,3920000,3919991,1,0
6f4082d7d2,50,j0101,11,0,3920000,3920000,3920000,3919989,1,0
6f4082d7d2,50,j0102,321,0,3940000,56240000,56240000,56239679,7,6
6f4082d7d2,50,j0103,15,0,3980000,3980000,3980000,3979985,1,0
6f4082d7d2,50,j0104,3,0,4020000,4040000,4040000,4039997,1,0
6f4082d7d2,50,j0105,15,0,4040000,4040000,4040000,4039985,1,0
6f4082d7d2,50,j0106,58,0,4040000,36920000,36920000,36919942,2,1
6f4082d7d2,50,j0107,198,0,4120000,47780000,47780000,47779802,4,3
6f4082d7d2,50,j0108,11,0,4120000,4140000,4140000,4139989,1,0
6f4082d7d2,50,j0109,9,0,4180000,4180000,4180000,4179991,1,0
6f4082d7d2,50,j0110,5,0,4200000,4200000,4200000,4199995,1,0
6f4082d7d2,50,j0111,13,0,4220000,4240000,4240000,4239987,1,0
6f4082d7d2,50,j0112,27,0,4260000,4260000,4260000,4259973,1,0
6f4082d7d2,50,j0113,27,0,4240000,4240000,4240000,4239973,1,0
6f4082d7d2,50,j0114,6,0,4300000,4300000,4300000,4299994,1,0
6f4082d7d2,50,j0115,61,0,4240000,37020000,37020000,37019939,2,1
6f4082d7d2,50,j0116,6,0,4280000,4280000,4280000,4279994,1,0
6f4082d7d2,50,j0117,11,0,4400000,4440000,4440000,4439989,1,0
6f4082d7d2,50,j0118,44,0,4340000,4340000,4340000,4339956,1,0
6f4082d7d2,50,j0119,4,0,4400000,4400000,4400000,4399996,1,0
6f4082d7d2,50,j0120,8,0,4540000,4540000,4540000,4539992,1,0
6f4082d7d2,50,j0121,41,0,4600000,4600000,4600000,4599959,1,0
6f4082d7d2,50,j0122,11,0,4640000,4640000,4640000,4639989,1,0
6f4082d7d2,50,j0123,56,0,4700000,37040000,37040000,37039944,2,1
6f4082d7d2,50,j0124,7,0,4700000,4700000,4700000,4699993,1,0
6f4082d7d2,50,j0125,15,0,4760000,4760000,4760000,4759985,1,0
6f4082d7d2,50,j0126,8,0,4800000,4800000,4800000,4799992,1,0
6f4082d7d2,50,j0127,6,0,4840000,4840000,4840000,4839994,1,0
6f4082d7d2,50,j0128,8,0,4800000,4800000,4800000,4799992,1,0
6f4082d7d2,50,j0129,74,0,4820000,37080000,37080000,37079926,2,1
6f4082d7d2,50,j0130,57,0,4840000,37040000,37040000,37039943,2,1
6f4082d7d2,50,j0131,2,0,4980000,4980000,4980000,4979998,1,0
6f4082d7d2,50,j0132,13,0,5000000,5000000,5000000,4999987,1,0
6f4082d7d2,50,j0133,12,0,5020000,5020000,5020000,5019988,1,0
6f4082d7d2,50,j0134,15,0,5080000,5080000,5080000,5079985,1,0
6f4082d7d2,50,j0135,11,0,5180000,5180000,5180000,5179989,1,0
6f4082d7d2,50,j0136,14,0,5180000,5180000,5180000,5179986,1,0
6f4082d7d2,50,j0137,331,0,5280000,56080000,56080000,56079669,7,6
6f4082d7d2,50,j0138,12,0,5280000,5280000,5280000,5279988,1,0
6f4082d7d2,50,j0139,282,0,5300000,54140000,54140000,54139718,6,5
6f4082d7d2,50,j0140,47,0,5400000,5400000,5400000,5399953,1,0
6f4082d7d2,50,j0141,13,0,5480000,5500000,5500000,5499987,1,0
6f4082d7d2,50,j0142,5,0,5460000,5460000,5460000,5459995,1,0
6f4082d7d2,50,j0143,9,0,5500000,5500000,5500000,5499991,1,0
6f4082d7d2,50,j0144,2,0,5480000,5500000,5500000,5499998,1,0
6f4082d7d2,50,j0145,11,0,5500000,5500000,5500000,5499989,1,0
6f4082d7d2,50,j0146,4,0,5540000,5540000,5540000,5539996,1,0
6f4082d7d2,50,j0147,14,0,5560000,5560000,5560000,5559986,1,0
6f4082d7d2,50,j0148,8,0,5600000,5600000,5600000,5599992,1,0
6f4082d7d2,50,j0149,6,0,5600000,5620000,5620000,5619994,1,0
6f4082d7d2,50,j0150,308,0,5580000,56180000,56180000,56179692,7,6
6f4082d7d2,50,j0151,75,0,5680000,37200000,37200000,37199925,2,1
6f4082d7d2,50,j0152,62,0,5720000,37260000,37260000,37259938,2,1
6f4082d7d2,50,j0153,10,0,5760000,5780000,5780000,5779990,1,0
6f4082d7d2,50,j0154,392,0,5820000,57560000,57560000,57559608,8,7
6f4082d7d2,50,j0155,46,0,5820000,5820000,5820000,5819954,1,0
6f4082d7d2,50,j0156,10,0,5840000,5840000,5840000,5839990,1,0
6f4082d7d2,50,j0157,10,0,5860000,5860000,5860000,5859990,1,0
6f4082d7d2,50,j0158,5,0,5940000,5940000,5940000,5939995,1,0
6f4082d7d2,50,j0159,9,0,5980000,5980000,5980000,5979991,1,0
6f4082d7d2,50,j0160,8,0,5980000,5980000,5980000,5979992,1,0
6f4082d7d2,50,j0161,39,0,5980000,5980000,5980000,5979961,1,0
6f4082d7d2,50,j0162,6,0,6020000,6040000,6040000,6039994,1,0
6f4082d7d2,50,j0163,61,0,6080000,37320000,37320000,37319939,2,1
6f4082d7d2,50,j0164,5,0,6120000,6120000,6120000,6119995,1,0
6f4082d7d2,50,j0165,8,0,6120000,6120000,6120000,6119992,1,0
6f4082d7d2,50,j0166,8,0,6180000,6180000,6180000,6179992,1,0
6f4082d7d2,50,j0167,9,0,6200000,6200000,6200000,6199991,1,0
6f4082d7d2,50,j0168,14,0,6200000,6200000,6200000,6199986,1,0
6f4082d7d2,50,j0169,4,0,6260000,6280000,6280000,6279996,1,0
6f4082d7d2,50,j0170,6,0,6280000,6280000,6280000,6279994,1,0
6f4082d7d2,50,j0171,12,0,6340000,6340000,6340000,6339988,1,0
6f4082d7d2,50,j0172,49,0,6420000,6420000,6420000,6419951,1,0
6f4082d7d2,50,j0173,10,0,6420000,6420000,6420000,6419990,1,0
6f4082d7d2,50,j0174,13,0,6500000,6500000,6500000,6499987,1,0
6f4082d7d2,50,j0175,4,0,6580000,6580000,6580000,6579996,1,0
6f4082d7d2,50,j0176,7,0,6600000,6600000,6600000,6599993,1,0
6f4082d7d2,50,j0177,214,0,6600000,51160000,51160000,51159786,5,4
6f4082d7d2,50,j0178,9,0,6640000,6640000,6640000,6639991,1,0
6f4082d7d2,50,j0179,46,0,6600000,6600000,6600000,6599954,1,0
6f4082d7d2,50,j0180,39,0,6640000,6660000,6660000,6659961,1,0
6f4082d7d2,50,j0181,9,0,6680000,6700000,6700000,6699991,1,0
6f4082d7d2,50,j0182,15,0,6660000,6660000,6660000,6659985,1,0
6f4082d7d2,50,j0183,14,0,6720000,6720000,6720000,6719986,1,0
6f4082d7d2,50,j0184,33,0,6800000,6800000,6800000,6799967,1,0
6f4082d7d2,50,j0185,15,0,6880000,6880000,6880000,6879985,1,0
6f4082d7d2,50,j0186,10,0,6900000,6900000,6900000,6899990,1,0
6f4082d7d2,50,j0187,12,0,6920000,6920000,6920000,6919988,1,0
6f4082d7d2,50,j0188,6,0,6940000,6960000,6960000,6959994,1,0
6f4082d7d2,50,j0189,7,0,6960000,6960000,6960000,6959993,1,0
6f4082d7d2,50,j0190,8,0,6980000,7000000,7000000,6999992,1,0
6f4082d7d2,50,j0191,13,0,7000000,7000000,7000000,6999987,1,0
6f4082d7d2,50,j0192,201,0,7000000,50980000,50980000,50979799,5,4
6f4082d7d2,50,j0193,56,0,7020000,37400000,37400000,37399944,2,1
6f4082d7d2,50,j0194,9,0,7040000,7040000,7040000,7039991,1,0
6f4082d7d2,50,j0195,5,0,7060000,7060000,7060000,7059995,1,0
6f4082d7d2,50,j0196,299,0,7100000,54060000,54060000,54059701,6,5
6f4082d7d2,50,j0197,14,0,7140000,7140000,7140000,7139986,1,0
6f4082d7d2,50,j0198,377,0,7160000,57460000,57460000,57459623,8,7
6f4082d7d2,50,j0199,3,0,7220000,7220000,7220000,7219997,1,0
6f4082d7d2,50,j0200,14,0,7240000,7240000,7240000,7239986,1,0
6f4082d7d2,50,j0201,2,0,7240000,7240000,7240000,7239998,1,0
6f4082d7d2,50,j0202,13,0,7420000,7420000,7420000,7419987,1,0
6f4082d7d2,50,j0203,13,0,7340000,7340000,7340000,7339987,1,0
6f4082d7d2,50,j0204,12,0,7380000,7380000,7380000,7379988,1,0
6f4082d7d2,50,j0205,50,0,7400000,7400000,7400000,7399950,1,0
6f4082d7d2,50,j0206,14,0,7480000,7480000,7480000,7479986,1,0
6f4082d7d2,50,j0207,8,0,7640000,7640000,7640000,7639992,1,0
6f4082d7d2,50,j0208,15,0,7660000,7660000,7660000,7659985,1,0
6f4082d7d2,50,j0209,2,0,7680000,7680000,7680000,7679998,1,0
6f4082d7d2,50,j0210,8,0,7700000,7700000,7700000,7699992,1,0
6f4082d7d2,50,j0211,11,0,7800000,7800000,7800000,7799989,1,0
6f4082d7d2,50,j0212,67,0,7840000,37700000,37700000,37699933,2,1
6f4082d7d2,50,j0213,12,0,7880000,7880000,7880000,7879988,1,0
6f4082d7d2,50,j0214,44,0,7900000,7900000,7900000,7899956,1,0
6f4082d7d2,50,j0215,9,0,7920000,7920000,7920000,7919991,1,0
6f4082d7d2,50,j0216,2,0,7960000,7960000,7960000,7959998,1,0
6f4082d7d2,50,j0217,56,0,7980000,37860000,37860000,37859944,2,1
6f4082d7d2,50,j0218,321,0,7980000,56300000,56300000,56299679,7,6
6f4082d7d2,50,j0219,4,0,7980000,8000000,8000000,7999996,1,0
6f4082d7d2,50,j0220,31,0,8020000,8020000,8020000,8019969,1,0
6f4082d7d2,50,j0221,10,0,8000000,8000000,8000000,7999990,1,0
6f4082d7d2,50,j0222,32,0,8020000,8020000,8020000,8019968,1,0
6f4082d7d2,50,j0223,3,0,8080000,8080000,8080000,8079997,1,0
6f4082d7d2,50,j0224,33,0,8060000,8060000,8060000,8059967,1,0
6f4082d7d2,50,j0225,14,0,8080000,8080000,8080000,8079986,1,0
6f4082d7d2,50,j0226,9,0,8080000,8080000,8080000,8079991,1,0
6f4082d7d2,50,j0227,5,0,8120000,8120000,8120000,8119995,1,0
6f4082d7d2,50,j0228,14,0,8120000,8120000,8120000,8119986,1,0
6f4082d7d2,50,j0229,3,0,8140000,8160000,8160000,8159997,1,0
6f4082d7d2,50,j0230,8,0,8140000,8160000,8160000,8159992,1,0
6f4082d7d2,50,j0231,3,0,8240000,8240000,8240000,8239997,1,0
6f4082d7d2,50,j0232,6,0,8280000,8280000,8280000,8279994,1,0
6f4082d7d2,50,j0233,5,0,8380000,8400000,8400000,8399995,1,0
6f4082d7d2,50,j0234,35,0,8400000,8400000,8400000,8399965,1,0
6f4082d7d2,50,j0235,2,0,8420000,8420000,8420000,8419998,1,0
6f4082d7d2,50,j0236,9,0,8480000,8480000,8480000,8479991,1,0
6f4082d7d2,50,j0237,4,0,8520000,8520000,8520000,8519996,1,0
6f4082d7d2,50,j0238,9,0,8580000,8580000,8580000,8579991,1,0
6f4082d7d2,50,j0239,10,0,8620000,8620000,8620000,8619990,1,0
6f4082d7d2,50,j0240,13,0,8680000,8680000,8680000,8679987,1,0
6f4082d7d2,50,j0241,15,0,8700000,8700000,8700000,8699985,1,0
6f4082d7d2,50,j0242,11,0,8720000,8720000,8720000,8719989,1,0
6f4082d7d2,50,j0243,12,0,8940000,8960000,8960000,8959988,1,0
6f4082d7d2,50,j0244,7,0,8940000,8940000,8940000,8939993,1,0
6f4082d7d2,50,j0245,6,0,8940000,8940000,8940000,8939994,1,0
6f4082d7d2,50,j0246,12,0,8960000,8960000,8960000,8959988,1,0
6f4082d7d2,50,j0247,36,0,9020000,9020000,9020000,9019964,1,0
6f4082d7d2,50,j0248,10,0,9040000,9060000,9060000,9059990,1,0
6f4082d7d2,50,j0249,230,0,9060000,51220000,51220000,51219770,5,4
6f4082d7d2,50,j0250,9,0,9080000,9080000,9080000,9079991,1,0
6f4082d7d2,50,j0251,10,0,9120000,9120000,9120000,9119990,1,0
6f4082d7d2,50,j0252,29,0,9160000,9160000,9160000,9159971,1,0
6f4082d7d2,50,j0253,10,0,9160000,9160000,9160000,9159990,1,0
6f4082d7d2,50,j0254,219,0,9180000,51220000,51220000,51219781,5,4
6f4082d7d2,50,j0255,15,0,9200000,9200000,9200000,9199985,1,0
6f4082d7d2,50,j0256,38,0,9260000,9280000,9280000,9279962,1,0
6f4082d7d2,50,j0257,5,0,9280000,9280000,9280000,9279995,1,0
6f4082d7d2,50,j0258,5,0,9280000,9280000,9280000,9279995,1,0
6f4082d7d2,50,j0259,51,0,9300000,37940000,37940000,37939949,2,1
6f4082d7d2,50,j0260,14,0,9300000,9300000,9300000,9299986,1,0
6f4082d7d2,50,j0261,9,0,9320000,9340000,9340000,9339991,1,0
6f4082d7d2,50,j0262,36,0,9340000,9340000,9340000,9339964,1,0
6f4082d7d2,50,j0263,58,0,9400000,38020000,38020000,38019942,2,1
6f4082d7d2,50,j0264,74,0,9400000,38000000,38000000,37999926,2,1
6f4082d7d2,50,j0265,10,0,9540000,9540000,9540000,9539990,1,0
6f4082d7d2,50,j0266,11,0,9620000,9620000,9620000,9619989,1,0
6f4082d7d2,50,j0267,4,0,9640000,9640000,9640000,9639996,1,0
6f4082d7d2,50,j0268,9,0,9740000,9740000,9740000,9739991,1,0
6f4082d7d2,50,j0269,3,0,9740000,9740000,9740000,9739997,1,0
6f4082d7d2,50,j0270,26,0,9780000,9780000,9780000,9779974,1,0
6f4082d7d2,50,j0271,2,0,9760000,9760000,9760000,9759998,1,0
6f4082d7d2,50,j0272,59,0,9780000,38080000,38080000,38079941,2,1
6f4082d7d2,50,j0273,67,0,9780000,38060000,38060000,38059933,2,1
6f4082d7d2,50,j0274,2,0,9920000,9920000,9920000,9919998,1,0
6f4082d7d2,50,j0275,11,0,10160000,10160000,10160000,10159989,1,0
6f4082d7d2,50,j0276,13,0,10200000,10200000,10200000,10199987,1,0
6f4082d7d2,50,j0277,7,0,10200000,10200000,10200000,10199993,1,0
6f4082d7d2,50,j0278,39,0,10220000,10220000,10220000,10219961,1,0
6f4082d7d2,50,j0279,41,0,10220000,10240000,10240000,10239959,1,0
6f4082d7d2,50,j0280,10,0,10240000,10260000,10260000,10259990,1,0
6f4082d7d2,50,j0281,7,0,10260000,10260000,10260000,10259993,1,0
6f4082d7d2,50,j0282,11,0,10260000,10280000,10280000,10279989,1,0
6f4082d7d2,50,j0283,47,0,10280000,10320000,10320000,10319953,1,0
6f4082d7d2,50,j0284,12,0,10260000,10260000,10260000,10259988,1,0
6f4082d7d2,50,j0285,2,0,10280000,10280000,10280000,10279998,1,0
6f4082d7d2,50,j0286,299,0,10320000,54240000,54240000,54239701,6,5
6f4082d7d2,50,j0287,6,0,10360000,10360000,10360000,10359994,1,0
6f4082d7d2,50,j0288,14,0,10360000,10360000,10360000,10359986,1,0
6f4082d7d2,50,j0289,9,0,10380000,10400000,10400000,10399991,1,0
6f4082d7d2,50,j0290,77,0,10380000,38140000,38140000,38139923,2,1
6f4082d7d2,50,j0291,13,0,10400000,10400000,10400000,10399987,1,0
6f4082d7d2,50,j0292,14,0,10400000,10420000,10420000,10419986,1,0
6f4082d7d2,50,j0293,328,0,10420000,56320000,56320000,56319672,7,6
6f4082d7d2,50,j0294,42,0,10400000,10400000,10400000,10399958,1,0
6f4082d7d2,50,j0295,72,0,10400000,38180000,38180000,38179928,2,1
6f4082d7d2,50,j0296,13,0,10480000,10480000,10480000,10479987,1,0
6f4082d7d2,50,j0297,62,0,10700000,38280000,38280000,38279938,2,1
6f4082d7d2,50,j0298,15,0,10720000,10720000,10720000,10719985,1,0
6f4082d7d2,50,j0299,6,0,10760000,10780000,10780000,10779994,1,0
6f4082d7d2,50,j0300,61,0,10800000,38300000,38300000,38299939,2,1
6f4082d7d2,50,j0301,8,0,10800000,10800000,10800000,10799992,1,0
6f4082d7d2,50,j0302,7,0,10820000,10820000,10820000,10819993,1,0
6f4082d7d2,50,j0303,2,0,10840000,10840000,10840000,10839998,1,0
6f4082d7d2,50,j0304,385,0,10840000,57520000,57520000,57519615,8,7
6f4082d7d2,50,j0305,240,0,10880000,51580000,51580000,51579760,5,4
6f4082d7d2,50,j0306,8,0,11020000,11020000,11020000,11019992,1,0
6f4082d7d2,50,j0307,12,0,11280000,11280000,11280000,11279988,1,0
6f4082d7d2,50,j0308,3,0,11300000,11320000,11320000,11319997,1,0
6f4082d7d2,50,j0309,3,0,11320000,11320000,11320000,11319997,1,0
6f4082d7d2,50,j0310,7,0,11340000,11340000,11340000,11339993,1,0
6f4082d7d2,50,j0311,63,0,11340000,38320000,38320000,38319937,2,1
6f4082d7d2,50,j0312,10,0,11360000,11360000,11360000,11359990,1,0
6f4082d7d2,50,j0313,4,0,11380000,11380000,11380000,11379996,1,0
6f4082d7d2,50,j0314,4,0,11420000,11420000,11420000,11419996,1,0
6f4082d7d2,50,j0315,32,0,11440000,11440000,11440000,11439968,1,0
6f4082d7d2,50,j0316,11,0,11420000,11420000,11420000,11419989,1,0
6f4082d7d2,50,j0317,6,0,11480000,11480000,11480000,11479994,1,0
6f4082d7d2,50,j0318,8,0,11460000,11460000,11460000,11459992,1,0
6f4082d7d2,50,j0319,15,0,11460000,11460000,11460000,11459985,1,0
