run_id,quantum_ms,job_id,service_time_ms,arrival_time_ms,first_start_time_ms,finish_time_ms,response_time_ms,waiting_time_ms,slices,preemptions
a356155b26,20,j0000,792,0,2880000,955420000,955420000,955419208,40,39
a356155b26,20,j0001,748,0,2900000,941060000,941060000,941059252,38,37
a356155b26,20,j0002,448,0,2920000,709120000,709120000,709119552,23,22
a356155b26,20,j0003,749,0,3000000,941240000,941240000,941239251,38,37
a356155b26,20,j0004,318,0,3020000,506940000,506940000,506939682,16,15
a356155b26,20,j0005,635,0,3060000,874100000,874100000,874099365,32,31
a356155b26,20,j0006,326,0,3060000,541200000,541200000,541199674,17,16
a356155b26,20,j0007,503,0,3080000,776380000,776380000,776379497,26,25
a356155b26,20,j0008,456,0,3160000,709340000,709340000,709339544,23,22
a356155b26,20,j0009,330,0,3160000,540940000,540940000,540939670,17,16
a356155b26,20,j0010,398,0,3200000,628040000,628040000,628039602,20,19
a356155b26,20,j0011,612,0,3200000,860620000,860620000,860619388,31,30
a356155b26,20,j0012,751,0,3300000,941320000,941320000,941319249,38,37
a356155b26,20,j0013,485,0,3320000,756440000,756440000,756439515,25,24
a356155b26,20,j0014,667,0,3340000,901180000,901180000,901179333,34,33
a356155b26,20,j0015,626,0,3340000,874120000,874120000,874119374,32,31
a356155b26,20,j0016,317,0,3360000,507220000,507220000,507219683,16,15
a356155b26,20,j0017,34,0,3400000,37740000,37740000,37739966,2,1
a356155b26,20,j0018,619,0,3400000,860560000,860560000,860559381,31,30
a356155b26,20,j0019,362,0,3420000,600060000,600060000,600059638,19,18
a356155b26,20,j0020,328,0,3460000,541520000,541520000,541519672,17,16
a356155b26,20,j0021,488,0,3500000,756880000,756880000,756879512,25,24
a356155b26,20,j0022,572,0,3500000,830100000,830100000,830099428,29,28
a356155b26,20,j0023,802,0,3540000,961020000,961020000,961019198,41,40
a356155b26,20,j0024,589,0,3600000,846980000,846980000,846979411,30,29
a356155b26,20,j0025,475,0,3640000,734220000,734220000,734219525,24,23
a356155b26,20,j0026,413,0,3680000,655000000,655000000,654999587,21,20
a356155b26,20,j0027,705,0,3720000,923540000,923540000,923539295,36,35
a356155b26,20,j0028,574,0,3760000,830220000,830220000,830219426,29,28
a356155b26,20,j0029,8,0,3820000,3820000,3820000,3819992,1,0
a356155b26,20,j0030,866,0,3860000,972300000,972300000,972299134,44,43
a356155b26,20,j0031,397,0,3860000,628540000,628540000,628539603,20,19
a356155b26,20,j0032,874,0,3880000,972300000,972300000,972299126,44,43
a356155b26,20,j0033,752,0,3880000,941500000,941500000,941499248,38,37
a356155b26,20,j0034,527,0,3900000,795520000,795520000,795519473,27,26
a356155b26,20,j0035,508,0,3900000,776660000,776660000,776659492,26,25
a356155b26,20,j0036,468,0,3940000,734560000,734560000,734559532,24,23
a356155b26,20,j0037,877,0,3960000,972380000,972380000,972379123,44,43
a356155b26,20,j0038,875,0,3960000,972360000,972360000,972359125,44,43
a356155b26,20,j0039,743,0,4000000,941540000,941540000,941539257,38,37
a356155b26,20,j0040,635,0,4100000,874500000,874500000,874499365,32,31
a356155b26,20,j0041,436,0,4160000,682920000,682920000,682919564,22,21
a356155b26,20,j0042,463,0,4260000,735020000,735020000,735019537,24,23
a356155b26,20,j0043,760,0,4300000,941560000,941560000,941559240,38,37
a356155b26,20,j0044,418,0,4300000,655680000,655680000,655679582,21,20
a356155b26,20,j0045,642,0,4380000,887940000,887940000,887939358,33,32
a356155b26,20,j0046,608,0,4420000,860840000,860840000,860839392,31,30
a356155b26,20,j0047,538,0,4360000,795760000,795760000,795759462,27,26
a356155b26,20,j0048,638,0,4360000,874460000,874460000,874459362,32,31
a356155b26,20,j0049,430,0,4440000,683140000,683140000,683139570,22,21
a356155b26,20,j0050,482,0,4440000,757360000,757360000,757359518,25,24
a356155b26,20,j0051,334,0,4480000,542620000,542620000,542619666,17,16
a356155b26,20,j0052,313,0,4480000,508860000,508860000,508859687,16,15
a356155b26,20,j0053,867,0,4520000,972340000,972340000,972339133,44,43
a356155b26,20,j0054,547,0,4520000,812400000,812400000,812399453,28,27
a356155b26,20,j0055,738,0,4560000,933160000,933160000,933159262,37,36
a356155b26,20,j0056,499,0,4620000,757380000,757380000,757379501,25,24
a356155b26,20,j0057,12,0,4660000,4680000,4680000,4679988,1,0
a356155b26,20,j0058,613,0,4720000,861140000,861140000,861139387,31,30
a356155b26,20,j0059,539,0,4800000,796000000,796000000,795999461,27,26
a356155b26,20,j0060,416,0,4780000,656240000,656240000,656239584,21,20
a356155b26,20,j0061,722,0,4840000,933420000,933420000,933419278,37,36
a356155b26,20,j0062,306,0,4840000,508700000,508700000,508699694,16,15
a356155b26,20,j0063,444,0,4840000,710460000,710460000,710459556,23,22
a356155b26,20,j0064,861,0,4880000,972340000,972340000,972339139,44,43
a356155b26,20,j0065,793,0,4880000,955700000,955700000,955699207,40,39
a356155b26,20,j0066,724,0,4900000,933540000,933540000,933539276,37,36
a356155b26,20,j0067,854,0,4940000,969300000,969300000,969299146,43,42
a356155b26,20,j0068,375,0,4960000,601420000,601420000,601419625,19,18
a356155b26,20,j0069,510,0,4980000,777620000,777620000,777619490,26,25
a356155b26,20,j0070,809,0,5000000,961460000,961460000,961459191,41,40
a356155b26,20,j0071,419,0,5020000,656520000,656520000,656519581,21,20
a356155b26,20,j0072,861,0,5080000,972400000,972400000,972399139,44,43
a356155b26,20,j0073,42,0,5120000,72760000,72760000,72759958,3,2
a356155b26,20,j0074,344,0,5160000,572520000,572520000,572519656,18,17
a356155b26,20,j0075,636,0,5200000,874700000,874700000,874699364,32,31
a356155b26,20,j0076,30,0,5280000,40020000,40020000,40019970,2,1
a356155b26,20,j0077,24,0,5300000,40120000,40120000,40119976,2,1
a356155b26,20,j0078,801,0,5320000,961360000,961360000,961359199,41,40
a356155b26,20,j0079,578,0,5300000,830960000,830960000,830959422,29,28
a356155b26,20,j0080,895,0,5320000,974280000,974280000,974279105,45,44
a356155b26,20,j0081,661,0,5340000,902320000,902320000,902319339,34,33
a356155b26,20,j0082,417,0,5360000,656880000,656880000,656879583,21,20
a356155b26,20,j0083,880,0,5380000,972500000,972500000,972499120,44,43
a356155b26,20,j0084,618,0,5380000,861260000,861260000,861259382,31,30
a356155b26,20,j0085,625,0,5420000,874940000,874940000,874939375,32,31
a356155b26,20,j0086,719,0,5460000,924400000,924400000,924399281,36,35
a356155b26,20,j0087,453,0,5500000,711080000,711080000,711079547,23,22
a356155b26,20,j0088,619,0,5560000,861300000,861300000,861299381,31,30
a356155b26,20,j0089,788,0,5600000,955820000,955820000,955819212,40,39
a356155b26,20,j0090,505,0,5600000,777860000,777860000,777859495,26,25
a356155b26,20,j0091,683,0,5620000,914160000,914160000,914159317,35,34
a356155b26,20,j0092,717,0,5720000,924500000,924500000,924499283,36,35
a356155b26,20,j0093,770,0,5760000,949200000,949200000,949199230,39,38
a356155b26,20,j0094,495,0,5760000,758160000,758160000,758159505,25,24
a356155b26,20,j0095,608,0,5780000,861740000,861740000,861739392,31,30
a356155b26,20,j0096,362,0,5780000,602160000,602160000,602159638,19,18
a356155b26,20,j0097,418,0,5800000,657080000,657080000,657079582,21,20
a356155b26,20,j0098,375,0,5820000,602200000,602200000,602199625,19,18
a356155b26,20,j0099,741,0,5820000,942040000,942040000,942039259,38,37
a356155b26,20,j0100,559,0,5900000,813100000,813100000,813099441,28,27
a356155b26,20,j0101,666,0,5920000,902340000,902340000,902339334,34,33
a356155b26,20,j0102,644,0,5920000,888580000,888580000,888579356,33,32
a356155b26,20,j0103,825,0,5960000,965540000,965540000,965539175,42,41
a356155b26,20,j0104,794,0,5960000,956320000,956320000,956319206,40,39
a356155b26,20,j0105,387,0,6060000,630480000,630480000,630479613,20,19
a356155b26,20,j0106,446,0,6080000,711480000,711480000,711479554,23,22
a356155b26,20,j0107,301,0,6120000,511620000,511620000,511619699,16,15
a356155b26,20,j0108,429,0,6180000,684300000,684300000,684299571,22,21
a356155b26,20,j0109,324,0,6200000,544300000,544300000,544299676,17,16
a356155b26,20,j0110,797,0,6220000,956160000,956160000,956159203,40,39
a356155b26,20,j0111,573,0,6260000,831520000,831520000,831519427,29,28
a356155b26,20,j0112,849,0,6280000,969640000,969640000,969639151,43,42
a356155b26,20,j0113,446,0,6260000,711800000,711800000,711799554,23,22
a356155b26,20,j0114,465,0,6280000,736020000,736020000,736019535,24,23
a356155b26,20,j0115,592,0,6300000,848300000,848300000,848299408,30,29
a356155b26,20,j0116,634,0,6360000,875360000,875360000,875359366,32,31
a356155b26,20,j0117,300,0,6400000,461600000,461600000,461599700,15,14
a356155b26,20,j0118,517,0,6420000,778260000,778260000,778259483,26,25
a356155b26,20,j0119,620,0,6420000,862220000,862220000,862219380,31,30
a356155b26,20,j0120,760,0,6440000,942320000,942320000,942319240,38,37
